,ibuprofen,acetaminophen,lidocaine,esomeprazole,pregabalin,oxycodone,fluticasone propionate,valsartan,doxycycline,eszopiclone,sildenafil,abiraterone,tadalafil,aspirin,aripiprazole,budesonide,pradaxa,celecoxib,ezetimibe,vytorin,nicotine,duloxetine,benicar,methylphenidate,insulin lispro,adalimumab,paracetamol,liraglutide,pemetrexed,fenofibrate,rivaroxaban,everolimus,capecitabine,darunavir,triamcinolone,buprenorphine,divalproex sodium,ranibizumab,castor oil,melatonin,epoetin alfa,fentanyl,hydrocodone bitartrate,ustekinumab,lyrica,rituximab,filgrastim,diovan,lantus,insulin glargine,quetiapine,tamiflu,xeloda,isentress,raltegravir,janumet,cinacalcet,atazanavir,hydrocortisone cream,novolog,insulin aspart,warfarin,rosuvastatin,lantus solostar,humira,januvia,sitagliptin,xolair,omalizumab,xarelto,vaccines,imatinib,evista,adderall xr,memantine,aranesp,darbepoetin alfa,sensipar,xgeva,denosumab,stelara,oxycontin,abilify,vyvanse,prezista,raloxifene,seroquel xr,lisdexamfetamine,copaxone,dexlansoprazole,metoprolol,trastuzumab,palivizumab,infliximab,abatacept,gravol,reyataz,pepto bismol,levemir,insulin detemir,tiotropium bromide,lucentis,tylenol pm,enbrel,etanercept,renvela,oseltamivir,crestor,aciphex,ventolin hfa,lunesta,celebrex,solifenacin,mometasone,benadryl,nexplanon,viagra,synthroid,prevnar 13,pitocin,rebif,nexium,cymbalta,flovent hfa,humalog,dexilant,epogen,adderall,remicade,cialis,proair hfa,avonex,fingolimod,synagis,alimta,humalog kwikpen,namenda,bevacizumab,lipitor,heparin,afinitor,nasonex,victoza,avonex pen,zetia,dabigatran,orencia,suboxone,neupogen,zytiga,telaprevir,ritalin,gilenya,atripla,symbicort,avastin,truvada,pegfilgrastim,levothyroxine,herceptin,complera,stribild,rabeprazole,glatiramer,neulasta,insulin,lovaza,atorvastatin,vesicare,restasis,androgel
hiv/aids,0,2,0,1,1,8,5,1,8,0,2,0,1,15,0,0,0,12,0,0,10,0,0,0,0,0,0,1,0,0,1,0,0,13,0,2,0,0,0,3,1,27,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,0,0,0,11,0,0,0,0,1,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,243,0,3,0,2,0
covid-19,5671,295,212,1,0,111,155,309,556,0,205,1,0,824,12,107,0,274,1,0,951,60,0,35,0,3,300,0,84,2,86,229,3,710,0,293,0,10,15,1184,0,243,0,0,9,126,0,0,0,108,0,1575,0,0,213,0,0,929,0,0,0,94,58,0,0,0,272,0,406,0,276887,513,0,0,0,0,0,0,0,1,0,3,8,0,0,0,0,0,0,0,264,165,491,149,212,0,0,0,0,0,0,0,7,0,0,0,3150,69,0,0,0,0,0,236,18,73,80,4,0,0,0,0,10,0,1,0,0,63,0,0,0,0,19,0,3,0,0,346,10,2399,0,1,0,0,0,222,0,880,0,0,688,0,0,0,0,4,0,1,13,0,0,0,0,46,0,5804,0,66,34,1,0
takotsubo cardiomyopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuberculoses,34,20,11,0,0,0,0,6,40,0,3,0,0,36,0,0,0,9,0,0,87,0,0,0,0,7,25,0,0,0,4,0,0,11,0,20,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,1,0,0,7,0,0,1,0,3,0,0,0,1002,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,140,1,0,0,0,0,0,0,0,0,1,140,0,50,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,277,0,0,0,0,0
endocarditis,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,1,0
syphilis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
multiple myeloma,4978264,2145801,653402,24846,93866,873643,431221,110231,1679184,0,224593,137855,100746,4487705,754495,355138,5883,323795,9296,52260,4908891,299423,0,441371,41602,74267,272620,183200,3106,38431,91196,49865,223605,67257,3690,609182,0,20742,67989,492555,225645,1017563,0,1552,14490,857350,92572,6693,8821,118042,68309,167243,0,757,23936,7827,0,53580,3266,8821,2128,5199594,47907,0,44346,2128,406609,0,14166,41950,42572821,554234,0,0,275973,5623,155475,0,0,9480,1552,131634,34956,13130,757,11307,0,0,0,0,829376,256540,183037,227675,44871,0,757,0,3053,13296,7950,13047,19030,41830,172467,0,503721,20494,0,0,18092,243542,0,32955,2689,3011,115020,26809,0,0,106932,515296,86045,0,23425,0,78184,125873,9778,19904,0,0,38717,0,5764,0,0,569298,106638,1448660,0,41581,0,0,0,228125,0,462854,1501,0,58470,78578,871,3785,2861,31109,17331,4397,925315,62495,3028,757,2509,29416,27138,35148260,0,332738,1067,20344,0
hypertension,443,3794,14,83,1,35,469,65,153,0,26,6,4,918,14,88,1,38,78,0,313,1,0,17,2,0,46,0,0,169,71,2,56,7,0,8,0,0,0,13,11,32,0,0,0,3,0,3,3,16,12,0,0,0,2,4,0,3,1,3,0,265,79,0,0,0,121,0,3,4,726,0,0,0,33,0,38,0,0,0,0,3,0,0,0,0,0,0,0,0,220,26,0,4,20,0,0,0,2,2,0,0,0,0,0,0,46,2,0,0,2,0,0,26,0,0,22,3,0,0,0,30,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,15,751,0,0,0,0,0,87,0,0,0,0,1,10,0,0,5,0,6,0,1042,2,0,0,0,0,6,3125,0,285,0,0,0
sarcoidoses,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
hepatitis b,1,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
ulcerative colitis,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,0,0,0,0,0
crohn’s disease,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
chagas disease,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3545003.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0
3716002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3723001.0,92,90,16,2,0,34,6,2,7,0,2,0,0,103,16,3,1,54,1,0,11,5,0,1,3,96,42,0,0,10,0,9,21,4,0,0,0,0,0,3,16,9,0,0,0,130,0,1,1,7,0,8,0,0,1,2,0,3,0,1,0,11,2,0,10,0,0,0,0,0,117,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,200,47,0,0,0,0,0,0,0,0,6,264,0,3,0,0,0,0,4,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,7,49,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,254,0,20,0,0,0
4308002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6142004.0,217,39,0,0,0,1,3502,0,0,0,0,0,0,227,2,2602,0,3,0,0,13,4,0,0,0,0,209,0,0,0,0,0,0,3,0,23,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,938,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,10266,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,2,13,1,0,0,0,0,0,0,0,0,5,0,0,0,746,0,0,0,0,4,0,70,0,1,20,0,0,0,0,0,2,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,6,11,0,13,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,315,0,7,0,4,0
6471006.0,29,14,0,0,0,29,0,17,24,0,0,0,0,11,0,0,0,0,0,0,73,2,0,6,0,0,73,0,0,17,0,0,0,0,0,21,0,0,0,35,0,40,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,56,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,0,47,0,4,0,0,0
7973008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8357008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
