,white/caucasian,black/african american,hispanic/latino,asian,native american/indigenous,pacific islander
hiv/aids,4964,6659,216,248,66,17
covid-19,272966,456258,31070,49628,5840,3207
takotsubo cardiomyopathy,2,3,2,0,0,0
tuberculoses,20742,30341,599,570,45,18
endocarditis,108,81,2,40,0,0
syphilis,350,1595,14,22,15,0
hypertension,9363,13414,1755,1972,97,60
sarcoidoses,18,6,0,0,0,0
hepatitis b,336,1687,43,37,7,3
ulcerative colitis,297,331,12,8,10,0
crohn’s disease,87,166,0,0,0,0
chagas disease,27,71,72,1,37,0
3545003.0,11,128,0,0,0,0
3716002.0,9,58,0,0,1,0
3723001.0,1456,2778,203,124,35,4
4308002.0,0,0,0,0,0,0
6142004.0,16257,32807,881,1059,170,44
6471006.0,10787,24182,2873,4530,3687,2921
7973008.0,39,41,0,0,0,0
8357008.0,2,1,0,0,0,0
menstruation,181,114,31,13,5,2
9829001.0,0,0,0,0,0,0
10743008.0,9039,29827,356,467,102,19
11381005.0,922,702,49,151,2,2
11654001.0,0,0,0,0,0,0
13746004.0,858,1524,97,93,8,3
34486009.0,64,25,1,2,1,0
40930008.0,210,731,16,4,9,3
14669001.0,42,76,3,4,0,0
15188001.0,452,829,12,9,6,0
18193002.0,11,4,0,0,0,0
18718003.0,10,5,0,0,0,0
21134002.0,22154,38020,3610,6705,1444,401
396275006.0,1701,2310,63,1144,14,6
22298006.0,18185,69958,1024,611,65,53
23502006.0,802,518,37,10,36,0
23919004.0,0,0,0,0,0,0
24693007.0,131,190,5,38,0,0
24700007.0,28930,70241,644,322,185,55
25458004.0,0,0,0,0,0,0
26889001.0,2,2,3,1,1,1
26929004.0,21810,24739,172,227,21,11
29384001.0,62,220,3,3,5,0
30811009.0,0,0,0,0,0,0
31384009.0,0,1,0,0,0,0
32398004.0,472,8603,56,46,0,0
32798002.0,3451,6703,156,107,26,0
32914008.0,19,74,0,0,0,0
34840004.0,18,149,4,0,0,0
35489007.0,60861,138629,6629,3700,1373,1986
36971009.0,5,1,0,0,0,0
37340000.0,168,79,0,0,3,0
39400004.0,27,36,0,1,0,0
39621005.0,37,52,24,20,0,4
40733004.0,118534,322582,7285,4423,2204,337
91302008,9435,15854,725,346,34,13
161712005.0,1663,1800,160,50,46,19
43116000.0,240,185,13,58,1,0
44054006.0,4151,3064,249,675,57,16
46635009.0,96,396,1,14,5,4
49049000.0,11128,21942,339,187,36,4
49601007.0,11776,21935,1464,1782,242,89
50829006.0,18038,63883,779,307,105,31
52448006.0,34618,37526,686,517,117,31
52702003.0,22,18,0,2,0,0
53741008.0,1160,1874,77,133,15,6
54150009.0,24,58,1,0,0,0
56317004.0,46,299,4,15,0,0
56925008.0,45,37,7,0,0,0
57182000.0,80,511,16,0,0,0
57406009.0,15,31,3,5,0,0
59927004.0,678,1416,21,32,32,3
60862001.0,3535,3627,121,6,0,0
61462000.0,17263,16372,758,255,3162,38
61599003.0,1,2,1,1,0,0
62315008.0,610,1166,74,81,19,5
63102001.0,6650,6970,177,117,50,1
67362008.0,0,0,0,0,0,0
68566005.0,345,263,10,27,3,2
69322001.0,443,581,21,55,0,0
69896004.0,30611,62503,337,304,303,298
73211009.0,62327,175548,9326,10807,864,508
73442001.0,0,0,0,0,0,0
74732009.0,22575,26797,3725,4392,806,365
75694006.0,39,111,6,2,1,0
76376003.0,0,0,0,0,0,0
86044005.0,2814,2487,51,13,3,1
709044004.0,1938,2929,256,221,161,16
129103003.0,260,403,93,38,38,0
195967001.0,7385,9293,866,909,85,14
200936003.0,20349,39764,199,130,131,180
233604007.0,11261,26747,647,389,91,116
698247007.0,12087,26378,1007,623,88,76
