,,0
24700007.0,female,5132
40733004.0,male,1084
hypertension,male,66
hypertension,female,71
73211009.0,female,354
40733004.0,female,334
6471006.0,male,137
6471006.0,female,69
10743008.0,male,69
covid-19,male,798
covid-19,female,306
21134002.0,female,108
49049000.0,male,61
35489007.0,male,269
35489007.0,female,218
161712005.0,female,70
21134002.0,male,77
49601007.0,male,113
73211009.0,male,168
195967001.0,male,30
6142004.0,female,42
49601007.0,female,84
26929004.0,male,93
32798002.0,male,17
52448006.0,male,139
68566005.0,female,1
50829006.0,female,14
74732009.0,female,91
69322001.0,male,1
69322001.0,female,1
tuberculoses,female,34
52448006.0,female,104
61462000.0,male,34
26929004.0,female,63
195967001.0,female,25
6142004.0,male,73
32398004.0,male,7
74732009.0,male,71
69896004.0,female,54
24700007.0,male,105
233604007.0,female,39
46635009.0,male,2
46635009.0,female,4
tuberculoses,male,46
233604007.0,male,47
hiv/aids,male,37
49049000.0,female,39
53741008.0,male,9
hiv/aids,female,27
hiv/aids,non-binary,7
59927004.0,female,4
40733004.0,non-binary,16
29384001.0,male,3
22298006.0,male,83
32398004.0,female,6
32798002.0,female,23
37340000.0,female,2
86044005.0,female,19
200936003.0,female,12
3723001.0,female,19
698247007.0,male,35
covid-19,non-binary,7
21134002.0,non-binary,14
22298006.0,female,55
86044005.0,male,32
44054006.0,male,9
3723001.0,male,11
63102001.0,female,6
129103003.0,female,13
61462000.0,female,31
161712005.0,male,13
syphilis,male,16
63102001.0,male,10
698247007.0,female,23
709044004.0,female,7
11381005.0,female,4
68566005.0,male,2
44054006.0,female,11
62315008.0,male,5
13746004.0,male,5
91302008,male,24
91302008,female,19
56925008.0,male,3
53741008.0,female,7
10743008.0,female,32
50829006.0,male,16
396275006.0,male,16
396275006.0,female,8
34840004.0,female,1
13746004.0,female,5
200936003.0,male,13
hepatitis b,non-binary,1
menstruation,female,14
crohn’s disease,female,1
6471006.0,non-binary,6
35489007.0,non-binary,7
74732009.0,non-binary,5
11381005.0,male,4
hepatitis b,female,5
ulcerative colitis,female,5
15188001.0,male,3
69896004.0,male,20
hepatitis b,male,2
3545003.0,male,2
14669001.0,male,1
14669001.0,female,1
29384001.0,female,1
75694006.0,male,2
73211009.0,non-binary,3
62315008.0,female,10
menstruation,male,3
24693007.0,female,1
59927004.0,male,1
709044004.0,male,4
34486009.0,female,1
6142004.0,non-binary,1
syphilis,female,2
129103003.0,male,2
15188001.0,female,2
54150009.0,male,1
54150009.0,female,1
200936003.0,non-binary,1
75694006.0,female,1
3545003.0,female,2
36971009.0,male,1
56317004.0,male,1
22298006.0,non-binary,2
60862001.0,male,1
43116000.0,female,1
39621005.0,male,1
61462000.0,non-binary,1
