,,0
22298006.0,atorvastatin,4
44054006.0,atorvastatin,3
73211009.0,atorvastatin,9
covid-19,vaccines,1038
40733004.0,vaccines,511
161712005.0,insulin,5
43116000.0,insulin,2
44054006.0,insulin,116
73211009.0,insulin,508
195967001.0,insulin,12
6142004.0,vaccines,125
35489007.0,vaccines,20
3723001.0,infliximab,5
40733004.0,adalimumab,2
40733004.0,infliximab,3
40733004.0,etanercept,2
69896004.0,infliximab,5
74732009.0,nicotine,6
covid-19,fluticasone propionate,2
24700007.0,insulin,9
40733004.0,insulin,29
69322001.0,oxycodone,1
49601007.0,melatonin,4
73211009.0,melatonin,1
49601007.0,aspirin,29
60862001.0,melatonin,1
ulcerative colitis,adalimumab,1
ulcerative colitis,infliximab,1
3723001.0,adalimumab,4
69896004.0,adalimumab,4
61462000.0,vaccines,41
74732009.0,vaccines,22
24700007.0,fingolimod,1
40733004.0,valsartan,2
40733004.0,aspirin,12
73211009.0,valsartan,3
73211009.0,aspirin,22
covid-19,insulin,13
21134002.0,insulin,6
49601007.0,insulin,57
covid-19,buprenorphine,2
covid-19,suboxone,2
6471006.0,buprenorphine,1
6471006.0,suboxone,1
46635009.0,insulin,21
57182000.0,insulin,8
6471006.0,acetaminophen,1
22298006.0,acetaminophen,3
35489007.0,acetaminophen,3
40733004.0,acetaminophen,5
49601007.0,acetaminophen,3
698247007.0,acetaminophen,2
hypertension,vaccines,10
49601007.0,vaccines,11
73211009.0,vaccines,26
21134002.0,liraglutide,1
396275006.0,liraglutide,1
35489007.0,insulin,19
74732009.0,insulin,4
73211009.0,warfarin,19
233604007.0,vaccines,37
covid-19,raltegravir,1
covid-19,darunavir,5
22298006.0,aspirin,19
hypertension,aspirin,23
22298006.0,insulin,19
73211009.0,nicotine,11
29384001.0,nexium,2
698247007.0,imatinib,1
22298006.0,celecoxib,2
tuberculoses,vaccines,23
35489007.0,duloxetine,8
10743008.0,insulin,2
63102001.0,insulin,1
covid-19,melatonin,5
covid-19,rivaroxaban,1
covid-19,atazanavir,5
covid-19,sitagliptin,3
covid-19,dabigatran,3
covid-19,telaprevir,3
73211009.0,oxycontin,1
15188001.0,vaccines,1
44054006.0,vaccines,1
73211009.0,aripiprazole,1
73211009.0,quetiapine,1
hepatitis b,vaccines,20
hypertension,metoprolol,5
22298006.0,metoprolol,3
32398004.0,acetaminophen,1
32398004.0,insulin,1
73211009.0,acetaminophen,4
73211009.0,heparin,14
73211009.0,fentanyl,1
6142004.0,symbicort,1
709044004.0,insulin,10
hypertension,esomeprazole,2
40733004.0,esomeprazole,2
62315008.0,esomeprazole,1
ulcerative colitis,insulin,2
3723001.0,insulin,11
13746004.0,insulin,1
49049000.0,insulin,12
53741008.0,insulin,7
69896004.0,insulin,6
200936003.0,insulin,5
covid-19,imatinib,4
52448006.0,nicotine,5
3723001.0,rituximab,5
3723001.0,abatacept,3
3723001.0,etanercept,4
69896004.0,rituximab,5
69896004.0,abatacept,3
69896004.0,etanercept,4
hypertension,nicotine,10
hypertension,insulin,51
24693007.0,nicotine,1
24693007.0,insulin,3
35489007.0,viagra,3
40733004.0,viagra,2
40733004.0,janumet,1
44054006.0,janumet,2
73211009.0,janumet,2
698247007.0,viagra,1
covid-19,sildenafil,1
covid-19,rituximab,2
covid-19,celecoxib,2
covid-19,ibuprofen,16
covid-19,aspirin,7
covid-19,rosuvastatin,1
covid-19,atorvastatin,1
hypertension,rosuvastatin,2
hypertension,atorvastatin,9
3723001.0,sildenafil,1
56925008.0,sildenafil,7
56925008.0,rituximab,1
69896004.0,sildenafil,1
195967001.0,vaccines,7
233604007.0,ibuprofen,3
233604007.0,aspirin,3
233604007.0,celecoxib,1
161712005.0,ibuprofen,2
161712005.0,aspirin,1
52448006.0,insulin,17
129103003.0,insulin,2
74732009.0,fentanyl,4
hiv/aids,vaccines,16
covid-19,fentanyl,6
69322001.0,vaccines,1
3545003.0,fenofibrate,1
49601007.0,fenofibrate,1
53741008.0,fenofibrate,1
698247007.0,fenofibrate,1
49601007.0,atorvastatin,6
6142004.0,tamiflu,8
6142004.0,oseltamivir,7
73211009.0,tamiflu,2
73211009.0,oseltamivir,1
74732009.0,quetiapine,2
73211009.0,nexium,2
covid-19,doxycycline,3
40733004.0,doxycycline,5
22298006.0,nicotine,3
hypertension,warfarin,10
hypertension,heparin,11
40733004.0,warfarin,3
40733004.0,heparin,4
49601007.0,warfarin,6
49601007.0,heparin,6
709044004.0,warfarin,1
709044004.0,heparin,1
195967001.0,warfarin,3
195967001.0,heparin,2
698247007.0,warfarin,18
698247007.0,heparin,7
195967001.0,budesonide,7
91302008,vaccines,2
hypertension,ibuprofen,6
22298006.0,capecitabine,1
62315008.0,capecitabine,1
73211009.0,metoprolol,4
698247007.0,capecitabine,1
covid-19,oseltamivir,17
44054006.0,insulin glargine,4
73211009.0,insulin glargine,8
hypertension,paracetamol,3
3723001.0,paracetamol,2
69896004.0,paracetamol,2
73211009.0,paracetamol,2
26929004.0,insulin,13
75694006.0,insulin,3
hypertension,valsartan,5
49601007.0,valsartan,1
39400004.0,paracetamol,1
59927004.0,paracetamol,1
23502006.0,vaccines,1
covid-19,paracetamol,2
73211009.0,ibuprofen,6
40733004.0,abiraterone,1
68566005.0,abiraterone,1
709044004.0,abiraterone,1
covid-19,everolimus,1
covid-19,lidocaine,3
covid-19,heparin,8
3723001.0,lidocaine,1
3723001.0,imatinib,1
3723001.0,heparin,3
40733004.0,everolimus,1
40733004.0,imatinib,3
69896004.0,lidocaine,1
69896004.0,imatinib,1
69896004.0,heparin,2
40733004.0,remicade,1
68566005.0,infliximab,1
68566005.0,remicade,1
6471006.0,vaccines,2
covid-19,nicotine,4
40733004.0,nicotine,3
62315008.0,nicotine,1
22298006.0,warfarin,6
