,,0
40733004.0,female,1652
15188001.0,male,26
40733004.0,male,3753
35489007.0,female,1327
tuberculoses,female,239
24700007.0,female,5178
22298006.0,female,315
44054006.0,female,107
73211009.0,female,1404
tuberculoses,male,368
10743008.0,male,311
hypertension,male,396
hypertension,female,397
covid-19,male,3442
covid-19,female,2043
233604007.0,female,273
69896004.0,female,569
35489007.0,male,1635
6142004.0,male,460
233604007.0,male,319
43116000.0,female,14
21134002.0,male,493
21134002.0,female,517
6471006.0,male,409
6471006.0,female,294
91302008,male,100
63102001.0,male,163
24700007.0,male,491
26929004.0,male,484
52448006.0,male,687
6142004.0,female,259
62315008.0,male,79
22298006.0,male,383
63102001.0,female,129
74732009.0,female,599
698247007.0,female,294
49049000.0,male,398
69896004.0,male,363
200936003.0,male,141
73211009.0,male,1136
74732009.0,male,599
161712005.0,female,117
49601007.0,male,560
52448006.0,female,533
195967001.0,male,156
10743008.0,female,155
hiv/aids,male,212
hiv/aids,female,163
49601007.0,female,496
50829006.0,male,487
50829006.0,female,333
32798002.0,male,177
61462000.0,male,221
74732009.0,non-binary,49
60862001.0,male,13
26929004.0,female,348
68566005.0,female,17
69322001.0,male,31
69322001.0,female,24
200936003.0,female,122
195967001.0,female,154
57182000.0,female,7
39621005.0,male,8
39621005.0,female,6
56317004.0,male,8
56317004.0,female,8
698247007.0,male,308
61462000.0,female,153
40930008.0,male,3
60862001.0,female,9
32398004.0,male,33
32398004.0,female,29
86044005.0,male,128
44054006.0,male,92
13746004.0,male,61
13746004.0,female,55
49049000.0,female,288
32798002.0,female,162
covid-19,non-binary,69
6471006.0,non-binary,27
hepatitis b,male,32
46635009.0,male,7
46635009.0,female,8
57182000.0,male,9
396275006.0,female,49
91302008,non-binary,3
91302008,female,114
59927004.0,female,58
62315008.0,female,61
3723001.0,male,88
menstruation,female,28
11381005.0,female,31
53741008.0,male,83
53741008.0,female,69
hiv/aids,non-binary,31
396275006.0,male,82
59927004.0,male,52
3723001.0,female,97
54150009.0,female,11
709044004.0,male,58
50829006.0,non-binary,11
40733004.0,non-binary,70
56925008.0,male,9
29384001.0,male,15
26929004.0,non-binary,6
52448006.0,non-binary,9
37340000.0,female,6
86044005.0,female,75
chagas disease,male,8
54150009.0,male,9
49049000.0,non-binary,5
21134002.0,non-binary,64
35489007.0,non-binary,37
161712005.0,male,51
129103003.0,female,19
syphilis,male,43
syphilis,female,23
23502006.0,male,13
195967001.0,non-binary,1
233604007.0,non-binary,1
24693007.0,male,6
24693007.0,female,10
129103003.0,male,6
709044004.0,female,57
23502006.0,female,5
73211009.0,non-binary,14
ulcerative colitis,male,7
200936003.0,non-binary,4
14669001.0,female,6
68566005.0,male,11
ulcerative colitis,female,12
32914008.0,female,3
61462000.0,non-binary,5
18718003.0,male,2
18718003.0,female,1
56925008.0,female,5
75694006.0,female,5
menstruation,male,13
6142004.0,non-binary,11
hypertension,non-binary,1
15188001.0,female,22
29384001.0,female,6
endocarditis,male,9
tuberculoses,non-binary,3
34840004.0,male,4
34840004.0,female,5
161712005.0,non-binary,1
32914008.0,male,7
hepatitis b,non-binary,2
76376003.0,female,1
crohn’s disease,female,4
14669001.0,male,6
endocarditis,female,6
43116000.0,male,11
709044004.0,non-binary,1
37340000.0,male,3
11381005.0,male,19
hepatitis b,female,25
61599003.0,male,1
75694006.0,male,5
3545003.0,male,4
63102001.0,non-binary,1
takotsubo cardiomyopathy,female,2
49601007.0,non-binary,6
3716002.0,female,5
52702003.0,male,1
3545003.0,female,3
7973008.0,male,4
syphilis,non-binary,4
40930008.0,female,5
62315008.0,non-binary,4
39400004.0,male,4
3716002.0,male,2
69322001.0,non-binary,1
57406009.0,male,1
57406009.0,female,2
32798002.0,non-binary,1
22298006.0,non-binary,5
34486009.0,female,2
25458004.0,female,1
698247007.0,non-binary,2
15188001.0,non-binary,2
36971009.0,male,3
36971009.0,female,2
takotsubo cardiomyopathy,male,1
7973008.0,female,3
sarcoidoses,male,1
sarcoidoses,female,1
10743008.0,non-binary,4
69896004.0,non-binary,1
53741008.0,non-binary,1
chagas disease,female,1
24693007.0,non-binary,1
crohn’s disease,male,1
34486009.0,male,1
24700007.0,non-binary,1
