,,0
covid-19,black/african american,869
40733004.0,black/african american,685
10743008.0,white/caucasian,104
covid-19,white/caucasian,918
73211009.0,black/african american,627
6471006.0,black/african american,68
10743008.0,black/african american,88
40733004.0,white/caucasian,437
69896004.0,black/african american,260
covid-19,asian,138
49049000.0,black/african american,64
35489007.0,black/african american,615
200936003.0,white/caucasian,44
24700007.0,white/caucasian,214
74732009.0,black/african american,89
covid-19,hispanic/latino,118
21134002.0,white/caucasian,104
40733004.0,hispanic/latino,39
49601007.0,white/caucasian,74
73211009.0,white/caucasian,278
74732009.0,white/caucasian,97
195967001.0,white/caucasian,27
21134002.0,black/african american,83
61462000.0,white/caucasian,52
50829006.0,black/african american,202
161712005.0,black/african american,9
6471006.0,white/caucasian,38
52448006.0,white/caucasian,189
22298006.0,black/african american,86
tuberculoses,black/african american,192
68566005.0,white/caucasian,7
6142004.0,white/caucasian,54
21134002.0,native american/indigenous,16
21134002.0,pacific islander,4
61462000.0,black/african american,84
24693007.0,white/caucasian,3
233604007.0,black/african american,57
10743008.0,asian,6
35489007.0,white/caucasian,262
709044004.0,white/caucasian,17
tuberculoses,white/caucasian,58
61462000.0,hispanic/latino,13
26929004.0,black/african american,63
52448006.0,black/african american,91
200936003.0,black/african american,132
6471006.0,hispanic/latino,10
73211009.0,hispanic/latino,48
73211009.0,asian,31
195967001.0,black/african american,27
69896004.0,white/caucasian,108
26929004.0,white/caucasian,119
698247007.0,white/caucasian,71
698247007.0,black/african american,101
hepatitis b,black/african american,7
hypertension,black/african american,85
hypertension,asian,13
50829006.0,white/caucasian,55
44054006.0,black/african american,25
233604007.0,white/caucasian,54
91302008,white/caucasian,36
91302008,black/african american,35
11381005.0,white/caucasian,5
hypertension,white/caucasian,110
24700007.0,black/african american,288
22298006.0,white/caucasian,51
32798002.0,white/caucasian,31
49049000.0,white/caucasian,115
covid-19,pacific islander,15
covid-19,native american/indigenous,33
6142004.0,asian,25
49601007.0,black/african american,97
63102001.0,black/african american,49
73211009.0,native american/indigenous,10
6142004.0,black/african american,103
200936003.0,asian,2
26929004.0,asian,2
32798002.0,asian,1
35489007.0,asian,19
49049000.0,asian,1
52448006.0,asian,6
44054006.0,hispanic/latino,5
44054006.0,native american/indigenous,2
44054006.0,white/caucasian,21
13746004.0,white/caucasian,6
57182000.0,white/caucasian,1
3723001.0,black/african american,13
69322001.0,white/caucasian,2
6142004.0,hispanic/latino,9
32398004.0,black/african american,7
23502006.0,white/caucasian,6
23502006.0,black/african american,4
86044005.0,black/african american,13
50829006.0,hispanic/latino,5
40733004.0,asian,26
32798002.0,black/african american,20
hiv/aids,black/african american,24
709044004.0,black/african american,20
56317004.0,black/african american,3
62315008.0,black/african american,10
26929004.0,hispanic/latino,6
52448006.0,hispanic/latino,13
3723001.0,white/caucasian,19
35489007.0,hispanic/latino,20
74732009.0,hispanic/latino,24
74732009.0,asian,19
35489007.0,pacific islander,2
74732009.0,pacific islander,4
hypertension,hispanic/latino,21
hiv/aids,white/caucasian,34
62315008.0,white/caucasian,9
396275006.0,black/african american,5
3545003.0,white/caucasian,1
3723001.0,hispanic/latino,5
75694006.0,white/caucasian,1
22298006.0,hispanic/latino,5
22298006.0,asian,7
49601007.0,hispanic/latino,14
49601007.0,asian,7
13746004.0,black/african american,7
15188001.0,black/african american,2
hepatitis b,white/caucasian,5
21134002.0,hispanic/latino,21
74732009.0,native american/indigenous,7
crohn’s disease,white/caucasian,2
63102001.0,white/caucasian,7
59927004.0,white/caucasian,11
61462000.0,asian,13
chagas disease,hispanic/latino,7
hepatitis b,native american/indigenous,1
709044004.0,hispanic/latino,3
60862001.0,white/caucasian,5
32398004.0,white/caucasian,4
73211009.0,pacific islander,6
24700007.0,hispanic/latino,5
698247007.0,hispanic/latino,6
21134002.0,asian,14
ulcerative colitis,black/african american,2
3723001.0,asian,4
69896004.0,asian,2
91302008,hispanic/latino,4
53741008.0,black/african american,9
6471006.0,asian,10
200936003.0,native american/indigenous,1
24700007.0,asian,4
161712005.0,white/caucasian,7
161712005.0,hispanic/latino,3
161712005.0,asian,2
46635009.0,black/african american,6
57182000.0,black/african american,4
menstruation,black/african american,3
11381005.0,black/african american,4
ulcerative colitis,white/caucasian,4
86044005.0,white/caucasian,7
86044005.0,asian,1
chagas disease,black/african american,2
14669001.0,white/caucasian,2
15188001.0,white/caucasian,1
10743008.0,hispanic/latino,1
24693007.0,black/african american,2
13746004.0,native american/indigenous,1
52448006.0,native american/indigenous,2
32914008.0,white/caucasian,2
233604007.0,asian,3
195967001.0,hispanic/latino,7
69322001.0,black/african american,3
