,male,female,non-binary
hiv/aids,6540,8622,311
covid-19,5900,7838,20
takotsubo cardiomyopathy,17,16,0
tuberculoses,364503,577103,393
endocarditis,1027,1726,17
syphilis,12916,6611,230
hypertension,7473,16865,84
sarcoidoses,244,27,6
hepatitis b,4663,8333,0
ulcerative colitis,486,370,0
crohn’s disease,563,757,1
chagas disease,383,856,0
3545003.0,284,646,0
3716002.0,474,404,62
3723001.0,9616,8681,179
4308002.0,0,0,0
6142004.0,24587,16593,243
6471006.0,634432,120354,1211
7973008.0,1,1,0
8357008.0,143,156,0
menstruation,1238,4121,198
9829001.0,18,48,0
10743008.0,4302,22840,59
11381005.0,5554,4429,78
11654001.0,3,2,0
13746004.0,1047,1041,8
34486009.0,129,149,17
40930008.0,96,105,18
14669001.0,14,22,0
15188001.0,21591,20497,92
18193002.0,1657,1595,51
18718003.0,233,247,25
21134002.0,78775,54752,983
396275006.0,1871,2492,19
22298006.0,53962,70088,84
23502006.0,313,215,0
23919004.0,328,282,9
24693007.0,4003,1814,131
24700007.0,52038,1161952,822
25458004.0,15,19,0
26889001.0,1,2,0
26929004.0,3224,2951,41
29384001.0,1861,2079,25
30811009.0,178,379,0
31384009.0,338,174,9
32398004.0,59219,55390,118
32798002.0,1138,750,23
32914008.0,95,58,0
34840004.0,895,753,24
35489007.0,418503,362088,1738
36971009.0,131,280,0
37340000.0,83,33,0
39400004.0,63,100,0
39621005.0,2502,806,22
40733004.0,242693,181625,1665
91302008,11151,24474,66
161712005.0,2496,7484,91
43116000.0,1061,1063,59
44054006.0,1259,1373,3
46635009.0,541,1096,0
49049000.0,19719,8153,76
49601007.0,367441,25845,78
50829006.0,769,480,7
52448006.0,7455,9797,222
52702003.0,114,93,7
53741008.0,814,1261,0
54150009.0,391,1394,0
56317004.0,741,1049,32
56925008.0,1164,717,6
57182000.0,298,416,0
57406009.0,89,105,0
59927004.0,2294,4986,25
60862001.0,646,1239,42
61462000.0,107604,27083,301
61599003.0,812,683,28
62315008.0,24168,31636,290
63102001.0,164,338,0
67362008.0,0,0,0
68566005.0,429,964,0
69322001.0,4350,2059,161
69896004.0,6462,71302,5
73211009.0,45608,52556,315
73442001.0,15,19,0
74732009.0,41861,28006,458
75694006.0,1445,4726,9
76376003.0,79,267,9
86044005.0,17393,330,0
709044004.0,497,927,8
129103003.0,422,1272,29
195967001.0,23716,11915,143
200936003.0,3474,4842,88
233604007.0,50143,75446,467
698247007.0,9938,8387,40
