,,0
22298006.0,female,1591
24700007.0,female,26001
6142004.0,male,115
40733004.0,male,362
40733004.0,female,337
6471006.0,male,710
26929004.0,female,44
52448006.0,female,85
21134002.0,male,249
6471006.0,female,446
21134002.0,female,229
tuberculoses,female,514
161712005.0,female,61
76376003.0,female,2
15188001.0,male,40
15188001.0,female,29
35489007.0,female,561
74732009.0,female,236
24693007.0,male,9
73211009.0,female,273
6142004.0,female,74
35489007.0,male,714
74732009.0,male,204
covid-19,male,100
covid-19,female,63
233604007.0,male,58
233604007.0,female,46
195967001.0,male,66
73211009.0,male,209
195967001.0,female,92
24700007.0,male,261
tuberculoses,male,152
40733004.0,non-binary,10
22298006.0,male,305
10743008.0,female,35
10743008.0,male,18
hiv/aids,female,51
57406009.0,male,6
61462000.0,male,82
61462000.0,female,103
62315008.0,male,72
62315008.0,female,62
26929004.0,male,48
52448006.0,male,87
56925008.0,male,18
hypertension,male,70
hypertension,female,101
29384001.0,male,19
29384001.0,female,15
709044004.0,male,11
709044004.0,female,14
161712005.0,male,29
161712005.0,non-binary,1
74732009.0,non-binary,8
69322001.0,male,51
698247007.0,female,44
69896004.0,female,82
syphilis,female,36
63102001.0,male,5
63102001.0,female,5
32798002.0,male,18
32798002.0,female,14
49049000.0,male,54
49049000.0,female,39
32398004.0,male,21
32398004.0,female,8
49601007.0,male,92
49601007.0,female,72
44054006.0,female,35
44054006.0,male,18
75694006.0,female,23
75694006.0,male,12
69322001.0,female,28
53741008.0,male,33
43116000.0,female,12
3723001.0,male,64
hiv/aids,male,43
hiv/aids,non-binary,8
endocarditis,male,5
endocarditis,non-binary,1
3723001.0,non-binary,1
91302008,male,18
6471006.0,non-binary,24
200936003.0,male,17
200936003.0,female,31
11381005.0,male,19
11381005.0,female,19
698247007.0,male,45
43116000.0,male,12
86044005.0,male,56
menstruation,female,36
3723001.0,female,57
69896004.0,male,27
91302008,female,20
396275006.0,male,9
396275006.0,female,5
60862001.0,male,5
60862001.0,female,3
syphilis,male,25
menstruation,male,14
46635009.0,male,3
hepatitis b,male,11
39400004.0,female,1
57182000.0,female,9
13746004.0,male,12
13746004.0,female,19
56317004.0,male,5
21134002.0,non-binary,13
86044005.0,female,10
35489007.0,non-binary,15
50829006.0,female,4
18718003.0,female,6
39621005.0,female,7
hepatitis b,female,16
3716002.0,male,4
3716002.0,female,5
18718003.0,male,3
18718003.0,non-binary,3
29384001.0,non-binary,3
59927004.0,male,24
59927004.0,female,26
6142004.0,non-binary,2
39621005.0,male,9
61462000.0,non-binary,2
23502006.0,male,2
23919004.0,female,2
56925008.0,female,12
57406009.0,female,2
61599003.0,female,1
68566005.0,female,12
129103003.0,female,11
endocarditis,female,2
53741008.0,female,13
129103003.0,male,4
18193002.0,male,15
52702003.0,male,3
52702003.0,female,5
233604007.0,non-binary,2
18193002.0,female,2
50829006.0,male,9
57182000.0,male,6
tuberculoses,non-binary,2
syphilis,non-binary,1
24693007.0,female,5
ulcerative colitis,male,3
8357008.0,male,3
62315008.0,non-binary,1
3545003.0,male,3
36971009.0,female,4
34840004.0,female,2
68566005.0,male,4
8357008.0,female,3
14669001.0,male,1
14669001.0,female,1
52448006.0,non-binary,3
chagas disease,male,3
31384009.0,female,3
chagas disease,female,4
26929004.0,non-binary,1
menstruation,non-binary,1
195967001.0,non-binary,1
61599003.0,male,1
3545003.0,female,2
crohn’s disease,male,2
crohn’s disease,female,2
32914008.0,female,2
34840004.0,male,3
73211009.0,non-binary,2
56317004.0,female,4
698247007.0,non-binary,1
49601007.0,non-binary,1
54150009.0,male,2
22298006.0,non-binary,1
sarcoidoses,male,2
46635009.0,female,1
23502006.0,female,1
54150009.0,female,3
ulcerative colitis,female,2
15188001.0,non-binary,1
23919004.0,male,1
34486009.0,male,1
