Disease,Demographics,Counts
10743008.0,acetaminophen,12
10743008.0,aciphex,1
10743008.0,adalimumab,2
10743008.0,adderall,3
10743008.0,androgel,2
10743008.0,aripiprazole,2
10743008.0,aspirin,28
10743008.0,atazanavir,2
10743008.0,benadryl,1
10743008.0,budesonide,7
10743008.0,buprenorphine,2
10743008.0,castor oil,4
10743008.0,celebrex,4
10743008.0,cialis,13
10743008.0,crestor,1
10743008.0,cymbalta,7
10743008.0,doxycycline,15
10743008.0,duloxetine,21
10743008.0,enbrel,1
10743008.0,esomeprazole,13
10743008.0,eszopiclone,1
10743008.0,everolimus,2
10743008.0,fenofibrate,1
10743008.0,fentanyl,5
10743008.0,filgrastim,1
10743008.0,gravol,1
10743008.0,heparin,4
10743008.0,humira,2
10743008.0,hydrocodone bitartrate,2
10743008.0,ibuprofen,31
10743008.0,imatinib,1
10743008.0,infliximab,10
10743008.0,insulin,155
10743008.0,insulin detemir,1
10743008.0,isentress,2
10743008.0,lantus,1
10743008.0,levothyroxine,5
10743008.0,lidocaine,14
10743008.0,lipitor,3
10743008.0,liraglutide,2
10743008.0,lyrica,7
10743008.0,melatonin,78
10743008.0,methylphenidate,1
10743008.0,metoprolol,1
10743008.0,nexium,13
10743008.0,nicotine,17
10743008.0,omalizumab,3
10743008.0,oxycodone,2
10743008.0,paracetamol,3
10743008.0,pregabalin,28
10743008.0,quetiapine,3
10743008.0,rabeprazole,2
10743008.0,raltegravir,1
10743008.0,remicade,6
10743008.0,restasis,1
10743008.0,reyataz,1
10743008.0,ritalin,1
10743008.0,rivaroxaban,1
10743008.0,sildenafil,3
10743008.0,solifenacin,5
10743008.0,synthroid,2
10743008.0,tadalafil,1
10743008.0,trastuzumab,4
10743008.0,vaccines,25
10743008.0,valsartan,2
10743008.0,viagra,17
10743008.0,warfarin,5
10743008.0,xolair,1
11381005.0,abilify,7
11381005.0,abiraterone,3
11381005.0,acetaminophen,29
11381005.0,aciphex,4
11381005.0,adalimumab,16
11381005.0,adderall,13
11381005.0,androgel,16
11381005.0,aripiprazole,3
11381005.0,aspirin,140
11381005.0,atorvastatin,3
11381005.0,avastin,1
11381005.0,benadryl,8
11381005.0,benicar,5
11381005.0,bevacizumab,5
11381005.0,budesonide,7
11381005.0,capecitabine,2
11381005.0,castor oil,80
11381005.0,celebrex,5
11381005.0,celecoxib,1
11381005.0,cialis,81
11381005.0,crestor,5
11381005.0,darunavir,1
11381005.0,diovan,6
11381005.0,doxycycline,722
11381005.0,enbrel,1
11381005.0,esomeprazole,1
11381005.0,etanercept,8
11381005.0,everolimus,10
11381005.0,evista,3
11381005.0,filgrastim,1
11381005.0,fluticasone propionate,1
11381005.0,heparin,6
11381005.0,herceptin,2
11381005.0,humira,4
11381005.0,hydrocortisone cream,4
11381005.0,ibuprofen,44
11381005.0,imatinib,6
11381005.0,infliximab,22
11381005.0,insulin,783
11381005.0,januvia,1
11381005.0,lidocaine,7
