Disease,Demographics,Counts
10743008.0,female,11168
10743008.0,male,9694
10743008.0,non-binary,51
11381005.0,female,30585
11381005.0,male,27757
11381005.0,non-binary,315
11654001.0,female,135
11654001.0,male,251
11654001.0,non-binary,6
129103003.0,female,20181
129103003.0,male,5707
129103003.0,non-binary,62
13746004.0,female,23147
13746004.0,male,24574
13746004.0,non-binary,380
14669001.0,female,369
14669001.0,male,491
15188001.0,female,12491
15188001.0,male,17801
15188001.0,non-binary,242
161712005.0,female,92881
161712005.0,male,31810
161712005.0,non-binary,550
18193002.0,female,1902
18193002.0,male,3088
18193002.0,non-binary,38
18718003.0,female,2357
18718003.0,male,2098
18718003.0,non-binary,22
195967001.0,female,65965
195967001.0,male,67328
195967001.0,non-binary,350
200936003.0,female,29868
200936003.0,male,18785
200936003.0,non-binary,129
21134002.0,female,198630
21134002.0,male,250480
21134002.0,non-binary,5552
22298006.0,female,126852
22298006.0,male,202638
22298006.0,non-binary,1250
233604007.0,female,66043
233604007.0,male,88076
233604007.0,non-binary,1044
23502006.0,female,6774
23502006.0,male,6571
23502006.0,non-binary,59
23919004.0,female,179
23919004.0,male,221
23919004.0,non-binary,2
24693007.0,female,13613
24693007.0,male,8530
24693007.0,non-binary,73
24700007.0,female,109346
24700007.0,male,28240
24700007.0,non-binary,210
25458004.0,female,129
25458004.0,male,188
26889001.0,female,183
26889001.0,male,253
26929004.0,female,38800
26929004.0,male,42085
26929004.0,non-binary,316
29384001.0,female,4961
29384001.0,male,5914
29384001.0,non-binary,13
30811009.0,female,81
30811009.0,male,112
30811009.0,non-binary,1
31384009.0,female,1114
31384009.0,male,904
31384009.0,non-binary,3
32398004.0,female,11886
32398004.0,male,15463
32398004.0,non-binary,81
32798002.0,female,13104
32798002.0,male,17493
32798002.0,non-binary,82
32914008.0,female,1740
32914008.0,male,1456
32914008.0,non-binary,6
34486009.0,female,4970
34486009.0,male,3240
34486009.0,non-binary,11
34840004.0,female,3734
34840004.0,male,9294
34840004.0,non-binary,22
3545003.0,female,1936
3545003.0,male,1719
35489007.0,female,460358
35489007.0,male,570731
35489007.0,non-binary,12301
36971009.0,female,2498
36971009.0,male,2956
36971009.0,non-binary,12
3716002.0,female,4802
3716002.0,male,3483
3716002.0,non-binary,15
3723001.0,female,70642
3723001.0,male,68530
3723001.0,non-binary,342
37340000.0,female,1016
37340000.0,male,1707
37340000.0,non-binary,7
39400004.0,female,3105
39400004.0,male,4381
39400004.0,non-binary,10
39621005.0,female,7363
39621005.0,male,7088
39621005.0,non-binary,17
396275006.0,female,16905
396275006.0,male,16522
396275006.0,non-binary,25
40733004.0,female,315740
40733004.0,male,327295
40733004.0,non-binary,9440
40930008.0,female,4607
40930008.0,male,2869
40930008.0,non-binary,11
4308002.0,female,16
4308002.0,male,19
43116000.0,female,11932
43116000.0,male,10886
43116000.0,non-binary,60
44054006.0,female,40227
44054006.0,male,36680
44054006.0,non-binary,60
46635009.0,female,2154
46635009.0,male,1986
46635009.0,non-binary,10
49049000.0,female,34791
49049000.0,male,50632
49049000.0,non-binary,465
49601007.0,female,129210
49601007.0,male,141629
49601007.0,non-binary,546
50829006.0,female,1937
50829006.0,male,2272
50829006.0,non-binary,8
52448006.0,female,91730
52448006.0,male,100914
52448006.0,non-binary,840
52702003.0,female,4318
52702003.0,male,3545
52702003.0,non-binary,45
53741008.0,female,16955
53741008.0,male,23428
53741008.0,non-binary,15
54150009.0,female,2921
54150009.0,male,3284
54150009.0,non-binary,3
56317004.0,female,8954
56317004.0,male,8674
56317004.0,non-binary,50
56925008.0,female,18919
56925008.0,male,36541
56925008.0,non-binary,635
57182000.0,female,10484
57182000.0,male,14321
57182000.0,non-binary,45
57406009.0,female,4748
57406009.0,male,5015
57406009.0,non-binary,15
59927004.0,female,26647
59927004.0,male,33860
59927004.0,non-binary,174
60862001.0,female,5866
60862001.0,male,8369
60862001.0,non-binary,29
6142004.0,female,74017
6142004.0,male,97274
6142004.0,non-binary,744
61462000.0,female,39681
61462000.0,male,47470
61462000.0,non-binary,368
61599003.0,female,969
61599003.0,male,1334
61599003.0,non-binary,4
62315008.0,female,52337
62315008.0,male,54985
62315008.0,non-binary,515
63102001.0,female,3378
63102001.0,male,4124
63102001.0,non-binary,24
6471006.0,female,339107
6471006.0,male,527132
6471006.0,non-binary,19803
68566005.0,female,10522
68566005.0,male,7580
68566005.0,non-binary,26
69322001.0,female,23558
69322001.0,male,34672
69322001.0,non-binary,450
698247007.0,female,22897
698247007.0,male,27176
698247007.0,non-binary,30
69896004.0,female,26202
69896004.0,male,18054
69896004.0,non-binary,101
709044004.0,female,13373
709044004.0,male,15495
709044004.0,non-binary,17
73211009.0,female,238634
73211009.0,male,239239
73211009.0,non-binary,831
73442001.0,female,88
73442001.0,male,68
74732009.0,female,270454
74732009.0,male,324930
74732009.0,non-binary,12733
75694006.0,female,8343
75694006.0,male,11023
75694006.0,non-binary,31
76376003.0,female,1924
76376003.0,male,379
76376003.0,non-binary,2
7973008.0,female,241
7973008.0,male,153
8357008.0,female,2694
8357008.0,male,3054
8357008.0,non-binary,78
86044005.0,female,4520
86044005.0,male,6624
86044005.0,non-binary,37
91302008,female,26189
91302008,male,27610
