Disease,Demographics,Counts
10743008.0,asian,233
10743008.0,black/african american,352
10743008.0,hispanic/latino,53
10743008.0,native american/indigenous,46
10743008.0,pacific islander,3
10743008.0,white/caucasian,705
11381005.0,asian,232
11381005.0,black/african american,1547
11381005.0,hispanic/latino,122
11381005.0,native american/indigenous,57
11381005.0,pacific islander,12
11381005.0,white/caucasian,1615
11654001.0,asian,1
11654001.0,black/african american,4
11654001.0,white/caucasian,3
129103003.0,asian,74
129103003.0,black/african american,199
129103003.0,hispanic/latino,16
129103003.0,native american/indigenous,9
129103003.0,white/caucasian,337
13746004.0,asian,72
13746004.0,black/african american,477
13746004.0,hispanic/latino,66
13746004.0,native american/indigenous,15
13746004.0,pacific islander,1
13746004.0,white/caucasian,735
14669001.0,black/african american,12
14669001.0,white/caucasian,7
15188001.0,asian,36
15188001.0,black/african american,283
15188001.0,hispanic/latino,43
15188001.0,native american/indigenous,23
15188001.0,pacific islander,4
15188001.0,white/caucasian,745
161712005.0,asian,433
161712005.0,black/african american,1343
161712005.0,hispanic/latino,239
161712005.0,native american/indigenous,100
161712005.0,pacific islander,12
161712005.0,white/caucasian,1476
18193002.0,black/african american,36
18193002.0,hispanic/latino,7
18193002.0,white/caucasian,31
18718003.0,asian,7
18718003.0,black/african american,69
18718003.0,hispanic/latino,13
18718003.0,native american/indigenous,6
18718003.0,white/caucasian,144
195967001.0,asian,657
195967001.0,black/african american,3561
195967001.0,hispanic/latino,1361
195967001.0,native american/indigenous,328
195967001.0,pacific islander,57
195967001.0,white/caucasian,4329
200936003.0,asian,375
200936003.0,black/african american,1573
200936003.0,hispanic/latino,669
200936003.0,native american/indigenous,129
200936003.0,pacific islander,13
200936003.0,white/caucasian,1942
21134002.0,asian,555
21134002.0,black/african american,5140
21134002.0,hispanic/latino,860
21134002.0,native american/indigenous,1126
21134002.0,pacific islander,66
21134002.0,white/caucasian,4974
22298006.0,asian,431
22298006.0,black/african american,2189
22298006.0,hispanic/latino,297
22298006.0,native american/indigenous,138
22298006.0,pacific islander,50
22298006.0,white/caucasian,3691
233604007.0,asian,294
233604007.0,black/african american,1378
233604007.0,hispanic/latino,184
233604007.0,native american/indigenous,169
233604007.0,pacific islander,16
233604007.0,white/caucasian,2262
23502006.0,asian,23
23502006.0,black/african american,432
23502006.0,hispanic/latino,13
23502006.0,native american/indigenous,12
23502006.0,pacific islander,2
23502006.0,white/caucasian,510
23919004.0,hispanic/latino,3
23919004.0,white/caucasian,4
24693007.0,asian,10
24693007.0,black/african american,106
24693007.0,hispanic/latino,61
24693007.0,native american/indigenous,5
24693007.0,pacific islander,3
24693007.0,white/caucasian,252
24700007.0,asian,126
24700007.0,black/african american,694
24700007.0,hispanic/latino,115
24700007.0,native american/indigenous,39
24700007.0,pacific islander,4
24700007.0,white/caucasian,3312
25458004.0,white/caucasian,2
26889001.0,black/african american,3
26889001.0,native american/indigenous,1
26889001.0,white/caucasian,11
26929004.0,asian,124
26929004.0,black/african american,1397
26929004.0,hispanic/latino,264
