,male,female,non-binary
hiv/aids,663,501,5
covid-19,7633,4554,6
takotsubo cardiomyopathy,20,68,0
tuberculoses,5220,4900,4
endocarditis,32,15,0
syphilis,759,180,7
hypertension,2134,1867,1
sarcoidoses,0,0,0
hepatitis b,494,130,0
ulcerative colitis,183,101,0
crohn’s disease,5,2,0
chagas disease,0,0,0
3545003.0,0,0,0
3716002.0,5,1,0
3723001.0,2203,1060,1
4308002.0,0,0,0
6142004.0,5788,3943,101
6471006.0,45967,17579,148
7973008.0,1,0,0
8357008.0,210,84,22
menstruation,298,458,0
9829001.0,0,0,0
10743008.0,510,672,2
11381005.0,596,496,0
11654001.0,0,0,0
13746004.0,518,436,37
34486009.0,29,49,0
40930008.0,1,11,0
14669001.0,0,0,0
15188001.0,518,461,4
18193002.0,254,58,1
18718003.0,239,0,0
21134002.0,7346,3307,793
396275006.0,18,85,0
22298006.0,7869,4025,5
23502006.0,35,31,0
23919004.0,0,0,0
24693007.0,5,23,0
24700007.0,3758,121014,23
25458004.0,0,0,0
26889001.0,0,0,0
26929004.0,1693,925,3
29384001.0,147,14,0
30811009.0,0,0,0
31384009.0,0,0,0
32398004.0,114,39,0
32798002.0,140,73,1
32914008.0,9,7,0
34840004.0,16,8,0
35489007.0,29831,14056,119
36971009.0,7,9,0
37340000.0,7,5,0
39400004.0,176,6,0
39621005.0,26,4,0
40733004.0,14553,5675,41
91302008,533,235,2
161712005.0,1207,1678,1
43116000.0,212,467,0
44054006.0,90,280,0
46635009.0,15,39,0
49049000.0,2705,2745,3
49601007.0,3541,1147,5
50829006.0,112,23,0
52448006.0,3350,1761,4
52702003.0,3,2,1
53741008.0,60,72,0
54150009.0,52,16,0
56317004.0,33,17,0
56925008.0,126,134,2
57182000.0,229,67,0
57406009.0,52,3,0
59927004.0,470,274,6
60862001.0,111,40,0
61462000.0,1981,837,10
61599003.0,0,1,0
62315008.0,1063,510,8
63102001.0,337,65,0
67362008.0,0,0,0
68566005.0,17,20,0
69322001.0,1551,1022,8
69896004.0,944,746,0
73211009.0,7720,7826,123
73442001.0,0,0,0
74732009.0,9714,4582,371
75694006.0,6,9,0
76376003.0,0,0,0
86044005.0,172,28,0
709044004.0,234,67,0
129103003.0,26,68,0
195967001.0,2690,2819,78
200936003.0,992,822,1
233604007.0,3406,3033,4
698247007.0,1649,1833,1
