,white/caucasian,black/african american,hispanic/latino,asian,native american/indigenous,pacific islander
hiv/aids,89,124,114,3,0,0
covid-19,2476,2148,134,94,37,5
takotsubo cardiomyopathy,0,0,0,0,0,0
tuberculoses,2139,3697,104,20,13,0
endocarditis,0,2,0,0,0,0
syphilis,16,32,5,0,6,0
hypertension,586,401,129,21,15,11
sarcoidoses,0,0,0,0,0,0
hepatitis b,78,70,31,1,0,0
ulcerative colitis,12,45,2,0,0,0
crohn’s disease,0,0,0,0,0,0
chagas disease,0,4,0,1,0,0
3545003.0,14,0,0,0,0,0
3716002.0,1,0,1,0,0,0
3723001.0,88,138,37,5,2,0
4308002.0,0,0,0,0,0,0
6142004.0,529,1074,118,34,2,0
6471006.0,961,1386,228,30,44,5
7973008.0,9,7,0,0,0,0
8357008.0,0,13,0,0,0,0
menstruation,14,13,21,1,0,0
9829001.0,0,0,0,0,0,0
10743008.0,359,342,0,0,0,0
11381005.0,141,126,22,0,6,0
11654001.0,0,0,0,0,0,0
13746004.0,7,4,10,0,1,1
34486009.0,21,0,0,0,0,0
40930008.0,0,0,0,0,0,0
14669001.0,0,1,0,0,0,0
15188001.0,27,33,1,1,5,2
18193002.0,2,0,2,0,0,0
18718003.0,6,0,0,3,0,0
21134002.0,657,638,114,60,38,31
396275006.0,106,102,152,0,0,0
22298006.0,764,1580,62,35,29,8
23502006.0,14,9,0,0,0,0
23919004.0,0,2,0,1,0,0
24693007.0,0,2,0,1,0,0
24700007.0,1285,2004,170,11,2,6
25458004.0,0,0,0,0,0,0
26889001.0,0,0,0,0,0,0
26929004.0,87,35,41,10,1,8
29384001.0,5,3,5,1,1,0
30811009.0,0,0,0,0,0,0
31384009.0,0,0,0,1,0,0
32398004.0,13,10,30,1,0,0
32798002.0,25,14,42,0,0,0
32914008.0,0,2,0,0,0,0
34840004.0,8,5,0,0,0,0
35489007.0,1429,1838,186,45,20,0
36971009.0,0,0,0,0,0,0
37340000.0,10,6,0,0,0,0
39400004.0,0,0,0,0,0,0
39621005.0,0,15,0,1,0,0
40733004.0,2747,2446,372,24,12,10
91302008,60,61,11,6,3,0
161712005.0,10,6,52,2,0,0
43116000.0,28,39,1,1,0,0
44054006.0,22,38,0,16,0,0
46635009.0,8,12,1,0,0,0
49049000.0,168,195,57,1,0,0
49601007.0,346,126,44,5,5,0
50829006.0,9,17,0,0,0,0
52448006.0,281,169,155,12,2,8
52702003.0,0,0,0,0,0,0
53741008.0,46,12,0,1,0,0
54150009.0,0,0,14,0,0,0
56317004.0,0,0,0,1,0,0
56925008.0,2,6,1,0,0,0
57182000.0,4,7,2,0,0,0
57406009.0,2,1,0,0,0,0
59927004.0,244,51,45,12,0,0
60862001.0,17,1,0,1,0,0
61462000.0,157,302,20,37,4,1
61599003.0,0,1,0,0,0,0
62315008.0,104,107,135,7,1,0
63102001.0,35,29,4,0,0,0
67362008.0,0,0,0,0,0,0
68566005.0,5,13,3,0,0,0
69322001.0,16,17,7,1,1,0
69896004.0,250,1248,36,15,0,0
73211009.0,1797,1130,198,109,10,25
73442001.0,0,0,0,0,0,0
74732009.0,892,478,138,18,42,8
75694006.0,8,7,0,0,0,0
76376003.0,0,0,0,1,0,0
86044005.0,71,34,13,2,0,0
709044004.0,53,39,7,4,0,1
129103003.0,0,4,0,0,0,0
195967001.0,251,305,100,16,15,0
200936003.0,150,148,39,13,0,6
233604007.0,244,231,220,20,43,2
698247007.0,307,3306,341,19,2,15
