,,0
3723001.0,female,19
49049000.0,male,34
63102001.0,female,2
tuberculoses,female,66
26929004.0,male,33
52448006.0,male,60
24700007.0,female,7907
covid-19,female,43
52448006.0,female,48
73211009.0,female,102
covid-19,male,103
32798002.0,male,7
49049000.0,female,39
21134002.0,male,102
74732009.0,female,64
40733004.0,female,88
40733004.0,male,215
6142004.0,male,113
6471006.0,male,674
24700007.0,male,133
tuberculoses,male,58
22298006.0,female,103
21134002.0,female,48
6142004.0,female,55
73211009.0,male,113
49601007.0,male,33
74732009.0,male,103
6471006.0,female,329
35489007.0,male,435
hypertension,male,50
11381005.0,female,10
61462000.0,female,16
35489007.0,female,244
195967001.0,male,40
195967001.0,female,29
22298006.0,male,169
91302008,female,3
91302008,male,6
61462000.0,male,35
hypertension,female,42
3723001.0,male,27
69896004.0,male,14
69896004.0,female,6
menstruation,female,11
32798002.0,female,5
15188001.0,female,7
59927004.0,male,4
26929004.0,female,26
hepatitis b,male,3
233604007.0,female,21
32398004.0,male,2
43116000.0,female,3
233604007.0,male,30
161712005.0,female,34
62315008.0,male,22
8357008.0,female,2
syphilis,male,9
49601007.0,female,20
43116000.0,male,3
62315008.0,female,8
11381005.0,male,11
69322001.0,male,20
200936003.0,male,14
200936003.0,female,10
161712005.0,male,11
56925008.0,male,5
syphilis,female,2
15188001.0,male,12
18193002.0,male,5
74732009.0,non-binary,2
18193002.0,female,1
hiv/aids,female,10
35489007.0,non-binary,8
63102001.0,male,7
69322001.0,female,12
60862001.0,female,2
13746004.0,female,4
56317004.0,male,1
396275006.0,male,1
21134002.0,non-binary,4
6471006.0,non-binary,3
56925008.0,female,1
698247007.0,female,17
menstruation,male,3
hiv/aids,male,11
36971009.0,female,1
13746004.0,male,6
hiv/aids,non-binary,1
60862001.0,male,2
57182000.0,male,6
29384001.0,male,1
8357008.0,male,1
takotsubo cardiomyopathy,male,1
takotsubo cardiomyopathy,female,1
57182000.0,female,2
39400004.0,male,1
10743008.0,male,17
57406009.0,male,1
46635009.0,female,1
698247007.0,male,10
129103003.0,female,2
86044005.0,male,4
86044005.0,female,2
hepatitis b,female,2
10743008.0,female,11
23502006.0,female,1
73211009.0,non-binary,2
24693007.0,female,4
54150009.0,male,2
709044004.0,male,2
53741008.0,male,2
ulcerative colitis,male,3
ulcerative colitis,female,3
18718003.0,male,2
44054006.0,male,4
23502006.0,male,1
53741008.0,female,1
396275006.0,female,2
44054006.0,female,4
129103003.0,male,1
6142004.0,non-binary,1
40733004.0,non-binary,1
200936003.0,non-binary,1
crohn’s disease,male,1
crohn’s disease,female,1
50829006.0,male,1
34486009.0,female,1
32398004.0,female,1
46635009.0,male,1
endocarditis,male,1
