,,0
35489007.0,abilify,6
195967001.0,vaccines,3
6142004.0,vaccines,14
6142004.0,aspirin,3
hypertension,insulin,18
233604007.0,vaccines,1
covid-19,vaccines,79
73211009.0,insulin,161
200936003.0,vaccines,1
hypertension,sildenafil,1
26929004.0,vaccines,3
26929004.0,aspirin,1
52448006.0,vaccines,3
52448006.0,aspirin,3
49601007.0,aspirin,8
32398004.0,insulin,3
35489007.0,nicotine,1
195967001.0,nicotine,2
40733004.0,acetaminophen,3
195967001.0,acetaminophen,1
40733004.0,vaccines,20
46635009.0,insulin,3
3723001.0,ibuprofen,1
22298006.0,abiraterone,1
22298006.0,aspirin,9
49601007.0,insulin,8
698247007.0,insulin,2
39400004.0,insulin,1
709044004.0,insulin,3
6471006.0,aspirin,2
40733004.0,aspirin,3
6471006.0,ritalin,1
35489007.0,ritalin,1
tuberculoses,aspirin,3
tuberculoses,paracetamol,1
tuberculoses,insulin,1
73211009.0,aspirin,10
73211009.0,paracetamol,1
698247007.0,lidocaine,3
6471006.0,vaccines,1
200936003.0,warfarin,1
200936003.0,heparin,2
62315008.0,ibuprofen,1
195967001.0,paracetamol,3
35489007.0,avastin,2
49601007.0,viagra,1
73211009.0,warfarin,2
73211009.0,metoprolol,1
195967001.0,insulin,6
3723001.0,humira,3
69896004.0,humira,3
hypertension,aspirin,6
40733004.0,viagra,2
195967001.0,aspirin,6
56925008.0,sildenafil,1
73211009.0,aripiprazole,2
73211009.0,abilify,3
195967001.0,aripiprazole,1
195967001.0,abilify,1
24700007.0,nicotine,1
40733004.0,cialis,1
hypertension,nicotine,2
73211009.0,nicotine,2
endocarditis,aspirin,1
endocarditis,insulin,1
syphilis,aspirin,2
chagas disease,aspirin,1
3723001.0,aspirin,3
6142004.0,insulin,1
14669001.0,aspirin,1
14669001.0,insulin,1
23502006.0,aspirin,1
23502006.0,insulin,1
23919004.0,aspirin,1
23919004.0,insulin,1
24700007.0,insulin,1
40733004.0,insulin,9
52448006.0,insulin,3
61462000.0,aspirin,1
61599003.0,aspirin,1
68566005.0,aspirin,1
69896004.0,aspirin,1
200936003.0,aspirin,2
200936003.0,insulin,1
233604007.0,aspirin,1
hypertension,heparin,2
74732009.0,buprenorphine,2
24700007.0,acetaminophen,1
24700007.0,paracetamol,1
32798002.0,acetaminophen,1
32798002.0,paracetamol,1
35489007.0,acetaminophen,1
35489007.0,paracetamol,1
40733004.0,paracetamol,2
49049000.0,acetaminophen,1
49049000.0,paracetamol,1
49601007.0,heparin,1
62315008.0,abilify,1
62315008.0,avastin,1
59927004.0,aspirin,1
59927004.0,benadryl,1
62315008.0,aspirin,1
62315008.0,benadryl,1
35489007.0,insulin,2
44054006.0,ibuprofen,1
44054006.0,acetaminophen,1
44054006.0,insulin,3
73211009.0,ibuprofen,2
73211009.0,acetaminophen,3
195967001.0,ibuprofen,1
hypertension,fentanyl,1
35489007.0,fentanyl,1
75694006.0,fentanyl,1
tuberculoses,adalimumab,1
tuberculoses,humira,1
ulcerative colitis,adalimumab,1
ulcerative colitis,humira,1
ulcerative colitis,darbepoetin alfa,1
ulcerative colitis,pegfilgrastim,1
crohn’s disease,adalimumab,1
crohn’s disease,humira,1
crohn’s disease,darbepoetin alfa,1
crohn’s disease,pegfilgrastim,1
3723001.0,adalimumab,2
3723001.0,darbepoetin alfa,1
3723001.0,etanercept,1
3723001.0,pegfilgrastim,1
40733004.0,adalimumab,1
40733004.0,humira,1
69896004.0,adalimumab,1
69896004.0,darbepoetin alfa,1
69896004.0,etanercept,1
69896004.0,pegfilgrastim,1
3723001.0,lipitor,1
22298006.0,heparin,2
22298006.0,atripla,1
195967001.0,heparin,1
195967001.0,atripla,1
74732009.0,ritalin,1
6142004.0,acetaminophen,2
6142004.0,doxycycline,1
6142004.0,duloxetine,1
6142004.0,hydrocodone bitartrate,1
hypertension,victoza,1
44054006.0,victoza,1
73211009.0,victoza,1
23502006.0,vaccines,2
6142004.0,tamiflu,2
6142004.0,oseltamivir,1
233604007.0,tamiflu,1
233604007.0,oseltamivir,1
39400004.0,ibuprofen,1
91302008,ibuprofen,1
hepatitis b,heparin,1
40733004.0,heparin,1
61462000.0,heparin,1
tuberculoses,vaccines,2
hepatitis b,vaccines,5
195967001.0,warfarin,1
195967001.0,mometasone,1
22298006.0,atorvastatin,1
6471006.0,trastuzumab,1
6471006.0,infliximab,1
24693007.0,bevacizumab,1
31384009.0,trastuzumab,1
31384009.0,infliximab,1
56317004.0,trastuzumab,1
56317004.0,bevacizumab,1
60862001.0,bevacizumab,1
233604007.0,infliximab,1
74732009.0,nicotine,2
40733004.0,januvia,1
40733004.0,sitagliptin,1
44054006.0,januvia,1
54150009.0,januvia,1
54150009.0,sitagliptin,1
54150009.0,insulin,1
73211009.0,januvia,1
75694006.0,januvia,1
75694006.0,sitagliptin,1
73211009.0,darunavir,1
73211009.0,raltegravir,1
hypertension,rituximab,1
hypertension,abatacept,1
hypertension,etanercept,1
396275006.0,rituximab,1
396275006.0,abatacept,1
396275006.0,etanercept,1
32398004.0,rituximab,1
32398004.0,abatacept,1
32398004.0,etanercept,1
39621005.0,rituximab,1
39621005.0,abatacept,1
