,,0
35489007.0,white/caucasian,226
35489007.0,black/african american,247
6471006.0,white/caucasian,125
3723001.0,white/caucasian,20
tuberculoses,black/african american,517
40733004.0,white/caucasian,130
40733004.0,black/african american,142
tuberculoses,white/caucasian,410
698247007.0,black/african american,212
21134002.0,white/caucasian,79
covid-19,white/caucasian,296
covid-19,black/african american,224
24700007.0,black/african american,231
7973008.0,black/african american,2
698247007.0,white/caucasian,46
698247007.0,hispanic/latino,25
21134002.0,black/african american,81
24700007.0,white/caucasian,200
22298006.0,black/african american,107
73211009.0,black/african american,142
10743008.0,black/african american,22
22298006.0,white/caucasian,89
69896004.0,white/caucasian,41
69896004.0,black/african american,132
195967001.0,black/african american,33
6142004.0,white/caucasian,46
195967001.0,white/caucasian,29
233604007.0,white/caucasian,29
73211009.0,white/caucasian,139
26929004.0,white/caucasian,14
52448006.0,white/caucasian,34
34840004.0,black/african american,1
6142004.0,black/african american,51
60862001.0,white/caucasian,4
40733004.0,hispanic/latino,26
49049000.0,white/caucasian,24
59927004.0,hispanic/latino,5
6471006.0,black/african american,197
195967001.0,asian,6
13746004.0,white/caucasian,3
13746004.0,black/african american,2
195967001.0,hispanic/latino,8
233604007.0,hispanic/latino,11
15188001.0,asian,1
49049000.0,hispanic/latino,5
35489007.0,hispanic/latino,38
73211009.0,native american/indigenous,4
21134002.0,hispanic/latino,22
21134002.0,asian,13
35489007.0,asian,11
tuberculoses,hispanic/latino,11
hepatitis b,hispanic/latino,2
hepatitis b,black/african american,4
61462000.0,black/african american,35
hypertension,white/caucasian,31
49601007.0,hispanic/latino,10
40733004.0,pacific islander,1
74732009.0,white/caucasian,80
86044005.0,white/caucasian,8
covid-19,hispanic/latino,19
6142004.0,hispanic/latino,12
52448006.0,hispanic/latino,14
40733004.0,native american/indigenous,6
22298006.0,hispanic/latino,20
200936003.0,hispanic/latino,12
74732009.0,hispanic/latino,21
61462000.0,hispanic/latino,4
161712005.0,white/caucasian,3
161712005.0,black/african american,2
63102001.0,hispanic/latino,1
syphilis,native american/indigenous,1
62315008.0,white/caucasian,23
62315008.0,hispanic/latino,8
6471006.0,hispanic/latino,28
hypertension,hispanic/latino,9
69322001.0,hispanic/latino,3
73211009.0,hispanic/latino,29
69322001.0,native american/indigenous,1
74732009.0,native american/indigenous,3
menstruation,hispanic/latino,5
11381005.0,hispanic/latino,6
hiv/aids,white/caucasian,15
32398004.0,hispanic/latino,2
200936003.0,black/african american,18
74732009.0,black/african american,58
11381005.0,white/caucasian,22
43116000.0,white/caucasian,5
syphilis,white/caucasian,3
syphilis,black/african american,7
200936003.0,white/caucasian,16
3723001.0,hispanic/latino,6
61462000.0,white/caucasian,24
35489007.0,native american/indigenous,5
62315008.0,black/african american,15
menstruation,black/african american,3
61462000.0,asian,5
18193002.0,hispanic/latino,1
3723001.0,native american/indigenous,1
26929004.0,hispanic/latino,4
11381005.0,black/african american,19
57182000.0,hispanic/latino,1
69322001.0,white/caucasian,4
69322001.0,black/african american,5
49049000.0,black/african american,19
menstruation,white/caucasian,4
49601007.0,white/caucasian,36
39621005.0,black/african american,2
49601007.0,black/african american,25
3723001.0,black/african american,16
161712005.0,hispanic/latino,3
13746004.0,hispanic/latino,1
15188001.0,hispanic/latino,1
32398004.0,white/caucasian,2
396275006.0,white/caucasian,2
396275006.0,hispanic/latino,4
32798002.0,white/caucasian,6
6471006.0,native american/indigenous,5
18193002.0,white/caucasian,1
91302008,native american/indigenous,1
52448006.0,black/african american,31
8357008.0,black/african american,2
10743008.0,white/caucasian,15
26929004.0,black/african american,10
37340000.0,black/african american,1
hypertension,black/african american,35
37340000.0,white/caucasian,2
covid-19,asian,10
40733004.0,asian,7
24700007.0,hispanic/latino,21
63102001.0,white/caucasian,9
63102001.0,black/african american,8
11381005.0,native american/indigenous,1
29384001.0,black/african american,1
15188001.0,black/african american,11
61462000.0,pacific islander,1
57182000.0,white/caucasian,2
6471006.0,asian,9
21134002.0,native american/indigenous,7
57182000.0,black/african american,2
74732009.0,asian,3
6142004.0,asian,4
15188001.0,white/caucasian,2
43116000.0,black/african american,5
tuberculoses,asian,7
69896004.0,asian,3
698247007.0,pacific islander,3
22298006.0,asian,5
22298006.0,pacific islander,2
396275006.0,black/african american,4
24700007.0,asian,2
698247007.0,asian,3
7973008.0,white/caucasian,3
23502006.0,white/caucasian,2
86044005.0,black/african american,9
50829006.0,white/caucasian,6
68566005.0,hispanic/latino,1
tuberculoses,native american/indigenous,5
24700007.0,pacific islander,2
233604007.0,black/african american,20
hypertension,asian,7
hypertension,native american/indigenous,3
hypertension,pacific islander,3
68566005.0,black/african american,6
hiv/aids,black/african american,15
69896004.0,hispanic/latino,6
91302008,white/caucasian,9
75694006.0,black/african american,2
22298006.0,native american/indigenous,5
24700007.0,native american/indigenous,1
233604007.0,native american/indigenous,4
49601007.0,asian,3
73211009.0,asian,14
53741008.0,white/caucasian,5
hiv/aids,hispanic/latino,5
26929004.0,asian,2
26929004.0,pacific islander,1
52448006.0,asian,2
52448006.0,pacific islander,1
68566005.0,white/caucasian,3
75694006.0,white/caucasian,3
