,,0
3723001.0,female,41
22298006.0,male,302
35489007.0,male,828
49049000.0,male,70
tuberculoses,male,192
63102001.0,female,2
49049000.0,female,60
tuberculoses,female,207
69896004.0,male,34
26929004.0,male,57
52448006.0,male,100
24700007.0,male,234
24700007.0,female,7913
covid-19,female,124
52448006.0,female,77
73211009.0,female,188
covid-19,male,266
32798002.0,male,9
21134002.0,male,205
74732009.0,female,162
40733004.0,female,236
40733004.0,male,508
6142004.0,male,190
698247007.0,female,40
6471006.0,male,1155
10743008.0,male,59
6471006.0,female,580
74732009.0,male,228
35489007.0,female,485
6142004.0,female,129
hypertension,male,105
73211009.0,male,258
22298006.0,female,189
21134002.0,female,122
49601007.0,male,75
49601007.0,female,52
57406009.0,male,4
26929004.0,female,41
hiv/aids,female,22
74732009.0,non-binary,13
11381005.0,female,20
61462000.0,female,45
61462000.0,male,66
195967001.0,male,66
62315008.0,female,32
hypertension,female,94
195967001.0,female,51
233604007.0,female,34
91302008,male,18
91302008,female,12
50829006.0,female,2
233604007.0,male,64
3723001.0,male,52
69896004.0,female,25
menstruation,female,26
32798002.0,female,7
15188001.0,female,12
200936003.0,male,29
13746004.0,male,18
396275006.0,male,2
59927004.0,male,16
hepatitis b,male,5
32398004.0,male,5
43116000.0,female,6
43116000.0,male,8
62315008.0,male,61
13746004.0,female,13
161712005.0,female,43
86044005.0,male,12
8357008.0,female,2
15188001.0,male,19
syphilis,male,26
35489007.0,non-binary,13
covid-19,non-binary,1
11381005.0,male,22
69322001.0,male,45
69322001.0,female,24
hiv/aids,male,33
18193002.0,female,2
18193002.0,male,7
200936003.0,female,17
161712005.0,male,22
56925008.0,male,10
56925008.0,female,4
syphilis,female,8
menstruation,male,11
44054006.0,male,7
23502006.0,male,3
6142004.0,non-binary,3
32914008.0,male,2
32914008.0,female,2
21134002.0,non-binary,12
syphilis,non-binary,1
61462000.0,non-binary,1
63102001.0,male,12
60862001.0,male,8
60862001.0,female,4
56317004.0,male,5
56317004.0,female,2
34840004.0,female,1
57406009.0,female,1
34486009.0,male,2
39621005.0,male,2
73211009.0,non-binary,4
62315008.0,non-binary,1
75694006.0,female,2
6471006.0,non-binary,6
10743008.0,female,20
10743008.0,non-binary,1
50829006.0,male,8
698247007.0,male,42
52702003.0,male,1
36971009.0,female,1
hiv/aids,non-binary,1
57182000.0,male,10
39400004.0,male,2
709044004.0,male,6
29384001.0,male,2
takotsubo cardiomyopathy,male,2
takotsubo cardiomyopathy,female,2
57182000.0,female,4
8357008.0,male,1
59927004.0,female,10
68566005.0,male,1
46635009.0,female,1
91302008,non-binary,1
129103003.0,male,3
129103003.0,female,2
32398004.0,female,2
86044005.0,female,3
hepatitis b,female,4
23502006.0,female,2
24693007.0,female,5
396275006.0,female,3
ulcerative colitis,male,8
ulcerative colitis,female,6
24693007.0,male,1
endocarditis,female,1
54150009.0,male,3
53741008.0,male,3
53741008.0,female,5
39621005.0,female,1
68566005.0,female,1
709044004.0,female,2
18718003.0,male,2
44054006.0,female,8
69322001.0,non-binary,1
13746004.0,non-binary,1
24700007.0,non-binary,1
29384001.0,female,1
40733004.0,non-binary,1
200936003.0,non-binary,1
crohn’s disease,male,1
crohn’s disease,female,1
34486009.0,female,2
46635009.0,male,1
endocarditis,male,1
