,ibuprofen,acetaminophen,lidocaine,esomeprazole,pregabalin,oxycodone,fluticasone propionate,valsartan,doxycycline,eszopiclone,sildenafil,abiraterone,tadalafil,aspirin,aripiprazole,budesonide,pradaxa,celecoxib,ezetimibe,vytorin,nicotine,duloxetine,benicar,methylphenidate,insulin lispro,adalimumab,paracetamol,liraglutide,pemetrexed,fenofibrate,rivaroxaban,everolimus,capecitabine,darunavir,triamcinolone,buprenorphine,divalproex sodium,ranibizumab,castor oil,melatonin,epoetin alfa,fentanyl,hydrocodone bitartrate,ustekinumab,lyrica,rituximab,filgrastim,diovan,lantus,insulin glargine,quetiapine,tamiflu,xeloda,isentress,raltegravir,janumet,cinacalcet,atazanavir,hydrocortisone cream,novolog,insulin aspart,warfarin,rosuvastatin,lantus solostar,humira,januvia,sitagliptin,xolair,omalizumab,xarelto,vaccines,imatinib,evista,adderall xr,memantine,aranesp,darbepoetin alfa,sensipar,xgeva,denosumab,stelara,oxycontin,abilify,vyvanse,prezista,raloxifene,seroquel xr,lisdexamfetamine,copaxone,dexlansoprazole,metoprolol,trastuzumab,palivizumab,infliximab,abatacept,gravol,reyataz,pepto bismol,levemir,insulin detemir,tiotropium bromide,lucentis,tylenol pm,enbrel,etanercept,renvela,oseltamivir,crestor,aciphex,ventolin hfa,lunesta,celebrex,solifenacin,mometasone,benadryl,nexplanon,viagra,synthroid,prevnar 13,pitocin,rebif,nexium,cymbalta,flovent hfa,humalog,dexilant,epogen,adderall,remicade,cialis,proair hfa,avonex,fingolimod,synagis,alimta,humalog kwikpen,namenda,bevacizumab,lipitor,heparin,afinitor,nasonex,victoza,avonex pen,zetia,dabigatran,orencia,suboxone,neupogen,zytiga,telaprevir,ritalin,gilenya,atripla,symbicort,avastin,truvada,pegfilgrastim,levothyroxine,herceptin,complera,stribild,rabeprazole,glatiramer,neulasta,insulin,lovaza,atorvastatin,vesicare,restasis,androgel
hiv/aids,9,12,3,0,10,9,0,0,24,6,2,0,0,34,4,0,0,1,1,0,52,7,0,4,0,6,10,0,1,0,2,0,0,40,1,8,0,1,1,26,0,6,0,2,1,95,0,0,0,0,11,6,0,6,88,1,0,12,1,1,0,5,0,0,0,6,2,6,11,0,1043,4,0,0,2,0,0,1,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0,12,0,0,0,0,1,0,0,0,0,1,10,0,16,0,0,0,0,1,0,0,0,1,7,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,2,7,0,0,5,0,3,2,0,0,0,0,0,0,0,7,2,0,43,0,0,1,6,6,0,0,0,215,0,2,0,2,0
covid-19,880,266,41,42,35,418,8,6,354,4,162,7,16,805,17,363,1,36,5,0,1826,23,4,15,30,71,976,4,10,188,9,13,1,20,37,559,0,17,40,66,0,2523,0,4,111,108,8,6,13,63,27,264,1,10,32,5,0,18,0,1,1,112,3,0,160,30,14,2,15,2,228642,61,53,0,5,0,0,0,1,1,1,379,21,6,18,330,0,0,0,2,2,60,15,156,3,0,0,0,1,0,1,10,2,12,14,6,274,7,0,0,3,133,0,51,13,4,443,0,65,0,21,82,39,0,27,0,0,36,38,91,0,24,9,8,9,0,4,190,211,1329,0,1,5,0,15,7,3,143,4,1,15,32,0,15,6,17,226,6,5,11,2,2,2,22,6,1432,3,107,0,0,0
takotsubo cardiomyopathy,0,1,2,0,0,1,0,0,0,0,0,0,0,89,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0
tuberculoses,90,129,13,0,3,33,6,3,175,0,3,0,4,336,8,10,1,23,2,0,884,21,0,21,16,138,253,0,20,5,16,18,1,15,40,14,1,6,22,27,0,35,0,48,1,81,8,6,16,48,5,31,1,4,16,2,1,4,0,0,0,127,3,0,144,12,4,2,4,10,7406,24,0,0,4,0,0,0,0,4,2,4,9,0,1,0,0,0,3,0,2,5,0,323,13,0,0,0,0,0,0,10,0,100,138,8,26,0,0,0,0,4,0,0,2,0,13,0,0,2,0,7,1,0,0,0,1,4,28,6,0,6,7,1,1,0,0,13,10,79,0,0,0,0,6,4,91,0,4,0,2,13,2,4,2,13,10,1,0,4,0,0,3,12,0,730,0,31,0,1,0
endocarditis,20,17,38,0,0,2,0,0,92,0,1,0,1,146,0,0,0,1,0,0,3,0,0,3,0,4,15,0,0,0,4,0,0,0,0,2,0,0,0,1,0,8,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2,0,0,0,0,0,0,3,144,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,4,4,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,60,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0
syphilis,30,19,8,0,3,4,0,2,485,0,2,3,1,63,6,0,0,6,0,0,31,3,0,19,2,2,22,0,3,0,0,0,3,1,8,7,0,7,7,15,0,13,0,3,0,32,1,0,0,2,23,0,0,0,6,0,0,6,0,0,0,37,0,0,6,0,0,0,0,0,1689,1,5,0,11,0,0,0,0,1,0,2,4,1,0,0,0,0,1,0,1,3,0,11,2,0,2,0,0,0,0,0,0,2,5,0,3,0,0,0,0,0,0,0,1,0,19,0,0,1,1,2,3,0,3,0,0,9,2,8,0,1,3,0,1,0,0,8,3,27,0,0,0,0,0,0,2,1,0,0,2,3,0,2,0,2,25,0,4,0,0,0,0,6,0,188,0,4,0,0,0
hypertension,540,202,154,9,165,69,14,943,135,12,1694,178,845,2026,80,25,11,218,24,4,3052,66,17,403,9,38,495,30,31,12,60,73,10,0,57,62,4,44,13,287,66,340,0,18,22,78,6,63,9,25,108,92,2,4,4,3,1,7,0,0,0,1216,41,0,31,17,10,4,2,6,1076,350,0,3,67,17,27,0,0,4,2,7,13,26,4,9,12,91,5,0,459,39,0,74,22,0,3,0,1,0,0,49,1,10,47,4,150,3,0,0,1,48,3,22,17,2,516,2,2,17,2,9,17,0,1,0,16,60,23,383,0,2,39,0,0,0,10,477,36,634,4,8,0,0,7,98,1,2,5,11,5,68,7,2,4,112,33,2,79,6,0,0,0,19,0,4759,9,194,0,4,3
sarcoidoses,20,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,14,0,0,10,0,30,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0
hepatitis b,29,68,15,1,1,3,35,0,29,0,0,0,0,51,0,12,0,1,2,0,14,3,0,0,2,51,259,1,1,0,0,19,4,21,2,3,0,1,4,4,6,3,0,3,0,154,17,0,2,6,0,25,1,2,29,1,0,21,0,0,0,27,1,0,38,6,2,1,2,0,6431,13,0,0,0,0,0,0,0,5,0,2,1,0,2,11,0,0,0,0,0,12,2,71,0,0,0,0,0,0,0,1,0,3,42,1,57,2,0,5,0,1,0,0,2,0,6,0,0,1,8,2,0,0,0,0,1,0,11,2,0,2,1,1,0,0,0,17,2,112,0,0,0,0,3,17,0,0,2,0,71,0,0,16,0,1,118,4,5,5,18,23,1,0,6,606,5,1,0,0,0
ulcerative colitis,68,19,9,3,1,1,12,0,25,0,1,0,1,129,0,243,0,9,2,0,929,2,0,1,0,653,31,0,0,0,0,2,14,0,26,0,0,1,3,0,2,9,0,287,3,41,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,23,0,0,270,1,4,0,2,0,115,0,0,0,0,1,1,0,0,1,6,0,0,0,0,5,0,0,0,0,0,4,0,1038,2,0,0,0,0,0,0,0,0,12,106,0,1,0,0,0,0,4,2,7,0,0,3,0,2,0,0,0,0,0,0,0,2,0,41,1,0,0,31,2,0,0,2,7,6,14,0,1,0,0,0,2,0,0,0,0,1,1,5,1,3,0,14,0,0,0,0,0,0,0,0,140,0,3,0,1,0
