,male,female,non-binary
hiv/aids,49286,35322,9445
covid-19,3913146,1938573,36142
takotsubo cardiomyopathy,562,797,10
tuberculoses,924917,423537,3612
endocarditis,9191,3585,36
syphilis,192349,82234,4048
hypertension,142709,91631,821
sarcoidoses,500,139,1
hepatitis b,28695,24079,1512
ulcerative colitis,13258,5350,70
crohn’s disease,659,290,0
chagas disease,8494,2692,22
3545003.0,172,92,0
3716002.0,5935,3113,21
3723001.0,146603,90870,746
4308002.0,6,15,0
6142004.0,400397,219109,1353
6471006.0,6257887,3364604,87108
7973008.0,214,92,0
8357008.0,999,1267,20
menstruation,61570,163613,2569
9829001.0,6362,3734,12
10743008.0,24372,11995,140
11381005.0,46024,47670,328
11654001.0,807,561,0
13746004.0,201667,152413,2450
34486009.0,7210,9996,357
40930008.0,2048,3307,6
14669001.0,1685,845,0
15188001.0,93384,47566,478
18193002.0,15863,8015,65
18718003.0,1339,1322,12
21134002.0,754131,630168,34212
396275006.0,13573,11039,90
22298006.0,1832082,741630,9634
23502006.0,19213,18815,299
23919004.0,568,604,12
24693007.0,6093,8430,169
24700007.0,106069,129597,1181
25458004.0,1223,748,1
26889001.0,342,429,1
26929004.0,321784,223435,1899
29384001.0,11883,6667,23
30811009.0,69,14,0
31384009.0,648,306,4
32398004.0,75542,34766,290
32798002.0,188459,63857,1124
32914008.0,1607,652,3
34840004.0,56657,14258,52
35489007.0,3519195,1928602,49079
36971009.0,4351,1852,111
37340000.0,24278,9387,102
39400004.0,2334,1599,2
39621005.0,20837,6862,35
40733004.0,980138,594190,18969
91302008,84803,52792,397
161712005.0,47627,137796,1086
43116000.0,14717,8941,21
44054006.0,28680,19851,182
46635009.0,1960,1525,9
49049000.0,494813,194123,3634
49601007.0,293145,171688,2667
50829006.0,3236,2415,7
52448006.0,634223,419298,4097
52702003.0,11643,12899,364
53741008.0,22672,8745,69
54150009.0,2294,1725,2
56317004.0,14699,10398,114
56925008.0,42811,35495,1373
57182000.0,31701,13561,241
57406009.0,4693,3111,14
59927004.0,139720,62876,640
60862001.0,24094,7802,68
61462000.0,461105,174827,1550
61599003.0,10119,3514,47
62315008.0,87555,52105,619
63102001.0,16423,7489,38
67362008.0,0,0,0
68566005.0,11436,7619,98
69322001.0,146441,94946,1269
69896004.0,38256,27208,164
73211009.0,485788,269588,3002
73442001.0,8,6,0
74732009.0,1503911,1189705,69325
75694006.0,20236,6663,69
76376003.0,151,3466,0
86044005.0,28366,10667,351
709044004.0,10532,5984,17
129103003.0,7973,32947,214
195967001.0,228815,109576,1520
200936003.0,113347,60760,430
233604007.0,810761,338273,6148
698247007.0,45329,18450,174
