,,0
covid-19,vaccines,2060
40733004.0,doxycycline,110
18718003.0,lidocaine,2
hepatitis b,vaccines,200
24700007.0,vaccines,32
40733004.0,vaccines,824
73211009.0,insulin,1465
49601007.0,nicotine,45
61462000.0,nicotine,4
3723001.0,aspirin,40
6471006.0,ibuprofen,4
6471006.0,aspirin,37
13746004.0,aspirin,3
396275006.0,aspirin,13
22298006.0,ibuprofen,20
22298006.0,aspirin,89
29384001.0,ibuprofen,6
29384001.0,aspirin,10
29384001.0,warfarin,3
35489007.0,aspirin,35
40733004.0,aspirin,82
49601007.0,aspirin,72
49601007.0,ibuprofen,10
52448006.0,aspirin,20
53741008.0,aspirin,10
59927004.0,aspirin,17
60862001.0,aspirin,10
62315008.0,aspirin,27
69896004.0,aspirin,26
73211009.0,aspirin,77
73211009.0,ibuprofen,18
73211009.0,warfarin,30
709044004.0,aspirin,6
195967001.0,aspirin,60
195967001.0,ibuprofen,18
195967001.0,warfarin,5
40733004.0,warfarin,33
69322001.0,warfarin,4
22298006.0,insulin,72
3723001.0,ibuprofen,34
3723001.0,acetaminophen,15
3723001.0,paracetamol,19
21134002.0,ibuprofen,7
21134002.0,acetaminophen,5
21134002.0,paracetamol,8
396275006.0,ibuprofen,16
396275006.0,acetaminophen,12
396275006.0,paracetamol,10
24693007.0,ibuprofen,3
24693007.0,acetaminophen,5
24693007.0,paracetamol,5
69896004.0,ibuprofen,16
69896004.0,acetaminophen,12
69896004.0,paracetamol,10
200936003.0,ibuprofen,7
200936003.0,acetaminophen,4
200936003.0,paracetamol,4
62315008.0,warfarin,24
hepatitis b,oseltamivir,3
chagas disease,vaccines,12
61462000.0,vaccines,241
35489007.0,insulin,117
57182000.0,pregabalin,5
57182000.0,duloxetine,4
35489007.0,nicotine,84
62315008.0,nicotine,16
6471006.0,aripiprazole,2
6471006.0,quetiapine,12
6471006.0,abilify,1
24693007.0,duloxetine,10
35489007.0,duloxetine,28
35489007.0,aripiprazole,38
35489007.0,quetiapine,34
35489007.0,abilify,8
hypertension,adderall,4
35489007.0,lisdexamfetamine,12
35489007.0,adderall,15
56925008.0,adderall,3
62315008.0,adderall,4
69322001.0,lisdexamfetamine,3
hypertension,insulin,171
6142004.0,duloxetine,2
35489007.0,metoprolol,8
56925008.0,duloxetine,10
13746004.0,aripiprazole,20
13746004.0,quetiapine,29
21134002.0,quetiapine,1
21134002.0,aripiprazole,2
32798002.0,aripiprazole,10
32798002.0,quetiapine,14
32798002.0,abilify,3
49049000.0,aripiprazole,6
49049000.0,quetiapine,13
49049000.0,abilify,4
52448006.0,aripiprazole,12
52448006.0,quetiapine,14
56925008.0,aripiprazole,7
56925008.0,quetiapine,8
62315008.0,aripiprazole,3
62315008.0,quetiapine,4
69322001.0,aripiprazole,18
69322001.0,quetiapine,15
69322001.0,abilify,2
74732009.0,quetiapine,11
endocarditis,doxycycline,7
11381005.0,doxycycline,14
40733004.0,dabigatran,3
233604007.0,doxycycline,18
tuberculoses,vaccines,241
73211009.0,vaccines,102
57182000.0,lidocaine,7
13746004.0,melatonin,13
13746004.0,pregabalin,4
35489007.0,melatonin,57
35489007.0,pregabalin,19
26929004.0,vaccines,31
52448006.0,vaccines,37
35489007.0,memantine,21
69322001.0,memantine,5
74732009.0,memantine,2
hypertension,aspirin,77
hypertension,warfarin,30
22298006.0,warfarin,29
49601007.0,warfarin,22
698247007.0,aspirin,19
698247007.0,warfarin,37
44054006.0,insulin,450
49601007.0,insulin,193
26929004.0,aspirin,13
menstruation,insulin,15
24693007.0,insulin,9
3723001.0,remicade,14
49601007.0,remicade,3
195967001.0,paracetamol,13
195967001.0,methylphenidate,3
syphilis,doxycycline,5
35489007.0,filgrastim,1
40733004.0,filgrastim,10
syphilis,vaccines,32
tuberculoses,sildenafil,2
tuberculoses,viagra,2
73211009.0,sildenafil,10
73211009.0,viagra,9
62315008.0,vaccines,104
62315008.0,doxycycline,16
22298006.0,fentanyl,12
35489007.0,fentanyl,93
698247007.0,fentanyl,3
6471006.0,oxycodone,18
6471006.0,methylphenidate,6
6471006.0,oxycontin,7
6471006.0,ritalin,7
62315008.0,pregabalin,7
62315008.0,lyrica,3
6142004.0,nicotine,5
44054006.0,nicotine,8
73211009.0,nicotine,38
40733004.0,memantine,3
52448006.0,memantine,37
52448006.0,duloxetine,7
6142004.0,tamiflu,48
6142004.0,oseltamivir,44
59927004.0,acetaminophen,32
59927004.0,paracetamol,25
62315008.0,acetaminophen,22
62315008.0,paracetamol,17
6471006.0,acetaminophen,12
40733004.0,sildenafil,6
161712005.0,sildenafil,2
129103003.0,sildenafil,1
26929004.0,insulin,68
40733004.0,insulin,125
52448006.0,insulin,88
195967001.0,doxycycline,3
10743008.0,ibuprofen,4
21134002.0,insulin,28
698247007.0,insulin,16
covid-19,ibuprofen,9
3723001.0,vaccines,29
49049000.0,vaccines,25
49601007.0,vaccines,46
hypertension,methylphenidate,15
73211009.0,methylphenidate,7
hypertension,heparin,24
13746004.0,heparin,1
13746004.0,insulin,14
91302008,insulin,31
59927004.0,insulin,46
73211009.0,heparin,19
34486009.0,metoprolol,2
35489007.0,ritalin,20
49601007.0,rosuvastatin,15
49601007.0,lovaza,3
35489007.0,buprenorphine,26
233604007.0,buprenorphine,1
74732009.0,insulin,61
52448006.0,melatonin,25
74732009.0,benadryl,3
35489007.0,ibuprofen,15
35489007.0,acetaminophen,21
35489007.0,oxycodone,25
35489007.0,paracetamol,27
49601007.0,sildenafil,12
56925008.0,sildenafil,69
56925008.0,viagra,87
61462000.0,insulin,28
46635009.0,insulin,35
40733004.0,melatonin,6
hepatitis b,telaprevir,1
40733004.0,telaprevir,4
59927004.0,telaprevir,4
40733004.0,ibuprofen,55
40733004.0,lidocaine,33
40733004.0,heparin,68
40733004.0,triamcinolone,12
68566005.0,ibuprofen,2
68566005.0,lidocaine,1
68566005.0,heparin,4
129103003.0,ibuprofen,6
129103003.0,lidocaine,1
129103003.0,triamcinolone,2
129103003.0,heparin,1
tuberculoses,insulin,35
3723001.0,insulin,52
74732009.0,oxycodone,12
74732009.0,aspirin,8
3723001.0,lidocaine,6
40733004.0,rituximab,35
40733004.0,imatinib,11
32798002.0,vaccines,18
hiv/aids,doxycycline,2
34840004.0,doxycycline,2
57182000.0,doxycycline,4
233604007.0,insulin,19
32798002.0,oxycodone,1
32798002.0,methylphenidate,18
49049000.0,oxycodone,1
49049000.0,methylphenidate,20
69322001.0,oxycodone,2
69322001.0,methylphenidate,21
61462000.0,doxycycline,13
13746004.0,levothyroxine,1
6471006.0,vaccines,32
6471006.0,viagra,9
75694006.0,buprenorphine,1
13746004.0,methylphenidate,12
24700007.0,methylphenidate,5
35489007.0,methylphenidate,51
62315008.0,oxycodone,6
62315008.0,fentanyl,6
74732009.0,melatonin,8
21134002.0,metoprolol,2
161712005.0,ibuprofen,4
161712005.0,acetaminophen,4
161712005.0,paracetamol,3
161712005.0,metoprolol,1
49601007.0,lidocaine,8
53741008.0,lidocaine,1
73211009.0,lidocaine,8
hypertension,paracetamol,14
hypertension,acetaminophen,11
hypertension,ibuprofen,22
ulcerative colitis,aspirin,6
ulcerative colitis,paracetamol,1
10743008.0,paracetamol,2
22298006.0,acetaminophen,9
22298006.0,paracetamol,9
22298006.0,celecoxib,10
26929004.0,ibuprofen,6
26929004.0,lidocaine,1
29384001.0,acetaminophen,2
29384001.0,paracetamol,2
32798002.0,paracetamol,9
49049000.0,paracetamol,9
52448006.0,ibuprofen,6
52448006.0,lidocaine,1
56925008.0,ibuprofen,4
56925008.0,aspirin,6
56925008.0,celecoxib,3
62315008.0,esomeprazole,2
syphilis,aspirin,8
161712005.0,denosumab,3
161712005.0,raloxifene,11
233604007.0,raloxifene,1
11381005.0,insulin,19
40733004.0,viagra,7
6142004.0,oxycodone,2
6142004.0,vaccines,292
69322001.0,insulin,17
73211009.0,quetiapine,8
hypertension,sildenafil,35
hypertension,tadalafil,13
56925008.0,tadalafil,35
195967001.0,sildenafil,6
195967001.0,tadalafil,2
195967001.0,castor oil,3
tuberculoses,adalimumab,10
tuberculoses,abatacept,1
tuberculoses,etanercept,8
3723001.0,adalimumab,36
3723001.0,rituximab,22
3723001.0,infliximab,42
3723001.0,abatacept,10
3723001.0,etanercept,31
69896004.0,adalimumab,28
69896004.0,rituximab,20
69896004.0,infliximab,32
69896004.0,abatacept,10
69896004.0,etanercept,25
69896004.0,insulin,34
35489007.0,benadryl,6
52448006.0,nicotine,34
69322001.0,nicotine,10
62315008.0,castor oil,12
61462000.0,lidocaine,2
22298006.0,viagra,13
22298006.0,cialis,3
56925008.0,cialis,28
6471006.0,nicotine,23
49601007.0,lunesta,1
74732009.0,lunesta,2
11381005.0,aspirin,6
35489007.0,eszopiclone,9
40733004.0,mometasone,5
40733004.0,acetaminophen,55
40733004.0,paracetamol,47
200936003.0,telaprevir,1
6471006.0,insulin,40
40733004.0,truvada,15
35489007.0,vaccines,44
698247007.0,nicotine,9
698247007.0,buprenorphine,2
10743008.0,vaccines,5
60862001.0,doxycycline,2
200936003.0,doxycycline,4
tuberculoses,infliximab,9
40733004.0,infliximab,21
73211009.0,infliximab,4
covid-19,nicotine,20
195967001.0,nicotine,25
6471006.0,vyvanse,1
6471006.0,adderall,6
35489007.0,vyvanse,7
53741008.0,warfarin,2
11381005.0,vaccines,5
hepatitis b,insulin,26
161712005.0,vaccines,8
709044004.0,vaccines,2
161712005.0,warfarin,7
75694006.0,warfarin,3
hypertension,viagra,13
hypertension,cialis,7
22298006.0,sildenafil,9
49601007.0,viagra,10
63102001.0,sildenafil,1
63102001.0,viagra,1
73211009.0,cialis,1
hypertension,vaccines,32
23502006.0,vaccines,24
233604007.0,vaccines,113
233604007.0,castor oil,6
21134002.0,vaccines,44
49601007.0,benadryl,2
61462000.0,acetaminophen,7
61462000.0,aspirin,16
61462000.0,paracetamol,10
hiv/aids,vaccines,52
hiv/aids,insulin,15
6142004.0,insulin,9
6142004.0,ibuprofen,10
6142004.0,acetaminophen,13
6142004.0,aspirin,24
233604007.0,ibuprofen,8
233604007.0,acetaminophen,13
44054006.0,methylphenidate,2
39400004.0,ibuprofen,1
39400004.0,aspirin,2
62315008.0,insulin,59
39400004.0,paracetamol,8
39400004.0,insulin,4
hypertension,nicotine,33
22298006.0,nicotine,18
26929004.0,nicotine,30
32798002.0,nicotine,28
49049000.0,nicotine,31
39621005.0,insulin,10
75694006.0,insulin,44
ulcerative colitis,nicotine,7
32398004.0,nicotine,9
26929004.0,melatonin,16
69322001.0,aspirin,5
hypertension,lidocaine,8
22298006.0,lidocaine,11
hypertension,darbepoetin alfa,1
22298006.0,darbepoetin alfa,2
698247007.0,darbepoetin alfa,1
91302008,vaccines,19
covid-19,insulin,45
44054006.0,oxycodone,1
73211009.0,oxycodone,4
709044004.0,insulin,18
40733004.0,eszopiclone,1
35489007.0,warfarin,12
91302008,ibuprofen,6
91302008,acetaminophen,10
91302008,paracetamol,12
tuberculoses,ibuprofen,9
tuberculoses,aspirin,21
syphilis,ibuprofen,5
195967001.0,acetaminophen,9
195967001.0,omalizumab,17
195967001.0,budesonide,15
195967001.0,mometasone,10
74732009.0,ritalin,11
