,,0
6471006.0,male,45540
tuberculoses,male,9781
35489007.0,male,31293
35489007.0,female,18179
61462000.0,male,4143
61462000.0,female,1907
74732009.0,female,9799
6471006.0,female,29385
covid-19,male,33774
6142004.0,male,3195
62315008.0,male,883
covid-19,female,18439
tuberculoses,female,6051
22298006.0,male,26211
syphilis,male,1433
74732009.0,male,12551
hiv/aids,male,615
hiv/aids,female,494
73211009.0,female,3473
menstruation,female,1029
40733004.0,female,5607
91302008,female,556
200936003.0,female,659
75694006.0,male,243
3723001.0,male,1801
39621005.0,male,184
39621005.0,female,87
200936003.0,male,1042
15188001.0,male,978
15188001.0,female,626
73211009.0,male,5447
698247007.0,male,494
698247007.0,non-binary,3
40733004.0,male,8367
195967001.0,male,2300
195967001.0,female,1518
26929004.0,male,3936
26929004.0,female,2895
52448006.0,male,6384
52448006.0,female,4623
24700007.0,male,1342
22298006.0,female,11663
ulcerative colitis,female,71
21134002.0,male,7626
21134002.0,female,6037
24700007.0,female,1683
22298006.0,non-binary,186
709044004.0,male,150
709044004.0,female,104
233604007.0,male,10394
233604007.0,female,5568
49049000.0,male,4952
61462000.0,non-binary,13
hypertension,male,1565
49601007.0,male,4460
49601007.0,female,2599
13746004.0,male,1233
syphilis,female,800
32398004.0,male,807
32398004.0,female,482
32398004.0,non-binary,5
61599003.0,male,82
6471006.0,non-binary,1156
53741008.0,male,272
53741008.0,female,113
396275006.0,female,140
menstruation,male,539
6142004.0,female,1843
68566005.0,male,105
3723001.0,female,1254
69896004.0,female,402
69896004.0,male,492
62315008.0,female,686
13746004.0,female,926
18193002.0,male,118
91302008,male,907
21134002.0,non-binary,346
29384001.0,male,130
29384001.0,female,77
34840004.0,male,589
34840004.0,female,149
hypertension,female,1081
32798002.0,male,2524
69322001.0,male,1163
56925008.0,male,492
698247007.0,female,251
44054006.0,male,338
44054006.0,female,272
56925008.0,female,357
161712005.0,male,510
161712005.0,female,1152
59927004.0,male,1357
59927004.0,female,743
233604007.0,non-binary,162
74732009.0,non-binary,706
52702003.0,male,193
43116000.0,male,168
11381005.0,male,374
11381005.0,female,386
49049000.0,female,2491
49049000.0,non-binary,80
69322001.0,female,723
35489007.0,non-binary,524
hepatitis b,male,319
hepatitis b,female,209
40733004.0,non-binary,237
129103003.0,female,296
57182000.0,male,361
32798002.0,female,1301
75694006.0,female,114
chagas disease,female,27
chagas disease,male,62
57182000.0,female,179
56317004.0,male,190
56317004.0,female,170
50829006.0,male,42
37340000.0,male,352
86044005.0,male,577
60862001.0,male,224
69322001.0,non-binary,15
60862001.0,female,98
3716002.0,male,84
34486009.0,male,94
76376003.0,female,23
endocarditis,male,137
endocarditis,female,72
13746004.0,non-binary,84
24700007.0,non-binary,20
syphilis,non-binary,47
tuberculoses,non-binary,54
34486009.0,female,104
39400004.0,male,30
14669001.0,male,31
14669001.0,female,17
10743008.0,male,216
3716002.0,female,49
covid-19,non-binary,522
10743008.0,female,136
24693007.0,female,101
24693007.0,male,80
68566005.0,female,83
129103003.0,male,126
9829001.0,male,73
9829001.0,female,29
18193002.0,female,66
52702003.0,female,163
52702003.0,non-binary,9
63102001.0,male,180
63102001.0,female,84
hiv/aids,non-binary,154
49601007.0,non-binary,31
396275006.0,male,182
8357008.0,female,20
73211009.0,non-binary,63
32798002.0,non-binary,39
57406009.0,male,71
161712005.0,non-binary,24
23502006.0,male,173
23502006.0,female,156
40930008.0,male,36
40930008.0,female,46
8357008.0,male,22
39400004.0,female,26
ulcerative colitis,male,152
61599003.0,female,41
86044005.0,female,253
32914008.0,female,18
32914008.0,male,25
3723001.0,non-binary,15
50829006.0,female,28
34486009.0,non-binary,5
57406009.0,female,34
43116000.0,female,141
6142004.0,non-binary,23
91302008,non-binary,7
31384009.0,male,17
31384009.0,female,12
crohn’s disease,male,13
crohn’s disease,female,14
hepatitis b,non-binary,18
36971009.0,male,42
36971009.0,non-binary,1
200936003.0,non-binary,11
ulcerative colitis,non-binary,4
10743008.0,non-binary,2
24693007.0,non-binary,5
26929004.0,non-binary,60
52448006.0,non-binary,90
25458004.0,male,13
25458004.0,female,10
195967001.0,non-binary,22
54150009.0,male,24
26889001.0,male,5
37340000.0,female,154
59927004.0,non-binary,21
15188001.0,non-binary,5
sarcoidoses,male,10
menstruation,non-binary,19
36971009.0,female,24
54150009.0,female,21
29384001.0,non-binary,1
11381005.0,non-binary,9
hypertension,non-binary,12
endocarditis,non-binary,4
3545003.0,male,4
3545003.0,female,3
56925008.0,non-binary,20
7973008.0,male,4
takotsubo cardiomyopathy,male,14
takotsubo cardiomyopathy,female,11
76376003.0,male,5
11654001.0,male,15
44054006.0,non-binary,2
69896004.0,non-binary,6
46635009.0,female,33
18718003.0,male,11
75694006.0,non-binary,5
46635009.0,male,44
56317004.0,non-binary,3
11654001.0,female,5
7973008.0,female,1
23502006.0,non-binary,4
23919004.0,male,9
23919004.0,female,11
62315008.0,non-binary,8
46635009.0,non-binary,1
26889001.0,female,4
18718003.0,female,16
60862001.0,non-binary,2
30811009.0,male,2
57182000.0,non-binary,2
4308002.0,male,1
4308002.0,female,1
396275006.0,non-binary,1
37340000.0,non-binary,5
sarcoidoses,female,3
53741008.0,non-binary,1
23919004.0,non-binary,1
31384009.0,non-binary,1
chagas disease,non-binary,1
86044005.0,non-binary,4
43116000.0,non-binary,1
129103003.0,non-binary,4
