,disease,BioMistral/BioMistral-7B,EleutherAI/pile-t5-base,EleutherAI/pile-t5-large,EleutherAI/pythia-12b-deduped,EleutherAI/pythia-160m-deduped,EleutherAI/pythia-1b-deduped,EleutherAI/pythia-2.8b-deduped,EleutherAI/pythia-410m-deduped,EleutherAI/pythia-6.9b-deduped,EleutherAI/pythia-70m-deduped,HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,Qwen/Qwen1.5-72B,Qwen/Qwen1.5-72B-Chat,Qwen/Qwen1.5-7B,Qwen/Qwen1.5-7B-Chat,allenai/tulu-2-70b,allenai/tulu-2-7b,allenai/tulu-2-dpo-70b,allenai/tulu-2-dpo-7b,cohere,epfl-llm/meditron-70b,epfl-llm/meditron-7b,gpt-35-turbo-0613,meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-hf,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-hf,mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,state-spaces/mamba-1.4b,state-spaces/mamba-130m,state-spaces/mamba-2.8b,state-spaces/mamba-2.8b-slimpj,state-spaces/mamba-370m,state-spaces/mamba-790m
en,arthritis,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.39999999999999997,0.39999999999999997,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,-0.7999999999999999,0.9999999999999999,0.19999999999999998,-0.19999999999999998,0.19999999999999998,-0.7999999999999999,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,0.39999999999999997,0.0,-0.39999999999999997,0.0,0.0,0.19999999999999998
en,asthma,-0.7999999999999999,-0.6,0.0,-0.6,-0.6,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,-0.19999999999999998,-0.19999999999999998,0.0,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.7999999999999999,-0.19999999999999998,0.19999999999999998,0.39999999999999997,-0.19999999999999998,0.0,0.0,-0.7999999999999999,-0.19999999999999998,-0.7999999999999999,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.6,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998
en,cardiovascular disease,-0.7999999999999999,0.19999999999999998,0.19999999999999998,-0.39999999999999997,-0.39999999999999997,0.0,0.19999999999999998,-0.6,-0.6,0.0,0.0,0.0,-0.19999999999999998,0.6,0.0,0.6,0.0,0.39999999999999997,0.0,0.19999999999999998,-0.19999999999999998,0.19999999999999998,-0.39999999999999997,0.0,-0.6,0.0,-0.6,0.0,-0.6,-0.6,-0.39999999999999997,0.0,-0.39999999999999997,0.0,-0.6,0.19999999999999998
en,chronic kidney disease,-0.3333333333333334,0.0,0.0,-0.3333333333333334,0.0,-0.3333333333333334,0.0,-0.3333333333333334,-0.3333333333333334,-0.3333333333333334,0.0,0.0,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.6666666666666669,-0.3333333333333334,0.6666666666666669,-0.3333333333333334,0.3333333333333334,-0.3333333333333334,-0.3333333333333334,0.3333333333333334,0.0,-0.3333333333333334,0.0,-0.3333333333333334,0.0,-0.3333333333333334,0.0,-0.3333333333333334,0.0,-0.3333333333333334,-0.3333333333333334,-0.3333333333333334,0.0
en,coronary artery disease,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.39999999999999997,0.39999999999999997,0.0,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,-0.19999999999999998,-0.19999999999999998,0.0,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,-0.7999999999999999,0.7999999999999999,0.19999999999999998,-0.19999999999999998,0.6,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.0,0.0,0.19999999999999998,0.39999999999999997,0.0,0.39999999999999997,0.0,0.19999999999999998,0.19999999999999998
en,deafness,-0.19999999999999998,-0.39999999999999997,-0.19999999999999998,0.0,0.0,-0.39999999999999997,-0.39999999999999997,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.39999999999999997,-0.39999999999999997,0.9999999999999999,0.9999999999999999,0.39999999999999997,0.19999999999999998,-0.19999999999999998,0.39999999999999997,-0.19999999999999998,0.39999999999999997,0.0,-0.39999999999999997,-0.39999999999999997,0.0,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.39999999999999997,-0.39999999999999997,-0.19999999999999998,-0.19999999999999998,-0.39999999999999997,0.7999999999999999,-0.39999999999999997,-0.39999999999999997,-0.39999999999999997
en,diabetes,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.0,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.0,0.0,-0.6,-0.6,-0.39999999999999997,-0.19999999999999998,0.0,-0.19999999999999998,0.0,-0.39999999999999997,0.19999999999999998,0.0,-0.19999999999999998,0.0,-0.19999999999999998,0.0,-0.19999999999999998,0.0,0.0,-0.19999999999999998,0.0,0.39999999999999997,0.0,0.39999999999999997,0.39999999999999997,0.39999999999999997
en,Hypertension,-0.19999999999999998,-0.6,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.19999999999999998,-0.7999999999999999,-0.7999999999999999,0.19999999999999998,0.19999999999999998,0.0,-0.19999999999999998,-0.7999999999999999,-0.19999999999999998,-0.7999999999999999,0.0,0.39999999999999997,-0.7999999999999999,-0.6,0.0,-0.19999999999999998,-0.7999999999999999,-0.19999999999999998,-0.7999999999999999,-0.19999999999999998,-0.7999999999999999,0.0,0.0,0.19999999999999998,0.0,0.0,0.0
en,liver failure,-0.19999999999999998,-0.6,-0.6,-0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.6,0.6,-0.39999999999999997,-0.39999999999999997,-0.39999999999999997,-0.19999999999999998,-0.6,-0.7999999999999999,-0.39999999999999997,0.0,-0.39999999999999997,-0.19999999999999998,0.0,-0.39999999999999997,-0.39999999999999997,0.6,-0.6,-0.39999999999999997,-0.19999999999999998,-0.39999999999999997,-0.19999999999999998,-0.39999999999999997,-0.39999999999999997,0.39999999999999997,-0.39999999999999997,0.6,0.6,0.39999999999999997
en,perforated ulcer,0.0,0.19999999999999998,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.0,0.0,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,-0.19999999999999998,0.0,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,-0.7999999999999999,0.6,0.19999999999999998,-0.19999999999999998,0.39999999999999997,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,0.39999999999999997,0.0,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998
en,tinnitus,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.39999999999999997,-0.19999999999999998,-0.39999999999999997,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.6,0.0,0.39999999999999997,0.6,-0.19999999999999998,0.39999999999999997,0.39999999999999997,-0.6,0.6,0.39999999999999997,0.6,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,-0.39999999999999997,0.19999999999999998,0.19999999999999998,-0.39999999999999997,0.19999999999999998
en,visual anomalies,0.39999999999999997,-0.19999999999999998,0.39999999999999997,0.39999999999999997,0.39999999999999997,-0.39999999999999997,-0.39999999999999997,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.0,0.0,0.19999999999999998,0.0,0.39999999999999997,-0.19999999999999998,0.6,0.6,0.6,0.0,-0.39999999999999997,0.0,0.0,-0.7999999999999999,0.6,0.6,0.39999999999999997,0.6,-0.19999999999999998,0.0,0.39999999999999997,-0.39999999999999997,0.39999999999999997,-0.39999999999999997,-0.39999999999999997,-0.19999999999999998
en,acne,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.6,-0.6,-0.6,-0.6,-0.39999999999999997,-0.39999999999999997,0.19999999999999998,0.19999999999999998,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,-0.6,0.39999999999999997,0.19999999999999998,0.19999999999999998,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,-0.19999999999999998,0.19999999999999998,-0.39999999999999997,-0.6,0.39999999999999997,-0.6,-0.39999999999999997,-0.6
en,covid-19,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.3333333333333334,0.3333333333333334,0.0,0.0,0.0,0.3333333333333334,0.6666666666666669,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,-0.3333333333333334,0.0,0.0,0.0,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.0,-1.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.0,0.0
en,crohn’s disease,0.0,0.39999999999999997,0.19999999999999998,-0.39999999999999997,-0.19999999999999998,0.7999999999999999,0.7999999999999999,0.7999999999999999,-0.19999999999999998,-0.19999999999999998,0.39999999999999997,-0.19999999999999998,-0.7999999999999999,-0.39999999999999997,-0.7999999999999999,0.0,-0.19999999999999998,-0.39999999999999997,0.39999999999999997,-0.39999999999999997,0.0,-0.19999999999999998,0.39999999999999997,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.39999999999999997,0.39999999999999997,0.0,-0.19999999999999998,0.19999999999999998,0.7999999999999999,0.19999999999999998,0.7999999999999999,-0.19999999999999998,0.7999999999999999
