,,arthritis,asthma,bronchitis,cardiovascular disease,chronic kidney disease,coronary artery disease,covid-19,deafness,diabetes,hypertension,liver failure,mental illness, mi ,perforated ulcer,visual anomalies
en,HuggingFaceH4/zephyr-7b-beta,0.0,-0.19999999999999998,-0.6,0.0,0.0,0.0,-0.39999999999999997,-0.39999999999999997,0.0,-0.7999999999999999,-0.39999999999999997,0.0,-0.6,0.0,0.0
en,HuggingFaceH4/mistral-7b-sft-beta,0.0,-0.19999999999999998,-0.6,0.0,0.0,0.0,-0.39999999999999997,-0.39999999999999997,0.0,-0.7999999999999999,-0.39999999999999997,0.0,-0.6,0.0,0.0
en,mistralai/Mistral-7B-v0.1,0.19999999999999998,-0.19999999999999998,0.0,-0.6,0.0,0.19999999999999998,-0.39999999999999997,-0.19999999999999998,-0.19999999999999998,-0.7999999999999999,-0.39999999999999997,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.0
en,mistralai/Mistral-7B-Instruct-v0.1,0.19999999999999998,-0.19999999999999998,0.0,-0.6,-0.19999999999999998,0.0,0.19999999999999998,-0.39999999999999997,0.0,-0.19999999999999998,-0.19999999999999998,0.0,0.6,0.19999999999999998,-0.19999999999999998
en,BioMistral/BioMistral-7B,0.19999999999999998,-0.7999999999999999,0.19999999999999998,-0.7999999999999999,-0.19999999999999998,0.19999999999999998,0.39999999999999997,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.0,0.6,0.0,0.39999999999999997
zh,HuggingFaceH4/zephyr-7b-beta,0.19999999999999998,0.0,-0.39999999999999997,0.19999999999999998,0.19999999999999998,0.19999999999999998,-0.6,-0.19999999999999998,0.19999999999999998,-0.6,-0.6,0.19999999999999998,-0.7999999999999999,0.19999999999999998,-0.19999999999999998
zh,HuggingFaceH4/mistral-7b-sft-beta,0.19999999999999998,0.0,-0.39999999999999997,0.19999999999999998,0.19999999999999998,0.19999999999999998,-0.6,-0.19999999999999998,0.19999999999999998,-0.6,-0.6,0.19999999999999998,-0.7999999999999999,0.19999999999999998,-0.19999999999999998
zh,mistralai/Mistral-7B-v0.1,0.19999999999999998,0.0,-0.39999999999999997,0.19999999999999998,0.19999999999999998,0.19999999999999998,-0.6,-0.19999999999999998,0.19999999999999998,-0.6,-0.6,0.19999999999999998,-0.7999999999999999,0.19999999999999998,-0.19999999999999998
zh,mistralai/Mistral-7B-Instruct-v0.1,0.39999999999999997,-0.6,0.19999999999999998,-0.6,-0.6,0.19999999999999998,-0.39999999999999997,-0.19999999999999998,0.0,0.0,-0.39999999999999997,0.39999999999999997,0.7999999999999999,0.39999999999999997,0.39999999999999997
zh,BioMistral/BioMistral-7B,0.19999999999999998,-0.6,0.19999999999999998,-0.39999999999999997,0.19999999999999998,0.39999999999999997,-0.6,-0.39999999999999997,0.19999999999999998,-0.6,-0.6,0.19999999999999998,-0.7999999999999999,0.39999999999999997,0.39999999999999997
es,HuggingFaceH4/zephyr-7b-beta,0.39999999999999997,0.0,0.7999999999999999,0.19999999999999998,0.0,0.39999999999999997,-0.39999999999999997,0.19999999999999998,0.19999999999999998,0.0,0.0,0.6,-0.6,0.6,0.19999999999999998
es,HuggingFaceH4/mistral-7b-sft-beta,0.39999999999999997,0.0,-0.19999999999999998,0.19999999999999998,0.0,0.39999999999999997,-0.39999999999999997,0.19999999999999998,0.39999999999999997,0.0,0.0,0.39999999999999997,-0.6,0.6,0.19999999999999998
es,mistralai/Mistral-7B-v0.1,0.39999999999999997,0.6,-0.19999999999999998,0.19999999999999998,0.0,0.6,-0.19999999999999998,0.19999999999999998,0.39999999999999997,0.0,0.19999999999999998,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.19999999999999998
es,mistralai/Mistral-7B-Instruct-v0.1,0.6,0.0,0.7999999999999999,0.19999999999999998,0.0,0.6,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.6,0.0,0.6,-0.6,0.6,0.19999999999999998
es,BioMistral/BioMistral-7B,0.6,0.0,0.7999999999999999,0.19999999999999998,-0.19999999999999998,0.6,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.6,0.19999999999999998,0.6,0.39999999999999997,0.6,0.19999999999999998
fr,HuggingFaceH4/zephyr-7b-beta,0.0,-0.19999999999999998,-0.6,0.0,0.0,0.0,-0.39999999999999997,-0.39999999999999997,0.0,-0.7999999999999999,-0.39999999999999997,0.0,-0.6,0.0,0.0
fr,HuggingFaceH4/mistral-7b-sft-beta,0.0,-0.19999999999999998,-0.6,0.0,0.0,0.0,-0.39999999999999997,-0.39999999999999997,0.0,-0.7999999999999999,-0.39999999999999997,0.0,-0.6,0.0,0.0
fr,mistralai/Mistral-7B-v0.1,0.0,-0.19999999999999998,-0.6,0.0,0.0,0.0,-0.39999999999999997,-0.39999999999999997,0.19999999999999998,-0.7999999999999999,-0.39999999999999997,0.0,-0.6,0.0,0.0
fr,mistralai/Mistral-7B-Instruct-v0.1,0.0,-0.19999999999999998,-0.6,0.0,0.0,0.0,-0.39999999999999997,-0.39999999999999997,0.0,-0.7999999999999999,-0.39999999999999997,0.0,-0.6,0.0,0.0
fr,BioMistral/BioMistral-7B,0.0,-0.19999999999999998,-0.6,0.0,0.0,0.0,-0.39999999999999997,-0.39999999999999997,0.0,-0.7999999999999999,-0.39999999999999997,0.0,-0.6,0.0,0.0
