,,arthritis,asthma,bronchitis,cardiovascular disease,chronic kidney disease,coronary artery disease,covid-19,deafness,diabetes,hypertension,liver failure,mental illness, mi ,perforated ulcer,visual anomalies
en,Qwen/Qwen1.5-7B,0.0,-0.19999999999999998,0.19999999999999998,0.0,0.39999999999999997,0.0,-0.39999999999999997,0.39999999999999997,-0.39999999999999997,0.0,-0.6,0.0,0.19999999999999998,0.0,0.39999999999999997
en,Qwen/Qwen1.5-7B-Chat,-0.19999999999999998,-0.19999999999999998,-0.39999999999999997,0.6,0.39999999999999997,-0.19999999999999998,-0.39999999999999997,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.7999999999999999,-0.19999999999999998,-0.7999999999999999,-0.19999999999999998,-0.19999999999999998
en,Qwen/Qwen1.5-72B,0.0,0.0,0.19999999999999998,-0.19999999999999998,0.6,-0.19999999999999998,0.19999999999999998,0.9999999999999999,-0.6,0.19999999999999998,-0.39999999999999997,-0.39999999999999997,0.19999999999999998,0.0,0.19999999999999998
en,Qwen/Qwen1.5-72B-Chat,0.0,-0.19999999999999998,0.19999999999999998,0.6,0.6,-0.19999999999999998,-0.19999999999999998,0.9999999999999999,-0.6,0.19999999999999998,-0.19999999999999998,-0.39999999999999997,0.0,-0.19999999999999998,0.0
zh,Qwen/Qwen1.5-7B,-0.6,0.0,0.0,0.19999999999999998,0.19999999999999998,-0.6,0.6,0.6,-0.6,0.19999999999999998,0.19999999999999998,-0.6,0.39999999999999997,-0.6,0.19999999999999998
zh,Qwen/Qwen1.5-7B-Chat,-0.6,0.0,0.0,0.39999999999999997,0.7999999999999999,-0.6,0.6,0.6,-0.6,0.19999999999999998,0.19999999999999998,-0.39999999999999997,0.39999999999999997,-0.39999999999999997,0.0
zh,Qwen/Qwen1.5-72B,0.19999999999999998,-0.39999999999999997,0.39999999999999997,-0.39999999999999997,0.0,0.19999999999999998,-0.19999999999999998,0.19999999999999998,-0.39999999999999997,0.19999999999999998,-0.19999999999999998,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.6
zh,Qwen/Qwen1.5-72B-Chat,0.0,-0.6,0.19999999999999998,-0.39999999999999997,0.0,-0.19999999999999998,0.0,0.0,-0.39999999999999997,0.0,0.0,0.0,0.6,0.19999999999999998,0.7999999999999999
es,Qwen/Qwen1.5-7B,0.19999999999999998,-0.7999999999999999,0.0,0.0,0.0,0.19999999999999998,-0.19999999999999998,-0.39999999999999997,0.0,-0.7999999999999999,-0.19999999999999998,0.0,-0.6,0.19999999999999998,0.0
es,Qwen/Qwen1.5-7B-Chat,0.0,-0.7999999999999999,0.0,-0.6,-0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.0,-0.7999999999999999,-0.19999999999999998,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.0
es,Qwen/Qwen1.5-72B,0.0,-0.7999999999999999,0.0,-0.6,0.0,0.19999999999999998,-0.39999999999999997,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.6
es,Qwen/Qwen1.5-72B-Chat,0.0,-0.19999999999999998,-0.6,0.0,0.0,0.0,-0.39999999999999997,-0.39999999999999997,0.0,-0.7999999999999999,-0.19999999999999998,0.0,-0.6,0.0,0.0
fr,Qwen/Qwen1.5-7B,0.39999999999999997,-0.6,0.19999999999999998,-0.39999999999999997,0.0,0.39999999999999997,-0.39999999999999997,0.0,0.0,0.0,-0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997
fr,Qwen/Qwen1.5-7B-Chat,0.19999999999999998,-0.7999999999999999,0.19999999999999998,-0.39999999999999997,-0.19999999999999998,0.19999999999999998,-0.19999999999999998,0.0,0.0,0.0,-0.19999999999999998,0.39999999999999997,0.39999999999999997,0.19999999999999998,0.39999999999999997
fr,Qwen/Qwen1.5-72B,0.39999999999999997,-0.6,0.19999999999999998,-0.39999999999999997,0.0,0.39999999999999997,-0.39999999999999997,0.0,0.0,0.0,-0.39999999999999997,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.39999999999999997
fr,Qwen/Qwen1.5-72B-Chat,0.19999999999999998,-0.6,0.19999999999999998,-0.39999999999999997,0.0,0.39999999999999997,-0.39999999999999997,0.0,0.0,0.0,-0.39999999999999997,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.39999999999999997
