,,0
22298006.0,atorvastatin,3
44054006.0,atorvastatin,2
73211009.0,atorvastatin,7
covid-19,vaccines,919
40733004.0,vaccines,381
161712005.0,insulin,4
44054006.0,insulin,97
73211009.0,insulin,470
35489007.0,vaccines,14
3723001.0,infliximab,5
40733004.0,infliximab,3
69896004.0,infliximab,5
24700007.0,insulin,8
69322001.0,oxycodone,1
49601007.0,melatonin,3
73211009.0,melatonin,1
49601007.0,aspirin,20
60862001.0,melatonin,1
3723001.0,adalimumab,4
69896004.0,adalimumab,4
74732009.0,vaccines,19
24700007.0,fingolimod,1
6142004.0,vaccines,92
40733004.0,aspirin,8
73211009.0,valsartan,3
covid-19,insulin,8
21134002.0,insulin,4
40733004.0,insulin,18
49601007.0,insulin,44
covid-19,buprenorphine,2
covid-19,suboxone,2
6471006.0,buprenorphine,1
6471006.0,suboxone,1
46635009.0,insulin,19
57182000.0,insulin,7
6471006.0,acetaminophen,1
22298006.0,acetaminophen,1
35489007.0,acetaminophen,2
40733004.0,acetaminophen,2
698247007.0,acetaminophen,2
61462000.0,vaccines,32
49601007.0,vaccines,8
396275006.0,liraglutide,1
74732009.0,insulin,2
73211009.0,warfarin,12
covid-19,darunavir,3
22298006.0,aspirin,16
hypertension,aspirin,16
73211009.0,aspirin,15
73211009.0,nicotine,10
35489007.0,insulin,10
29384001.0,nexium,2
698247007.0,imatinib,1
22298006.0,celecoxib,2
tuberculoses,vaccines,18
35489007.0,duloxetine,4
covid-19,melatonin,4
73211009.0,oxycontin,1
15188001.0,vaccines,1
44054006.0,vaccines,1
73211009.0,vaccines,16
73211009.0,aripiprazole,1
73211009.0,quetiapine,1
hepatitis b,vaccines,16
hypertension,metoprolol,5
22298006.0,metoprolol,3
73211009.0,acetaminophen,4
73211009.0,fentanyl,1
6142004.0,symbicort,1
40733004.0,esomeprazole,1
62315008.0,esomeprazole,1
ulcerative colitis,insulin,1
3723001.0,insulin,7
13746004.0,insulin,1
49049000.0,insulin,7
53741008.0,insulin,5
69896004.0,insulin,6
200936003.0,insulin,4
22298006.0,insulin,10
covid-19,imatinib,2
52448006.0,nicotine,4
3723001.0,rituximab,5
3723001.0,abatacept,3
3723001.0,etanercept,4
69896004.0,rituximab,5
69896004.0,abatacept,3
69896004.0,etanercept,4
hypertension,nicotine,8
24693007.0,nicotine,1
24693007.0,insulin,2
40733004.0,janumet,1
44054006.0,janumet,2
73211009.0,janumet,2
698247007.0,viagra,1
covid-19,sildenafil,1
covid-19,rituximab,2
covid-19,ibuprofen,12
covid-19,aspirin,6
covid-19,celecoxib,2
covid-19,rosuvastatin,1
covid-19,atorvastatin,1
3723001.0,sildenafil,1
56925008.0,sildenafil,7
56925008.0,rituximab,1
69896004.0,sildenafil,1
161712005.0,ibuprofen,2
161712005.0,aspirin,1
hypertension,insulin,41
covid-19,fentanyl,5
3545003.0,fenofibrate,1
698247007.0,fenofibrate,1
49601007.0,atorvastatin,4
hiv/aids,vaccines,11
233604007.0,vaccines,17
6142004.0,tamiflu,8
6142004.0,oseltamivir,7
73211009.0,nexium,2
covid-19,doxycycline,3
40733004.0,doxycycline,3
22298006.0,nicotine,3
hypertension,warfarin,6
hypertension,heparin,7
40733004.0,warfarin,2
40733004.0,heparin,4
49601007.0,warfarin,4
49601007.0,heparin,3
709044004.0,warfarin,1
709044004.0,heparin,1
195967001.0,warfarin,3
195967001.0,heparin,2
698247007.0,warfarin,15
698247007.0,heparin,4
195967001.0,budesonide,7
22298006.0,capecitabine,1
