,index,male,female,non-binary,timestamp
0,hiv/aids,0,0,0,2021-06-25T02:17:42
1,covid-19,0,0,0,2021-06-25T02:17:42
2,takotsubo cardiomyopathy,0,0,0,2021-06-25T02:17:42
3,tuberculoses,0,0,0,2021-06-25T02:17:42
4,endocarditis,0,0,0,2021-06-25T02:17:42
5,syphilis,0,0,0,2021-06-25T02:17:42
6,test,0,0,0,2021-06-25T02:17:42
7,hypertension,0,0,0,2021-06-25T02:17:42
8,sarcoidoses,0,0,0,2021-06-25T02:17:42
9,hepatitis b,0,0,0,2021-06-25T02:17:42
10,ulcerative colitis,0,0,0,2021-06-25T02:17:42
11,crohn’s disease,0,0,0,2021-06-25T02:17:42
12,chagas disease,0,0,0,2021-06-25T02:17:42
13,3545003.0,0,0,0,2021-06-25T02:17:42
14,3716002.0,0,0,0,2021-06-25T02:17:42
15,3723001.0,0,0,0,2021-06-25T02:17:42
16,4308002.0,0,0,0,2021-06-25T02:17:42
17,6142004.0,0,0,0,2021-06-25T02:17:42
18,6471006.0,0,0,0,2021-06-25T02:17:42
19,7973008.0,0,0,0,2021-06-25T02:17:42
20,8357008.0,0,0,0,2021-06-25T02:17:42
21,menstruation,0,0,0,2021-06-25T02:17:42
22,9829001.0,0,0,0,2021-06-25T02:17:42
23,10743008.0,0,0,0,2021-06-25T02:17:42
24,11381005.0,0,0,0,2021-06-25T02:17:42
25,11654001.0,0,0,0,2021-06-25T02:17:42
26,13746004.0,0,0,0,2021-06-25T02:17:42
27,34486009.0,0,0,0,2021-06-25T02:17:42
28,40930008.0,0,0,0,2021-06-25T02:17:42
29,14669001.0,0,0,0,2021-06-25T02:17:42
30,15188001.0,0,0,0,2021-06-25T02:17:42
31,18193002.0,0,0,0,2021-06-25T02:17:42
32,18718003.0,0,0,0,2021-06-25T02:17:42
33,21134002.0,0,0,0,2021-06-25T02:17:42
34,396275006.0,0,0,0,2021-06-25T02:17:42
35,22298006.0,0,0,0,2021-06-25T02:17:42
36,23502006.0,0,0,0,2021-06-25T02:17:42
37,23919004.0,0,0,0,2021-06-25T02:17:42
38,24693007.0,0,0,0,2021-06-25T02:17:42
39,24700007.0,0,0,0,2021-06-25T02:17:42
40,25458004.0,0,0,0,2021-06-25T02:17:42
41,26889001.0,0,0,0,2021-06-25T02:17:42
42,26929004.0,0,0,0,2021-06-25T02:17:42
43,29384001.0,0,0,0,2021-06-25T02:17:42
44,30811009.0,0,0,0,2021-06-25T02:17:42
45,31384009.0,0,0,0,2021-06-25T02:17:42
46,32398004.0,0,0,0,2021-06-25T02:17:42
47,32798002.0,0,0,0,2021-06-25T02:17:42
48,32914008.0,0,0,0,2021-06-25T02:17:42
49,34840004.0,0,0,0,2021-06-25T02:17:42
50,35489007.0,18,12,0,2021-06-25T02:17:42
51,36971009.0,0,0,0,2021-06-25T02:17:42
52,37340000.0,0,0,0,2021-06-25T02:17:42
53,39400004.0,0,0,0,2021-06-25T02:17:42
54,39621005.0,0,0,0,2021-06-25T02:17:42
55,40733004.0,0,0,0,2021-06-25T02:17:42
56,91302008,0,0,0,2021-06-25T02:17:42
57,161712005.0,0,0,0,2021-06-25T02:17:42
58,43116000.0,0,0,0,2021-06-25T02:17:42
59,44054006.0,0,0,0,2021-06-25T02:17:42
60,46635009.0,0,0,0,2021-06-25T02:17:42
61,49049000.0,0,0,0,2021-06-25T02:17:42
62,49601007.0,0,0,0,2021-06-25T02:17:42
63,50829006.0,0,0,0,2021-06-25T02:17:42
64,52448006.0,0,0,0,2021-06-25T02:17:42
65,52702003.0,0,0,0,2021-06-25T02:17:42
66,53741008.0,0,0,0,2021-06-25T02:17:42
67,54150009.0,0,0,0,2021-06-25T02:17:42
68,56317004.0,0,0,0,2021-06-25T02:17:42
69,56925008.0,0,0,0,2021-06-25T02:17:42
70,57182000.0,0,0,0,2021-06-25T02:17:42
71,57406009.0,0,0,0,2021-06-25T02:17:42
72,59927004.0,0,0,0,2021-06-25T02:17:42
73,60862001.0,0,0,0,2021-06-25T02:17:42
74,61462000.0,0,0,0,2021-06-25T02:17:42
75,61599003.0,0,0,0,2021-06-25T02:17:42
76,62315008.0,0,0,0,2021-06-25T02:17:42
77,63102001.0,0,0,0,2021-06-25T02:17:42
78,67362008.0,0,0,0,2021-06-25T02:17:42
79,68566005.0,0,0,0,2021-06-25T02:17:42
80,69322001.0,9,6,0,2021-06-25T02:17:42
81,69896004.0,0,0,0,2021-06-25T02:17:42
82,73211009.0,0,0,0,2021-06-25T02:17:42
83,73442001.0,0,0,0,2021-06-25T02:17:42
84,74732009.0,207,138,0,2021-06-25T02:17:42
85,75694006.0,0,0,0,2021-06-25T02:17:42
86,76376003.0,0,0,0,2021-06-25T02:17:42
87,86044005.0,0,0,0,2021-06-25T02:17:42
88,709044004.0,0,0,0,2021-06-25T02:17:42
89,129103003.0,0,0,0,2021-06-25T02:17:42
90,195967001.0,0,0,0,2021-06-25T02:17:42
