,ibuprofen,acetaminophen,lidocaine,esomeprazole,pregabalin,oxycodone,fluticasone propionate,valsartan,doxycycline,eszopiclone,sildenafil,abiraterone,tadalafil,aspirin,aripiprazole,budesonide,pradaxa,celecoxib,ezetimibe,vytorin,nicotine,duloxetine,benicar,methylphenidate,insulin lispro,adalimumab,paracetamol,liraglutide,pemetrexed,fenofibrate,rivaroxaban,everolimus,capecitabine,darunavir,triamcinolone,buprenorphine,divalproex sodium,ranibizumab,castor oil,melatonin,epoetin alfa,fentanyl,hydrocodone bitartrate,ustekinumab,lyrica,rituximab,filgrastim,diovan,lantus,insulin glargine,quetiapine,tamiflu,xeloda,isentress,raltegravir,janumet,cinacalcet,atazanavir,hydrocortisone cream,novolog,insulin aspart,warfarin,rosuvastatin,lantus solostar,humira,januvia,sitagliptin,xolair,omalizumab,xarelto,vaccines,imatinib,evista,adderall xr,memantine,aranesp,darbepoetin alfa,sensipar,xgeva,denosumab,stelara,oxycontin,abilify,vyvanse,prezista,raloxifene,seroquel xr,lisdexamfetamine,copaxone,dexlansoprazole,metoprolol,trastuzumab,palivizumab,infliximab,abatacept,gravol,reyataz,pepto bismol,levemir,insulin detemir,tiotropium bromide,lucentis,tylenol pm,enbrel,etanercept,renvela,oseltamivir,crestor,aciphex,ventolin hfa,lunesta,celebrex,solifenacin,mometasone,benadryl,nexplanon,viagra,synthroid,prevnar 13,pitocin,rebif,nexium,cymbalta,flovent hfa,humalog,dexilant,epogen,adderall,remicade,cialis,proair hfa,avonex,fingolimod,synagis,alimta,humalog kwikpen,namenda,bevacizumab,lipitor,heparin,afinitor,nasonex,victoza,avonex pen,zetia,dabigatran,orencia,suboxone,neupogen,zytiga,telaprevir,ritalin,gilenya,atripla,symbicort,avastin,truvada,pegfilgrastim,levothyroxine,herceptin,complera,stribild,rabeprazole,glatiramer,neulasta,insulin,lovaza,atorvastatin,vesicare,restasis,androgel
hiv/aids,1,34,0,0,0,0,0,0,17,0,2,0,0,24,0,0,0,0,0,0,14,0,0,0,0,1,1,0,35,4,0,13,0,10,20,8,0,0,0,0,0,1,0,0,0,43,0,0,0,0,158,4,0,0,10,0,0,26,0,0,0,9,2,0,0,0,0,0,0,0,242,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,117,0,8,0,0,0,0,0,0,0,0,20,0,30,0,0,0,0,1,11,0,0,0,0,0,0,0,0,350,0,25,0,0,0
covid-19,50,397,0,0,0,4,0,0,0,0,0,0,0,58,0,0,0,0,0,0,24,0,0,0,0,0,56,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1073,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
tuberculoses,151,89,73,0,54,67,0,55,78,0,73,54,19,225,54,56,0,55,0,0,88,58,0,57,36,54,754,0,0,0,115,56,0,3,227,60,0,0,1,70,0,56,0,0,0,66,0,1,36,36,54,1,0,0,57,0,195,3,8,36,36,189,0,0,0,0,0,0,54,22,2689,66,0,0,195,0,0,9,0,54,0,0,0,0,0,54,0,0,0,0,57,54,0,55,18,0,0,0,36,36,69,0,0,1,55,0,77,0,0,0,0,1,0,0,1,0,10,0,0,1,0,0,0,0,36,0,0,9,1,1,0,0,54,0,0,0,7,54,1,412,0,0,0,0,0,54,0,0,6,0,9,1,0,5,0,0,5,0,58,0,0,0,2,0,0,942,0,55,0,0,0
endocarditis,28,7,1,0,0,0,0,1,5,0,1,0,1,60,0,0,0,1,0,0,19,0,0,1,0,0,0,0,0,0,120,0,0,6,13,4,0,0,0,1,0,1,0,0,0,24,0,1,0,0,0,0,0,0,6,0,195,6,0,0,0,87,0,0,0,0,0,0,0,44,59,24,0,0,0,30,275,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,127,0,0,0,0,0,118,0,0,12,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,1,0,0,0
syphilis,19,19,805,0,0,9,0,1,10,0,1,0,1,61,0,0,0,1,0,0,10,0,0,3,0,0,13,0,0,0,0,0,0,3,7,0,0,0,0,14,0,1,0,0,0,12,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,37,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,6,0,9,3,0,0,0,0,2,0,0,0,0,0,0,0,0,110,0,9,0,0,0
hypertension,422,899,4156,0,60,97,0,71,74,0,103,60,39,1445,64,60,0,119,0,0,128,74,148,66,42,61,112,2,44,81,308,103,10,5,77,64,0,0,104,83,0,68,0,0,0,105,1,7,43,43,60,1,1,4,185,0,520,6,36,43,43,811,0,0,0,0,0,0,60,92,233,99,0,0,326,42,385,24,0,60,0,0,4,0,0,62,0,0,0,0,100,73,0,80,21,0,0,0,43,43,73,0,0,1,62,0,84,0,0,4,0,28,0,150,1,0,81,0,0,1,0,0,12,0,42,0,0,9,1,19,0,0,60,0,1,0,14,323,2,526,0,0,0,0,0,621,0,0,10,0,15,3,0,5,0,16,5,0,74,14,0,0,0,0,0,1861,0,104,0,0,0
sarcoidoses,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hepatitis b,52,206,95,0,37,128,0,38,52,1,49,36,13,105,37,39,0,85,1,0,5,39,0,37,25,37,62,3,46,1,36,49,39,2,83,51,0,0,1,39,1,37,56,0,0,62,1,0,27,24,353,0,2,2,97,0,65,2,0,27,25,109,118,0,0,6,1,0,37,0,2091,44,0,0,49,0,1,3,0,36,0,0,0,0,0,55,0,0,0,0,82,37,8,37,13,0,0,0,27,24,24,0,0,0,36,0,61,0,0,0,0,22,0,1,18,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,37,0,1,0,0,56,1,176,0,0,3,0,0,39,0,0,2,0,3,1,0,7,1,0,7,0,113,18,0,0,3,0,0,793,0,42,0,0,0
ulcerative colitis,42,34,16,3,12,12,0,13,12,0,16,12,4,53,12,12,0,12,0,0,18,14,0,12,8,12,22,0,15,0,12,23,0,0,0,12,0,0,0,12,0,14,0,0,0,12,0,0,8,8,12,0,0,0,12,0,0,0,0,8,8,25,0,0,0,0,0,0,12,0,7,12,0,0,16,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,13,12,0,12,4,0,0,0,8,8,8,0,0,0,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,12,0,30,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,1,0,0,184,0,12,0,0,0
