,white/caucasian,black/african american,hispanic/latino,asian,native american/indigenous,pacific islander
hiv/aids,1981,2048,322,152,105,39
covid-19,2031,5135,200,208,212,5
takotsubo cardiomyopathy,2,6,0,0,0,0
tuberculoses,183389,50146,4512,1376,271,115
endocarditis,300,169,101,42,35,25
syphilis,817,530,43,15,27,1
hypertension,3044,1202,724,187,132,102
sarcoidoses,67,60,4,2,1,1
hepatitis b,254,284,75,77,77,34
ulcerative colitis,74,98,10,9,18,3
crohn’s disease,231,105,24,14,12,4
chagas disease,107,80,228,31,26,0
3545003.0,86,44,23,21,4,4
3716002.0,173,119,40,14,47,9
3723001.0,2061,1218,246,105,175,57
4308002.0,0,0,0,0,0,0
6142004.0,2622,2039,337,150,207,67
6471006.0,13214,11292,2284,512,293,54
7973008.0,7,6,0,0,0,0
8357008.0,4,1,0,0,0,0
menstruation,596,172,74,82,26,16
9829001.0,0,2,0,0,0,0
10743008.0,1109,1289,41,62,52,23
11381005.0,948,1046,125,97,25,11
11654001.0,3,0,0,0,0,0
13746004.0,392,182,25,15,6,4
34486009.0,42,11,8,2,1,0
40930008.0,24,11,8,2,1,0
14669001.0,6,0,0,0,0,0
15188001.0,4995,2394,196,94,198,115
18193002.0,98,61,33,3,11,1
18718003.0,30,26,6,2,6,1
21134002.0,14028,7777,2597,847,1789,655
396275006.0,316,246,77,28,43,23
22298006.0,11209,24735,745,339,207,182
23502006.0,47,55,18,2,9,4
23919004.0,127,22,49,2,5,3
24693007.0,119,1973,13,6,48,0
24700007.0,18581,21553,1947,192,25,14
25458004.0,3,3,0,0,0,0
26889001.0,2,2,3,1,2,2
26929004.0,1224,1107,204,86,90,70
29384001.0,385,152,52,53,48,35
30811009.0,93,12,21,14,4,4
31384009.0,71,40,14,5,15,5
32398004.0,869,837,153,30,55,39
32798002.0,269,299,30,26,12,5
32914008.0,21,15,0,1,2,2
34840004.0,170,166,90,2,7,2
35489007.0,51028,20106,3267,344,1242,85
36971009.0,8,5,0,0,0,0
37340000.0,16,7,2,0,0,0
39400004.0,17,15,1,2,0,0
39621005.0,196,136,53,33,32,28
40733004.0,16669,19861,2291,3037,1354,502
91302008,2826,2201,399,461,135,100
161712005.0,874,361,85,74,34,9
43116000.0,335,909,45,16,14,17
44054006.0,336,267,199,45,26,22
46635009.0,103,62,1,0,0,0
49049000.0,1713,850,64,26,16,4
49601007.0,2757,3237,273,264,118,83
50829006.0,83,113,37,19,63,37
52448006.0,3212,1644,450,147,197,142
52702003.0,158,10,9,3,2,0
53741008.0,319,99,39,22,26,25
54150009.0,337,115,52,113,22,22
56317004.0,288,232,26,17,8,5
56925008.0,49,60,7,6,4,2
57182000.0,178,166,0,0,0,0
57406009.0,19,12,3,2,4,4
59927004.0,760,422,65,97,37,24
60862001.0,191,118,35,14,9,1
61462000.0,2379,3179,1893,331,392,37
61599003.0,141,52,50,5,13,9
62315008.0,3048,1535,271,597,219,45
63102001.0,8,146,0,9,4,0
67362008.0,0,0,0,0,0,0
68566005.0,177,116,52,26,38,38
69322001.0,864,401,88,12,53,3
69896004.0,1786,10824,242,27,26,8
73211009.0,15507,10083,36044,528,961,220
73442001.0,3,3,0,0,0,0
74732009.0,10438,3088,1475,811,2786,223
75694006.0,811,130,98,42,35,32
76376003.0,15,11,6,1,3,1
86044005.0,297,550,92,0,8,0
709044004.0,197,382,34,15,17,17
129103003.0,83,68,20,2,7,1
195967001.0,1831,2055,363,131,78,30
200936003.0,919,1321,293,66,44,9
233604007.0,1711,1154,400,186,514,147
698247007.0,4054,6548,536,127,142,93
