,,0
24700007.0,female,25984
6142004.0,male,44
6471006.0,male,401
21134002.0,male,84
6471006.0,female,216
21134002.0,female,72
161712005.0,female,52
76376003.0,female,2
15188001.0,male,22
74732009.0,female,102
24693007.0,male,6
35489007.0,female,249
74732009.0,male,86
195967001.0,male,31
24700007.0,male,144
40733004.0,male,160
40733004.0,non-binary,5
22298006.0,male,191
tuberculoses,female,73
10743008.0,female,18
10743008.0,male,5
22298006.0,female,201
35489007.0,male,388
26929004.0,female,24
52448006.0,female,44
57406009.0,male,3
73211009.0,female,127
15188001.0,female,16
56925008.0,male,11
hypertension,male,30
709044004.0,male,9
6142004.0,female,32
covid-19,female,20
tuberculoses,male,53
40733004.0,female,150
698247007.0,female,13
69896004.0,female,30
233604007.0,male,29
63102001.0,female,3
49049000.0,male,29
covid-19,male,32
61462000.0,female,36
62315008.0,female,24
44054006.0,male,7
73211009.0,male,87
75694006.0,male,7
69322001.0,female,12
49601007.0,male,40
53741008.0,male,20
91302008,male,11
69322001.0,male,25
32798002.0,female,4
49049000.0,female,15
233604007.0,female,21
61462000.0,male,34
menstruation,female,22
49601007.0,female,26
698247007.0,male,10
32398004.0,male,10
hypertension,female,36
3723001.0,male,34
3723001.0,female,34
396275006.0,male,1
44054006.0,female,8
200936003.0,male,7
200936003.0,female,16
syphilis,male,9
161712005.0,male,13
hepatitis b,male,4
62315008.0,male,31
11381005.0,male,4
86044005.0,male,22
26929004.0,male,22
52448006.0,male,37
56317004.0,male,3
195967001.0,female,60
50829006.0,female,3
menstruation,male,5
39621005.0,female,1
13746004.0,male,5
18718003.0,female,4
29384001.0,non-binary,3
59927004.0,male,16
hiv/aids,male,15
32398004.0,female,3
endocarditis,male,1
3716002.0,female,2
29384001.0,male,2
91302008,female,9
56925008.0,female,7
endocarditis,female,2
709044004.0,female,2
57182000.0,female,3
18193002.0,male,4
52702003.0,female,3
233604007.0,non-binary,1
hiv/aids,female,17
tuberculoses,non-binary,1
syphilis,female,17
syphilis,non-binary,1
59927004.0,female,10
hiv/aids,non-binary,4
60862001.0,male,2
24693007.0,female,2
53741008.0,female,4
8357008.0,male,2
6471006.0,non-binary,3
hepatitis b,female,4
68566005.0,female,5
74732009.0,non-binary,1
13746004.0,female,9
21134002.0,non-binary,6
43116000.0,male,1
43116000.0,female,3
8357008.0,female,2
14669001.0,female,1
11381005.0,female,8
69896004.0,male,3
3545003.0,male,1
396275006.0,female,1
129103003.0,male,2
61599003.0,male,1
36971009.0,female,3
32798002.0,male,6
crohn’s disease,female,2
35489007.0,non-binary,1
chagas disease,female,1
50829006.0,male,1
63102001.0,male,1
56317004.0,female,3
698247007.0,non-binary,1
chagas disease,male,1
54150009.0,male,2
129103003.0,female,3
sarcoidoses,male,2
75694006.0,female,4
46635009.0,male,1
46635009.0,female,1
86044005.0,female,2
52702003.0,male,1
39621005.0,male,4
54150009.0,female,1
34840004.0,male,1
3545003.0,female,1
57406009.0,female,1
57182000.0,male,2
68566005.0,male,2
34486009.0,male,1
