,,0
22298006.0,female,1883
24700007.0,female,26011
6142004.0,male,213
22298006.0,male,1988
73211009.0,male,478
73211009.0,non-binary,7
40733004.0,male,619
40733004.0,female,597
21134002.0,male,528
21134002.0,female,536
6471006.0,male,1016
26929004.0,female,79
52448006.0,female,165
tuberculoses,female,1048
6471006.0,female,731
covid-19,male,192
tuberculoses,male,520
62315008.0,female,232
161712005.0,female,73
76376003.0,female,2
15188001.0,male,66
15188001.0,female,81
35489007.0,male,1138
35489007.0,female,1668
74732009.0,female,417
24693007.0,male,13
26929004.0,male,83
44054006.0,male,43
44054006.0,female,64
52448006.0,male,158
73211009.0,female,512
709044004.0,male,19
709044004.0,female,31
32798002.0,male,30
49049000.0,male,106
6142004.0,female,164
hypertension,male,152
hypertension,female,200
24700007.0,male,476
74732009.0,male,396
covid-19,female,147
233604007.0,male,104
233604007.0,female,93
195967001.0,male,123
195967001.0,female,159
hepatitis b,male,30
hepatitis b,female,34
hiv/aids,male,101
syphilis,male,44
49601007.0,male,187
68566005.0,male,10
49601007.0,female,175
62315008.0,male,149
40733004.0,non-binary,37
161712005.0,male,41
200936003.0,male,50
200936003.0,female,61
10743008.0,female,73
10743008.0,male,39
69322001.0,male,119
69322001.0,female,81
hiv/aids,female,118
69896004.0,female,183
57406009.0,male,13
61462000.0,male,136
61462000.0,female,162
21134002.0,non-binary,33
74732009.0,non-binary,21
698247007.0,female,163
29384001.0,male,30
29384001.0,female,25
32398004.0,male,35
32398004.0,female,20
69322001.0,non-binary,7
233604007.0,non-binary,7
698247007.0,male,158
35489007.0,non-binary,48
56925008.0,male,27
56925008.0,female,21
tuberculoses,non-binary,5
161712005.0,non-binary,1
61462000.0,non-binary,7
50829006.0,male,26
syphilis,female,55
63102001.0,male,9
63102001.0,female,10
32798002.0,female,27
49049000.0,female,89
3723001.0,male,109
32914008.0,male,4
32914008.0,female,4
69896004.0,male,94
13746004.0,male,28
59927004.0,male,47
59927004.0,female,49
54150009.0,male,7
54150009.0,female,14
75694006.0,female,30
75694006.0,male,25
53741008.0,male,50
53741008.0,female,36
23502006.0,male,9
3723001.0,female,96
43116000.0,female,25
11381005.0,male,46
11381005.0,female,48
50829006.0,female,17
86044005.0,male,110
hiv/aids,non-binary,16
endocarditis,male,8
endocarditis,non-binary,1
3723001.0,non-binary,7
91302008,male,44
91302008,non-binary,1
6471006.0,non-binary,56
endocarditis,female,8
52448006.0,non-binary,8
43116000.0,male,29
menstruation,male,28
menstruation,female,45
396275006.0,male,31
396275006.0,female,21
15188001.0,non-binary,5
32398004.0,non-binary,4
195967001.0,non-binary,9
91302008,female,59
60862001.0,male,16
60862001.0,female,18
34486009.0,male,6
40930008.0,male,2
18193002.0,male,24
46635009.0,male,16
39400004.0,female,2
57182000.0,female,18
13746004.0,female,37
56317004.0,male,16
86044005.0,female,24
26929004.0,non-binary,2
18718003.0,female,12
29384001.0,non-binary,5
39621005.0,female,14
24693007.0,female,9
3716002.0,male,7
3716002.0,female,9
3716002.0,non-binary,5
6142004.0,non-binary,9
18718003.0,male,8
18718003.0,non-binary,3
18193002.0,female,15
30811009.0,male,1
30811009.0,female,1
56317004.0,female,17
52702003.0,female,8
39621005.0,male,20
ulcerative colitis,male,9
ulcerative colitis,female,10
crohn’s disease,male,5
crohn’s disease,female,8
3545003.0,male,4
3545003.0,female,5
23502006.0,female,4
23919004.0,male,2
23919004.0,female,4
31384009.0,male,1
34840004.0,male,8
36971009.0,male,3
36971009.0,female,5
57182000.0,male,15
57406009.0,female,4
61599003.0,male,3
61599003.0,female,2
68566005.0,female,22
129103003.0,female,15
62315008.0,non-binary,5
129103003.0,male,7
22298006.0,non-binary,5
52702003.0,male,9
43116000.0,non-binary,1
syphilis,non-binary,3
menstruation,non-binary,4
chagas disease,male,8
chagas disease,female,8
11654001.0,male,1
37340000.0,male,3
8357008.0,male,4
8357008.0,female,5
46635009.0,female,13
34840004.0,female,4
14669001.0,male,2
14669001.0,female,2
200936003.0,non-binary,1
13746004.0,non-binary,2
11381005.0,non-binary,2
34486009.0,female,4
31384009.0,female,4
18193002.0,non-binary,7
crohn’s disease,non-binary,1
10743008.0,non-binary,2
49601007.0,non-binary,2
52702003.0,non-binary,1
24700007.0,non-binary,1
698247007.0,non-binary,1
39400004.0,male,1
sarcoidoses,male,2
hypertension,non-binary,4
24693007.0,non-binary,2
56925008.0,non-binary,1
32798002.0,non-binary,2
49049000.0,non-binary,2
75694006.0,non-binary,1
37340000.0,female,1
covid-19,non-binary,2
