,,0
73211009.0,insulin,216
62315008.0,aspirin,4
hiv/aids,vaccines,5
195967001.0,aspirin,54
tuberculoses,insulin,4
13746004.0,eszopiclone,1
200936003.0,warfarin,2
61462000.0,vaccines,23
49601007.0,insulin,16
195967001.0,budesonide,3
tuberculoses,vaccines,7
40733004.0,vaccines,73
161712005.0,vaccines,1
74732009.0,vaccines,2
hypertension,acetaminophen,19
22298006.0,aspirin,21
233604007.0,crestor,1
233604007.0,lipitor,1
62315008.0,doxycycline,3
6471006.0,vaccines,3
35489007.0,vaccines,1
covid-19,vaccines,17
21134002.0,insulin,11
57182000.0,insulin,5
30811009.0,aspirin,7
32398004.0,aspirin,9
26929004.0,aspirin,1
26929004.0,insulin,5
35489007.0,insulin,11
35489007.0,aspirin,12
52448006.0,aspirin,2
52448006.0,insulin,9
hepatitis b,vaccines,14
74732009.0,aspirin,3
233604007.0,vaccines,13
22298006.0,insulin,7
10743008.0,insulin,1
40733004.0,insulin,6
40733004.0,truvada,3
60862001.0,aspirin,1
3723001.0,aspirin,16
22298006.0,warfarin,3
74732009.0,fingolimod,1
91302008,metoprolol,1
6142004.0,acetaminophen,27
32398004.0,warfarin,18
32798002.0,acetaminophen,19
35489007.0,acetaminophen,38
49049000.0,acetaminophen,32
49601007.0,acetaminophen,16
73211009.0,acetaminophen,14
35489007.0,dabigatran,1
44054006.0,insulin,34
35489007.0,fentanyl,2
11381005.0,ibuprofen,2
11381005.0,aspirin,7
hypertension,insulin,12
43116000.0,aspirin,3
syphilis,vaccines,1
69896004.0,insulin,1
hypertension,aspirin,22
3723001.0,acetaminophen,7
6142004.0,aspirin,11
195967001.0,acetaminophen,10
18718003.0,castor oil,1
22298006.0,ibuprofen,10
195967001.0,ibuprofen,17
59927004.0,insulin,3
3723001.0,cinacalcet,1
3723001.0,sensipar,1
22298006.0,cinacalcet,1
22298006.0,sensipar,1
26889001.0,cinacalcet,1
26889001.0,sensipar,1
49601007.0,cinacalcet,1
73211009.0,cinacalcet,1
709044004.0,cinacalcet,1
709044004.0,sensipar,1
6142004.0,ibuprofen,11
11381005.0,nicotine,2
11381005.0,acetaminophen,3
3723001.0,vaccines,1
69896004.0,vaccines,1
tuberculoses,paracetamol,9
hypertension,warfarin,12
49601007.0,warfarin,13
73211009.0,warfarin,16
62315008.0,paracetamol,8
covid-19,ibuprofen,1
covid-19,acetaminophen,2
covid-19,aspirin,2
covid-19,paracetamol,2
195967001.0,vaccines,3
hypertension,ibuprofen,6
hypertension,sildenafil,5
hypertension,tadalafil,2
hypertension,viagra,3
hypertension,cialis,2
3723001.0,ibuprofen,19
3723001.0,sildenafil,1
3723001.0,tadalafil,1
3723001.0,warfarin,6
3723001.0,viagra,2
3723001.0,cialis,1
49601007.0,ibuprofen,2
49601007.0,sildenafil,1
49601007.0,tadalafil,2
49601007.0,aspirin,16
49601007.0,viagra,2
49601007.0,cialis,2
73211009.0,ibuprofen,12
73211009.0,sildenafil,3
73211009.0,tadalafil,1
73211009.0,aspirin,17
73211009.0,viagra,3
73211009.0,cialis,1
195967001.0,sildenafil,1
195967001.0,tadalafil,1
195967001.0,warfarin,19
195967001.0,viagra,1
195967001.0,cialis,1
3723001.0,etanercept,2
3723001.0,adalimumab,1
3723001.0,rituximab,1
3723001.0,humira,1
3723001.0,infliximab,1
3723001.0,abatacept,1
3723001.0,enbrel,1
3723001.0,remicade,1
3723001.0,orencia,1
hiv/aids,quetiapine,1
hepatitis b,quetiapine,1
hepatitis b,acetaminophen,1
13746004.0,acetaminophen,1
69322001.0,quetiapine,1
74732009.0,quetiapine,1
hypertension,nicotine,2
39621005.0,nicotine,1
49601007.0,nicotine,3
hepatitis b,insulin,1
15188001.0,insulin,5
23919004.0,insulin,1
29384001.0,insulin,1
40733004.0,aspirin,12
56317004.0,insulin,1
61462000.0,insulin,2
68566005.0,aspirin,1
69322001.0,insulin,1
75694006.0,insulin,3
195967001.0,insulin,6
3723001.0,reyataz,2
6142004.0,warfarin,2
11381005.0,warfarin,1
40733004.0,ibuprofen,13
40733004.0,warfarin,5
44054006.0,warfarin,1
44054006.0,lipitor,1
57182000.0,warfarin,1
57182000.0,lipitor,1
73211009.0,lipitor,1
40733004.0,atorvastatin,5
40733004.0,paracetamol,4
698247007.0,rivaroxaban,10
698247007.0,warfarin,19
22298006.0,celebrex,1
22298006.0,viagra,1
22298006.0,cialis,1
29384001.0,aspirin,2
hepatitis b,heparin,5
6142004.0,vaccines,26
73211009.0,epoetin alfa,1
73211009.0,insulin lispro,8
73211009.0,insulin glargine,7
73211009.0,vaccines,1
35489007.0,nicotine,6
hypertension,vaccines,1
10743008.0,vaccines,1
15188001.0,vaccines,1
396275006.0,nicotine,1
24700007.0,nicotine,1
40733004.0,nicotine,4
49601007.0,vaccines,2
195967001.0,nicotine,3
200936003.0,vaccines,1
22298006.0,nicotine,3
11381005.0,doxycycline,2
91302008,vaccines,2
53741008.0,aspirin,6
53741008.0,warfarin,3
200936003.0,rituximab,2
11381005.0,cialis,1
46635009.0,insulin,4
69322001.0,aripiprazole,1
233604007.0,aspirin,2
