Disease,Demographics,Counts
10743008.0,abilify,1
10743008.0,acetaminophen,51
10743008.0,aciphex,5
10743008.0,adalimumab,13
10743008.0,adderall,17
10743008.0,adderall xr,2
10743008.0,afinitor,2
10743008.0,androgel,2
10743008.0,aripiprazole,5
10743008.0,aspirin,163
10743008.0,atazanavir,8
10743008.0,atorvastatin,4
10743008.0,atripla,3
10743008.0,avastin,2
10743008.0,avonex,1
10743008.0,benadryl,6
10743008.0,benicar,3
10743008.0,bevacizumab,2
10743008.0,budesonide,33
10743008.0,buprenorphine,4
10743008.0,capecitabine,2
10743008.0,castor oil,20
10743008.0,celebrex,8
10743008.0,celecoxib,11
10743008.0,cialis,54
10743008.0,complera,1
10743008.0,crestor,4
10743008.0,cymbalta,29
10743008.0,dabigatran,1
10743008.0,darunavir,2
10743008.0,dexilant,1
10743008.0,dexlansoprazole,2
10743008.0,doxycycline,32
10743008.0,duloxetine,49
10743008.0,enbrel,4
10743008.0,esomeprazole,33
10743008.0,eszopiclone,6
10743008.0,etanercept,4
10743008.0,everolimus,5
10743008.0,evista,1
10743008.0,ezetimibe,5
10743008.0,fenofibrate,3
10743008.0,fentanyl,19
10743008.0,filgrastim,4
10743008.0,glatiramer,1
10743008.0,gravol,2
10743008.0,heparin,24
10743008.0,humalog,1
10743008.0,humira,14
10743008.0,hydrocodone bitartrate,2
10743008.0,hydrocortisone cream,2
10743008.0,ibuprofen,117
10743008.0,imatinib,7
10743008.0,infliximab,39
10743008.0,insulin,692
10743008.0,insulin detemir,1
10743008.0,insulin lispro,1
10743008.0,isentress,5
10743008.0,januvia,1
10743008.0,lantus,4
10743008.0,levothyroxine,31
10743008.0,lidocaine,37
10743008.0,lipitor,9
10743008.0,liraglutide,3
10743008.0,lunesta,6
10743008.0,lyrica,32
10743008.0,melatonin,162
10743008.0,memantine,4
10743008.0,methylphenidate,4
10743008.0,metoprolol,9
10743008.0,mometasone,1
10743008.0,namenda,4
10743008.0,nasonex,3
10743008.0,neulasta,2
10743008.0,neupogen,1
10743008.0,nexium,46
10743008.0,nicotine,104
10743008.0,novolog,2
10743008.0,omalizumab,4
