Disease,Demographics,Counts
10743008.0,female,5555
10743008.0,male,4207
10743008.0,non-binary,11
11381005.0,female,13771
11381005.0,male,14176
11381005.0,non-binary,74
11654001.0,female,58
11654001.0,male,119
11654001.0,non-binary,2
129103003.0,female,13335
129103003.0,male,2269
129103003.0,non-binary,13
13746004.0,female,12619
13746004.0,male,13016
13746004.0,non-binary,93
14669001.0,female,158
14669001.0,male,213
15188001.0,female,5392
15188001.0,male,9179
15188001.0,non-binary,56
161712005.0,female,68346
161712005.0,male,12560
161712005.0,non-binary,141
18193002.0,female,887
18193002.0,male,1754
18193002.0,non-binary,6
18718003.0,female,899
18718003.0,male,703
195967001.0,female,31782
195967001.0,male,33876
195967001.0,non-binary,80
200936003.0,female,16339
200936003.0,male,7540
200936003.0,non-binary,35
21134002.0,female,99003
21134002.0,male,136983
21134002.0,non-binary,1855
22298006.0,female,59006
22298006.0,male,126233
22298006.0,non-binary,218
233604007.0,female,31976
233604007.0,male,48856
233604007.0,non-binary,405
23502006.0,female,3602
23502006.0,male,3003
23502006.0,non-binary,18
23919004.0,female,69
23919004.0,male,77
24693007.0,female,8044
24693007.0,male,3283
24693007.0,non-binary,15
24700007.0,female,97334
24700007.0,male,12264
24700007.0,non-binary,38
25458004.0,female,56
25458004.0,male,100
26889001.0,female,58
26889001.0,male,77
26929004.0,female,20187
26929004.0,male,20943
26929004.0,non-binary,61
29384001.0,female,1703
29384001.0,male,2222
29384001.0,non-binary,4
30811009.0,female,24
30811009.0,male,32
31384009.0,female,466
31384009.0,male,335
31384009.0,non-binary,1
32398004.0,female,5084
32398004.0,male,7531
32398004.0,non-binary,13
32798002.0,female,5528
32798002.0,male,8955
32798002.0,non-binary,23
32914008.0,female,649
32914008.0,male,480
32914008.0,non-binary,3
34486009.0,female,2724
34486009.0,male,1464
34486009.0,non-binary,5
34840004.0,female,1679
34840004.0,male,5472
34840004.0,non-binary,5
3545003.0,female,659
3545003.0,male,489
35489007.0,female,233742
35489007.0,male,287207
35489007.0,non-binary,3375
36971009.0,female,1069
36971009.0,male,1360
36971009.0,non-binary,1
3716002.0,female,2356
3716002.0,male,1479
3716002.0,non-binary,6
3723001.0,female,34141
3723001.0,male,30854
3723001.0,non-binary,85
37340000.0,female,382
37340000.0,male,844
37340000.0,non-binary,2
39400004.0,female,1188
39400004.0,male,1657
39621005.0,female,3257
39621005.0,male,3027
39621005.0,non-binary,2
396275006.0,female,6725
396275006.0,male,6254
396275006.0,non-binary,1
40733004.0,female,139453
40733004.0,male,141485
40733004.0,non-binary,3371
40930008.0,female,2372
40930008.0,male,1028
40930008.0,non-binary,2
4308002.0,female,4
4308002.0,male,6
43116000.0,female,5424
43116000.0,male,5202
43116000.0,non-binary,14
44054006.0,female,17323
44054006.0,male,15155
44054006.0,non-binary,12
46635009.0,female,1160
46635009.0,male,961
46635009.0,non-binary,2
49049000.0,female,15749
49049000.0,male,26662
49049000.0,non-binary,157
49601007.0,female,49701
49601007.0,male,57184
49601007.0,non-binary,139
50829006.0,female,753
50829006.0,male,971
50829006.0,non-binary,3
52448006.0,female,49124
52448006.0,male,52321
52448006.0,non-binary,181
52702003.0,female,2052
52702003.0,male,1430
52702003.0,non-binary,7
53741008.0,female,6230
53741008.0,male,9499
53741008.0,non-binary,2
54150009.0,female,1309
54150009.0,male,1549
56317004.0,female,4561
56317004.0,male,4787
56317004.0,non-binary,16
56925008.0,female,9266
56925008.0,male,23472
56925008.0,non-binary,187
57182000.0,female,4166
57182000.0,male,6939
57182000.0,non-binary,6
57406009.0,female,2645
57406009.0,male,2544
57406009.0,non-binary,2
59927004.0,female,9905
59927004.0,male,15635
59927004.0,non-binary,40
60862001.0,female,2648
60862001.0,male,4256
60862001.0,non-binary,5
6142004.0,female,34458
6142004.0,male,45087
6142004.0,non-binary,140
61462000.0,female,16495
61462000.0,male,21950
61462000.0,non-binary,52
61599003.0,female,430
61599003.0,male,601
62315008.0,female,20256
62315008.0,male,22994
62315008.0,non-binary,107
63102001.0,female,1429
63102001.0,male,2036
63102001.0,non-binary,6
6471006.0,female,185730
6471006.0,male,312081
