,,0
35489007.0,abilify,5
6142004.0,vaccines,8
hypertension,insulin,8
233604007.0,vaccines,1
covid-19,vaccines,47
73211009.0,insulin,94
hypertension,sildenafil,1
49601007.0,aspirin,4
3723001.0,ibuprofen,1
22298006.0,aspirin,6
709044004.0,insulin,2
35489007.0,ritalin,1
tuberculoses,aspirin,1
46635009.0,insulin,1
200936003.0,heparin,1
49601007.0,viagra,1
73211009.0,aspirin,3
195967001.0,insulin,1
hypertension,aspirin,3
56925008.0,sildenafil,1
73211009.0,aripiprazole,1
73211009.0,abilify,2
24700007.0,nicotine,1
40733004.0,viagra,1
40733004.0,cialis,1
23502006.0,insulin,1
24700007.0,insulin,1
40733004.0,aspirin,1
40733004.0,insulin,2
68566005.0,aspirin,1
200936003.0,insulin,1
40733004.0,acetaminophen,1
35489007.0,avastin,1
62315008.0,abilify,1
62315008.0,avastin,1
59927004.0,aspirin,1
62315008.0,aspirin,1
195967001.0,ibuprofen,1
40733004.0,adalimumab,1
3723001.0,lipitor,1
195967001.0,heparin,1
74732009.0,ritalin,1
hypertension,victoza,1
44054006.0,victoza,1
73211009.0,victoza,1
6142004.0,tamiflu,2
6142004.0,oseltamivir,1
233604007.0,tamiflu,1
233604007.0,oseltamivir,1
39400004.0,ibuprofen,1
91302008,ibuprofen,1
195967001.0,warfarin,1
195967001.0,mometasone,1
24693007.0,bevacizumab,1
40733004.0,januvia,1
44054006.0,januvia,1
54150009.0,januvia,1
73211009.0,januvia,1
75694006.0,januvia,1
hypertension,rituximab,1
hypertension,abatacept,1
hypertension,etanercept,1
32398004.0,rituximab,1
32398004.0,abatacept,1
32398004.0,etanercept,1
39621005.0,rituximab,1
39621005.0,abatacept,1
39621005.0,etanercept,1
195967001.0,paracetamol,1
menstruation,aspirin,1
195967001.0,aspirin,3
73211009.0,nexplanon,1
29384001.0,viagra,1
73211009.0,lipitor,1
73211009.0,acetaminophen,2
35489007.0,aripiprazole,1
ulcerative colitis,infliximab,2
3723001.0,infliximab,2
69896004.0,infliximab,2
hypertension,lipitor,1
22298006.0,lipitor,1
49601007.0,lipitor,1
698247007.0,benadryl,1
49601007.0,insulin,2
24700007.0,fingolimod,1
24700007.0,gilenya,1
13746004.0,nexium,1
195967001.0,vaccines,1
32398004.0,viagra,1
32398004.0,cialis,1
57182000.0,pregabalin,1
195967001.0,omalizumab,1
6142004.0,ibuprofen,1
698247007.0,warfarin,1
3723001.0,tamiflu,1
covid-19,ranibizumab,1
233604007.0,ranibizumab,1
3723001.0,adalimumab,1
73211009.0,lantus,1
73211009.0,insulin glargine,1
52448006.0,aspirin,2
52448006.0,metoprolol,1
21134002.0,vaccines,1
44054006.0,insulin,1
26929004.0,vaccines,1
52448006.0,vaccines,1
73211009.0,synthroid,1
73211009.0,levothyroxine,1
covid-19,viagra,1
61462000.0,paracetamol,1
35489007.0,aspirin,1
40733004.0,ustekinumab,1
40733004.0,infliximab,1
hypertension,abilify,1
13746004.0,abilify,1
52448006.0,abilify,1
69322001.0,abilify,1
698247007.0,aspirin,1
6142004.0,paracetamol,1
6471006.0,aspirin,1
40733004.0,ibuprofen,1
40733004.0,atorvastatin,1
73211009.0,atorvastatin,1
26929004.0,enbrel,1
52448006.0,enbrel,1
40733004.0,rituximab,1
hepatitis b,vaccines,1
40733004.0,vaccines,1
11381005.0,aspirin,1
3723001.0,rituximab,1
69896004.0,rituximab,1
6142004.0,aspirin,1
61462000.0,doxycycline,1
69322001.0,metoprolol,1
49049000.0,viagra,1
