,,0
3723001.0,female,50
22298006.0,male,382
tuberculoses,male,360
35489007.0,male,1024
49049000.0,male,100
63102001.0,female,4
49049000.0,female,75
tuberculoses,female,308
69896004.0,male,54
26929004.0,male,73
52448006.0,male,130
24700007.0,male,311
24700007.0,female,7915
covid-19,male,354
covid-19,female,188
52448006.0,female,102
73211009.0,female,250
32798002.0,male,13
21134002.0,male,271
74732009.0,female,222
40733004.0,female,336
40733004.0,male,686
6142004.0,male,240
10743008.0,male,72
698247007.0,female,57
6471006.0,male,1363
46635009.0,male,2
6471006.0,female,747
74732009.0,male,290
32798002.0,female,9
35489007.0,female,637
6142004.0,female,161
hypertension,male,133
73211009.0,male,345
22298006.0,female,250
21134002.0,female,175
49601007.0,male,99
49601007.0,female,73
698247007.0,male,64
57406009.0,male,4
60862001.0,male,10
26929004.0,female,54
hiv/aids,female,27
34840004.0,male,1
200936003.0,male,40
74732009.0,non-binary,17
11381005.0,female,25
61462000.0,female,57
61462000.0,male,78
11381005.0,male,38
195967001.0,male,86
62315008.0,male,79
62315008.0,female,44
hypertension,female,119
195967001.0,female,66
233604007.0,female,49
91302008,male,28
91302008,female,18
50829006.0,female,3
13746004.0,male,22
233604007.0,male,84
3723001.0,male,62
69896004.0,female,39
menstruation,female,28
15188001.0,female,21
hiv/aids,male,45
13746004.0,female,20
396275006.0,male,4
59927004.0,male,16
hepatitis b,male,7
32398004.0,male,9
43116000.0,female,6
43116000.0,male,8
161712005.0,female,46
63102001.0,male,17
86044005.0,male,16
161712005.0,male,27
8357008.0,female,2
15188001.0,male,23
syphilis,male,28
35489007.0,non-binary,16
covid-19,non-binary,1
69322001.0,male,59
69322001.0,female,36
3716002.0,male,1
18193002.0,male,7
18193002.0,female,3
200936003.0,female,21
56925008.0,male,11
56925008.0,female,4
6471006.0,non-binary,8
syphilis,female,13
menstruation,male,19
44054006.0,male,8
endocarditis,female,2
21134002.0,non-binary,19
23502006.0,male,4
23502006.0,female,3
18193002.0,non-binary,1
6142004.0,non-binary,4
32914008.0,male,2
32914008.0,female,4
26929004.0,non-binary,1
52448006.0,non-binary,1
40733004.0,non-binary,3
syphilis,non-binary,1
61462000.0,non-binary,2
57182000.0,male,13
60862001.0,female,5
56317004.0,male,6
56317004.0,female,4
34840004.0,female,1
57406009.0,female,1
34486009.0,male,2
39621005.0,male,3
73211009.0,non-binary,5
62315008.0,non-binary,1
75694006.0,female,2
10743008.0,female,28
10743008.0,non-binary,1
50829006.0,male,15
52702003.0,male,1
36971009.0,female,2
22298006.0,non-binary,2
hiv/aids,non-binary,1
39400004.0,male,2
709044004.0,male,8
29384001.0,male,4
takotsubo cardiomyopathy,male,2
takotsubo cardiomyopathy,female,2
57182000.0,female,8
8357008.0,male,1
8357008.0,non-binary,1
39400004.0,female,1
59927004.0,female,11
68566005.0,male,5
46635009.0,female,2
91302008,non-binary,1
129103003.0,male,3
129103003.0,female,2
32398004.0,female,3
86044005.0,female,4
hepatitis b,female,5
36971009.0,male,1
24693007.0,female,5
396275006.0,female,4
ulcerative colitis,male,9
ulcerative colitis,female,7
24693007.0,male,1
52702003.0,female,1
75694006.0,male,1
54150009.0,male,3
53741008.0,male,5
53741008.0,female,7
39621005.0,female,1
68566005.0,female,3
709044004.0,female,4
18718003.0,male,2
24700007.0,non-binary,2
54150009.0,female,1
44054006.0,female,9
69322001.0,non-binary,1
13746004.0,non-binary,1
29384001.0,female,2
200936003.0,non-binary,1
crohn’s disease,male,1
crohn’s disease,female,1
34486009.0,female,2
49601007.0,non-binary,1
endocarditis,male,1
