,,0
6471006.0,male,50135
tuberculoses,male,10967
tuberculoses,female,7279
35489007.0,male,37348
35489007.0,female,23118
61462000.0,male,4872
61462000.0,female,2660
74732009.0,female,12156
covid-19,non-binary,872
6471006.0,female,34731
covid-19,male,42488
21134002.0,male,9390
6142004.0,male,3857
62315008.0,male,1199
covid-19,female,24607
22298006.0,male,27573
syphilis,male,1641
syphilis,female,1056
74732009.0,male,15021
hiv/aids,male,831
hiv/aids,female,684
62315008.0,female,1051
73211009.0,female,4505
menstruation,female,1114
21134002.0,female,7783
40733004.0,female,7331
40733004.0,male,10085
91302008,female,723
200936003.0,female,865
75694006.0,male,289
3723001.0,male,2132
3723001.0,female,1574
39621005.0,male,214
39621005.0,female,123
200936003.0,male,1293
15188001.0,male,1143
15188001.0,female,797
73211009.0,male,6323
698247007.0,male,601
698247007.0,non-binary,5
195967001.0,male,2609
195967001.0,female,1932
37340000.0,male,479
37340000.0,female,212
26929004.0,male,4465
26929004.0,female,3382
52448006.0,male,7215
52448006.0,female,5413
24700007.0,male,1725
49601007.0,male,5040
49601007.0,female,3282
22298006.0,female,14477
ulcerative colitis,female,116
24700007.0,female,1956
57182000.0,male,414
22298006.0,non-binary,370
709044004.0,male,193
709044004.0,female,143
233604007.0,male,11251
233604007.0,female,6881
49049000.0,male,5725
61462000.0,non-binary,30
hypertension,male,1906
hypertension,non-binary,19
13746004.0,male,1426
32398004.0,male,923
32398004.0,female,629
32398004.0,non-binary,10
61599003.0,male,92
61599003.0,female,57
6471006.0,non-binary,1716
35489007.0,non-binary,849
29384001.0,female,110
53741008.0,male,331
53741008.0,female,168
396275006.0,female,193
menstruation,male,711
6142004.0,female,2360
68566005.0,male,134
396275006.0,male,228
69896004.0,female,517
69896004.0,male,637
13746004.0,female,1107
18193002.0,male,127
18193002.0,female,86
endocarditis,female,102
91302008,male,1072
hiv/aids,non-binary,220
21134002.0,non-binary,518
32798002.0,male,2823
29384001.0,male,149
34840004.0,male,625
34840004.0,female,188
hypertension,female,1458
32798002.0,female,1672
49049000.0,female,3255
59927004.0,female,983
69322001.0,male,1404
56925008.0,male,563
69322001.0,female,940
698247007.0,female,370
44054006.0,male,430
44054006.0,female,369
56925008.0,female,446
161712005.0,male,681
161712005.0,female,1217
59927004.0,male,1536
75694006.0,female,176
233604007.0,non-binary,221
56317004.0,female,217
74732009.0,non-binary,978
52702003.0,male,236
43116000.0,male,218
43116000.0,female,206
11381005.0,male,467
11381005.0,female,473
49049000.0,non-binary,120
hepatitis b,male,394
hepatitis b,female,278
40733004.0,non-binary,344
129103003.0,female,331
57182000.0,female,264
57406009.0,male,86
chagas disease,female,44
chagas disease,male,74
56317004.0,male,234
50829006.0,male,53
50829006.0,female,44
86044005.0,male,655
60862001.0,male,268
63102001.0,male,198
tuberculoses,non-binary,109
69322001.0,non-binary,26
60862001.0,female,138
3716002.0,male,100
34486009.0,male,113
76376003.0,female,29
endocarditis,male,167
23502006.0,male,237
13746004.0,non-binary,107
24700007.0,non-binary,31
syphilis,non-binary,77
menstruation,non-binary,31
34486009.0,female,127
39400004.0,male,37
14669001.0,male,39
14669001.0,female,23
10743008.0,male,266
3716002.0,female,68
40930008.0,male,48
40930008.0,female,58
10743008.0,female,176
24693007.0,female,117
24693007.0,male,104
68566005.0,female,123
129103003.0,male,163
9829001.0,male,77
9829001.0,female,38
86044005.0,female,339
52702003.0,female,191
52702003.0,non-binary,13
63102001.0,female,116
49601007.0,non-binary,58
8357008.0,male,28
8357008.0,female,22
24693007.0,non-binary,9
73211009.0,non-binary,107
32798002.0,non-binary,61
57406009.0,female,45
ulcerative colitis,male,175
161712005.0,non-binary,43
23502006.0,female,195
56925008.0,non-binary,29
54150009.0,male,36
54150009.0,female,40
32914008.0,male,37
32914008.0,female,28
39400004.0,female,43
11654001.0,female,6
3723001.0,non-binary,29
69896004.0,non-binary,9
26929004.0,non-binary,102
52448006.0,non-binary,165
34486009.0,non-binary,6
23919004.0,male,14
23919004.0,female,15
6142004.0,non-binary,41
91302008,non-binary,12
31384009.0,male,26
31384009.0,female,20
crohn’s disease,male,16
crohn’s disease,female,14
hepatitis b,non-binary,25
195967001.0,non-binary,46
46635009.0,male,53
46635009.0,female,44
18718003.0,male,28
18718003.0,female,31
36971009.0,male,47
36971009.0,female,30
36971009.0,non-binary,1
200936003.0,non-binary,16
ulcerative colitis,non-binary,4
10743008.0,non-binary,5
25458004.0,male,15
25458004.0,female,10
26889001.0,male,6
59927004.0,non-binary,32
15188001.0,non-binary,8
sarcoidoses,male,14
29384001.0,non-binary,1
11381005.0,non-binary,21
endocarditis,non-binary,4
3545003.0,male,4
3545003.0,female,4
sarcoidoses,female,4
7973008.0,male,5
takotsubo cardiomyopathy,male,17
takotsubo cardiomyopathy,female,15
11654001.0,male,16
43116000.0,non-binary,4
76376003.0,male,7
44054006.0,non-binary,3
75694006.0,non-binary,9
63102001.0,non-binary,1
56317004.0,non-binary,5
7973008.0,female,3
23502006.0,non-binary,10
34840004.0,non-binary,1
86044005.0,non-binary,7
62315008.0,non-binary,15
60862001.0,non-binary,3
46635009.0,non-binary,1
53741008.0,non-binary,4
26889001.0,female,4
61599003.0,non-binary,1
396275006.0,non-binary,2
30811009.0,male,2
30811009.0,female,1
57182000.0,non-binary,2
4308002.0,male,1
4308002.0,female,1
37340000.0,non-binary,5
23919004.0,non-binary,1
31384009.0,non-binary,1
chagas disease,non-binary,1
takotsubo cardiomyopathy,non-binary,1
129103003.0,non-binary,5
709044004.0,non-binary,1
3716002.0,non-binary,1
