,,0
35489007.0,black/african american,4655
tuberculoses,white/caucasian,1178
6471006.0,white/caucasian,4346
6471006.0,hispanic/latino,605
covid-19,white/caucasian,7047
6471006.0,black/african american,4892
195967001.0,native american/indigenous,80
21134002.0,white/caucasian,1646
35489007.0,white/caucasian,5605
tuberculoses,black/african american,1095
61462000.0,black/african american,1051
hiv/aids,white/caucasian,160
hiv/aids,black/african american,226
61462000.0,white/caucasian,879
62315008.0,white/caucasian,540
62315008.0,black/african american,279
40733004.0,white/caucasian,2457
18718003.0,white/caucasian,26
54150009.0,white/caucasian,31
39621005.0,white/caucasian,43
39621005.0,black/african american,26
195967001.0,white/caucasian,425
26929004.0,black/african american,504
52448006.0,black/african american,813
22298006.0,black/african american,2348
ulcerative colitis,white/caucasian,52
24700007.0,white/caucasian,290
91302008,white/caucasian,217
covid-19,black/african american,5215
49049000.0,black/african american,622
195967001.0,black/african american,334
32398004.0,black/african american,83
15188001.0,native american/indigenous,43
15188001.0,white/caucasian,181
35489007.0,asian,445
21134002.0,black/african american,1265
tuberculoses,native american/indigenous,347
74732009.0,white/caucasian,1761
396275006.0,white/caucasian,57
61462000.0,hispanic/latino,160
22298006.0,native american/indigenous,199
200936003.0,white/caucasian,463
200936003.0,black/african american,441
6142004.0,black/african american,396
3723001.0,black/african american,202
3723001.0,native american/indigenous,55
396275006.0,black/african american,23
396275006.0,native american/indigenous,6
69896004.0,black/african american,141
69896004.0,native american/indigenous,8
74732009.0,native american/indigenous,488
covid-19,hispanic/latino,1085
40733004.0,black/african american,1736
chagas disease,black/african american,46
35489007.0,hispanic/latino,887
covid-19,native american/indigenous,825
syphilis,white/caucasian,276
syphilis,black/african american,274
hypertension,white/caucasian,431
hypertension,black/african american,379
hypertension,hispanic/latino,90
hypertension,asian,66
hypertension,native american/indigenous,65
hypertension,pacific islander,13
6471006.0,native american/indigenous,573
26929004.0,white/caucasian,527
26929004.0,hispanic/latino,117
26929004.0,asian,54
26929004.0,native american/indigenous,66
26929004.0,pacific islander,15
52448006.0,white/caucasian,851
52448006.0,hispanic/latino,162
52448006.0,asian,88
52448006.0,native american/indigenous,100
52448006.0,pacific islander,21
73211009.0,white/caucasian,1052
73211009.0,black/african american,923
73211009.0,hispanic/latino,263
73211009.0,asian,190
73211009.0,native american/indigenous,272
73211009.0,pacific islander,34
74732009.0,black/african american,1856
233604007.0,white/caucasian,1091
chagas disease,white/caucasian,20
24693007.0,white/caucasian,19
covid-19,asian,1859
49601007.0,asian,111
53741008.0,asian,14
233604007.0,asian,99
698247007.0,white/caucasian,153
13746004.0,white/caucasian,154
13746004.0,black/african american,176
44054006.0,black/african american,93
49601007.0,white/caucasian,739
69322001.0,white/caucasian,147
69322001.0,black/african american,153
22298006.0,white/caucasian,2161
menstruation,native american/indigenous,29
3723001.0,white/caucasian,358
tuberculoses,hispanic/latino,229
35489007.0,native american/indigenous,709
61462000.0,asian,105
62315008.0,asian,54
covid-19,pacific islander,137
49601007.0,black/african american,534
40733004.0,asian,327
233604007.0,black/african american,1134
11381005.0,white/caucasian,89
11381005.0,black/african american,56
13746004.0,asian,12
21134002.0,asian,321
44054006.0,white/caucasian,157
44054006.0,asian,29
200936003.0,hispanic/latino,157
21134002.0,native american/indigenous,352
49049000.0,white/caucasian,843
74732009.0,hispanic/latino,426
62315008.0,native american/indigenous,110
6142004.0,white/caucasian,523
61462000.0,native american/indigenous,250
40733004.0,hispanic/latino,371
161712005.0,white/caucasian,114
6471006.0,asian,438
22298006.0,asian,220
49601007.0,hispanic/latino,132
53741008.0,white/caucasian,54
53741008.0,hispanic/latino,14
129103003.0,asian,6
698247007.0,asian,22
56925008.0,white/caucasian,69
56925008.0,black/african american,34
49049000.0,hispanic/latino,100
200936003.0,asian,65
endocarditis,white/caucasian,45
68566005.0,white/caucasian,39
75694006.0,white/caucasian,79
32798002.0,white/caucasian,316
32798002.0,black/african american,281
chagas disease,hispanic/latino,20
21134002.0,hispanic/latino,283
40733004.0,native american/indigenous,231
syphilis,native american/indigenous,60
syphilis,pacific islander,8
37340000.0,black/african american,45
37340000.0,native american/indigenous,7
698247007.0,native american/indigenous,7
62315008.0,hispanic/latino,67
23502006.0,black/african american,51
63102001.0,white/caucasian,35
32798002.0,hispanic/latino,51
6142004.0,native american/indigenous,87
15188001.0,black/african american,116
56317004.0,white/caucasian,60
69322001.0,native american/indigenous,18
22298006.0,pacific islander,70
tuberculoses,pacific islander,48
tuberculoses,asian,108
32398004.0,white/caucasian,124
10743008.0,white/caucasian,63
23502006.0,white/caucasian,77
23502006.0,hispanic/latino,14
24700007.0,asian,20
161712005.0,hispanic/latino,28
86044005.0,black/african american,75
60862001.0,white/caucasian,46
60862001.0,black/african american,28
233604007.0,hispanic/latino,166
3716002.0,hispanic/latino,3
menstruation,white/caucasian,102
menstruation,black/african american,97
161712005.0,black/african american,73
hepatitis b,white/caucasian,96
75694006.0,black/african american,41
195967001.0,hispanic/latino,109
22298006.0,hispanic/latino,294
69896004.0,white/caucasian,159
syphilis,asian,16
6142004.0,asian,169
3716002.0,white/caucasian,17
3716002.0,asian,3
34486009.0,white/caucasian,22
34486009.0,asian,3
menstruation,hispanic/latino,26
56925008.0,hispanic/latino,8
59927004.0,white/caucasian,249
59927004.0,black/african american,197
6471006.0,pacific islander,69
233604007.0,native american/indigenous,174
57182000.0,black/african american,38
24700007.0,black/african american,167
37340000.0,white/caucasian,34
86044005.0,white/caucasian,75
hepatitis b,black/african american,60
61462000.0,pacific islander,58
74732009.0,asian,328
13746004.0,hispanic/latino,25
34840004.0,black/african american,32
32914008.0,white/caucasian,13
49601007.0,native american/indigenous,105
24700007.0,hispanic/latino,34
74732009.0,pacific islander,46
57406009.0,black/african american,9
18193002.0,white/caucasian,10
161712005.0,asian,21
hiv/aids,asian,30
60862001.0,native american/indigenous,4
91302008,black/african american,130
91302008,hispanic/latino,27
3723001.0,hispanic/latino,49
18718003.0,black/african american,15
23502006.0,asian,14
57182000.0,hispanic/latino,14
69896004.0,hispanic/latino,17
69322001.0,hispanic/latino,15
61599003.0,white/caucasian,10
6142004.0,hispanic/latino,101
57406009.0,white/caucasian,15
endocarditis,black/african american,19
56317004.0,black/african american,43
3545003.0,white/caucasian,2
35489007.0,pacific islander,199
43116000.0,white/caucasian,71
32798002.0,native american/indigenous,35
49049000.0,native american/indigenous,68
11381005.0,hispanic/latino,17
14669001.0,black/african american,2
syphilis,hispanic/latino,64
34486009.0,hispanic/latino,4
698247007.0,black/african american,82
21134002.0,pacific islander,55
200936003.0,native american/indigenous,26
53741008.0,black/african american,37
32398004.0,hispanic/latino,16
57182000.0,white/caucasian,75
32398004.0,asian,12
hepatitis b,native american/indigenous,15
59927004.0,asian,36
32798002.0,asian,29
49049000.0,asian,57
44054006.0,native american/indigenous,38
43116000.0,black/african american,36
32914008.0,black/african american,3
32914008.0,hispanic/latino,2
32914008.0,asian,1
39400004.0,pacific islander,1
menstruation,asian,15
195967001.0,asian,66
195967001.0,pacific islander,13
hiv/aids,hispanic/latino,56
62315008.0,pacific islander,7
10743008.0,native american/indigenous,7
129103003.0,white/caucasian,27
129103003.0,black/african american,19
129103003.0,hispanic/latino,4
49601007.0,pacific islander,30
50829006.0,white/caucasian,11
396275006.0,asian,7
44054006.0,hispanic/latino,28
68566005.0,black/african american,12
68566005.0,hispanic/latino,5
ulcerative colitis,black/african american,21
ulcerative colitis,hispanic/latino,3
ulcerative colitis,asian,4
57406009.0,hispanic/latino,2
29384001.0,white/caucasian,23
40733004.0,pacific islander,47
29384001.0,black/african american,19
396275006.0,hispanic/latino,13
hiv/aids,native american/indigenous,30
hiv/aids,pacific islander,9
59927004.0,hispanic/latino,37
34486009.0,black/african american,4
57182000.0,asian,5
63102001.0,black/african american,17
59927004.0,native american/indigenous,28
52702003.0,native american/indigenous,3
15188001.0,hispanic/latino,25
43116000.0,native american/indigenous,14
8357008.0,black/african american,1
13746004.0,native american/indigenous,10
24700007.0,native american/indigenous,23
49049000.0,pacific islander,17
ulcerative colitis,native american/indigenous,3
crohn’s disease,white/caucasian,8
crohn’s disease,black/african american,4
crohn’s disease,asian,1
crohn’s disease,native american/indigenous,2
60862001.0,hispanic/latino,4
161712005.0,native american/indigenous,18
39400004.0,white/caucasian,23
44054006.0,pacific islander,7
18193002.0,hispanic/latino,3
9829001.0,black/african american,11
24700007.0,pacific islander,2
233604007.0,pacific islander,41
698247007.0,hispanic/latino,10
34840004.0,white/caucasian,66
11381005.0,asian,13
11381005.0,native american/indigenous,12
50829006.0,black/african american,2
63102001.0,hispanic/latino,3
25458004.0,black/african american,2
29384001.0,asian,6
52702003.0,black/african american,18
10743008.0,asian,20
91302008,native american/indigenous,13
3723001.0,asian,43
3716002.0,pacific islander,1
32398004.0,native american/indigenous,18
76376003.0,black/african american,3
3545003.0,asian,1
69322001.0,asian,12
menstruation,pacific islander,1
709044004.0,black/african american,29
709044004.0,hispanic/latino,7
36971009.0,white/caucasian,13
39621005.0,native american/indigenous,6
10743008.0,black/african american,25
56925008.0,asian,9
takotsubo cardiomyopathy,black/african american,4
3716002.0,native american/indigenous,2
hepatitis b,hispanic/latino,12
39400004.0,black/african american,9
39400004.0,hispanic/latino,3
24693007.0,hispanic/latino,6
endocarditis,native american/indigenous,1
6142004.0,pacific islander,20
54150009.0,asian,4
39621005.0,hispanic/latino,5
11654001.0,hispanic/latino,1
34840004.0,hispanic/latino,2
24693007.0,black/african american,8
hepatitis b,asian,24
23502006.0,native american/indigenous,7
37340000.0,asian,6
18193002.0,black/african american,6
161712005.0,pacific islander,1
10743008.0,hispanic/latino,8
54150009.0,black/african american,6
52702003.0,white/caucasian,26
59927004.0,pacific islander,6
709044004.0,white/caucasian,40
63102001.0,native american/indigenous,7
91302008,asian,16
11654001.0,black/african american,3
hepatitis b,pacific islander,10
takotsubo cardiomyopathy,white/caucasian,3
sarcoidoses,white/caucasian,3
31384009.0,white/caucasian,5
69896004.0,asian,16
40930008.0,white/caucasian,8
40930008.0,black/african american,5
40930008.0,asian,2
7973008.0,white/caucasian,3
9829001.0,white/caucasian,4
32398004.0,pacific islander,4
91302008,pacific islander,1
14669001.0,white/caucasian,7
86044005.0,hispanic/latino,8
18718003.0,native american/indigenous,7
52702003.0,pacific islander,1
43116000.0,hispanic/latino,8
15188001.0,pacific islander,1
13746004.0,pacific islander,1
23502006.0,pacific islander,2
60862001.0,pacific islander,1
69896004.0,pacific islander,1
46635009.0,white/caucasian,7
34840004.0,asian,7
39400004.0,native american/indigenous,1
57182000.0,native american/indigenous,5
31384009.0,black/african american,4
23919004.0,black/african american,2
15188001.0,asian,14
46635009.0,hispanic/latino,1
37340000.0,hispanic/latino,7
40930008.0,hispanic/latino,1
709044004.0,pacific islander,1
52702003.0,asian,5
endocarditis,hispanic/latino,8
56317004.0,hispanic/latino,2
68566005.0,native american/indigenous,2
69322001.0,pacific islander,2
86044005.0,asian,8
46635009.0,black/african american,2
46635009.0,asian,1
26889001.0,white/caucasian,3
56317004.0,asian,4
chagas disease,native american/indigenous,2
75694006.0,hispanic/latino,3
39621005.0,asian,5
75694006.0,asian,5
56317004.0,native american/indigenous,4
18718003.0,hispanic/latino,3
36971009.0,asian,1
53741008.0,native american/indigenous,3
32798002.0,pacific islander,7
3723001.0,pacific islander,1
129103003.0,native american/indigenous,4
7973008.0,asian,1
9829001.0,hispanic/latino,1
43116000.0,asian,7
11381005.0,pacific islander,2
60862001.0,asian,2
50829006.0,native american/indigenous,2
56925008.0,native american/indigenous,2
57406009.0,native american/indigenous,1
37340000.0,pacific islander,2
29384001.0,native american/indigenous,3
24693007.0,asian,2
3545003.0,black/african american,2
200936003.0,pacific islander,3
709044004.0,asian,6
709044004.0,native american/indigenous,11
76376003.0,hispanic/latino,1
9829001.0,asian,3
63102001.0,asian,1
63102001.0,pacific islander,1
57182000.0,pacific islander,2
75694006.0,native american/indigenous,3
endocarditis,asian,1
8357008.0,white/caucasian,3
46635009.0,native american/indigenous,3
86044005.0,native american/indigenous,4
11654001.0,asian,2
50829006.0,asian,1
52702003.0,hispanic/latino,1
61599003.0,hispanic/latino,3
takotsubo cardiomyopathy,asian,1
53741008.0,pacific islander,1
54150009.0,hispanic/latino,1
61599003.0,black/african american,2
34486009.0,native american/indigenous,1
39400004.0,asian,1
10743008.0,pacific islander,1
86044005.0,pacific islander,2
18718003.0,asian,1
3716002.0,black/african american,1
