disease,total_infinigram_count
hiv/aids,1402823
covid-19,2170371
takotsubo cardiomyopathy,21562
tuberculoses,3304718
endocarditis,206555
syphilis,344210
hypertension,3821450
sarcoidoses,21418
hepatitis b,634151
ulcerative colitis,224295
crohn’s disease,47968
chagas disease,116110
diastolic dysfunction,83772
goiter,82941
arthritis,1858448
repetitive stress syndrome,192
flu,16292176
suicide,3950328
visual anomalies,6012
loss of sex drive,12628
menstruation,201392
perforated ulcer,2598
ibs,496449
acne,530671
achilles tendinitis,2751
bipolar disorder,397853
hyperthyroid,243589
hypothyroid,394306
acute kidney failure,6221
deafness,199413
hypochondria,14316
gingival disease,81312
disability,4379106
osteoarthritis,518059
 mi ,22909038
lyme disease,157609
labyrinthitis,5061
fibromyalgia,219696
multiple sclerosis,9434005
acute gastritis,2056
muscle inflammation,5940
alzheimer's,957839
gastric problems,198608
oesophageal ulcer,3408
polymyositis,27786
bronchitis,244954
parkinson's disease,573477
restless legs syndrome,29721
inflammatory disorder of tendon,69423
mood disorder of depressed type,9088448
sinus infection,19127
 mnd ,34202
permanent nerve damage,232169
gall bladder disease,181751
infection,14595446
sepsis,1574423
menopause,582322
eczema,247917
type two diabetic,1157916
type one diabetic,65958
parkinson,2768967
cardiovascular disease,3185905
learning problems,38382
dementia,2856697
chronic fatigue syndrome,60826
coronary artery disease,922926
upper respiratory infection,47171
alopecia,153585
sexual dysfunction,312344
nerve damage,229991
carpal tunnel syndrome,76413
liver failure,1103100
tinnitus,372665
malaria,2125270
phlebitis,26336
diarrhoea,1398528
vision problems,40244
aortic aneurysem,2
urinary tract infection,152129
psychosis,517404
rheumatoid arthritis,37397017
diabetes,8805626
stevens johnson syndrome,1135
mental illness,4709870
pancreatitis,490574
adenomyosis,35823
 als ,4096224
chronic kidney disease,428471
endometriosis,354650
asthma,2620509
lupus,7962882
pneumonia,2222127
arrhythmia,10937974
