,,0
15188001.0,male,16
40733004.0,male,3024
tuberculoses,female,148
24700007.0,female,5158
22298006.0,female,201
44054006.0,female,71
73211009.0,female,1044
tuberculoses,male,206
hypertension,male,281
hypertension,female,276
covid-19,male,2606
covid-19,female,1334
40733004.0,female,1132
233604007.0,female,171
69896004.0,female,333
6142004.0,male,303
21134002.0,male,333
21134002.0,female,360
6471006.0,male,312
6471006.0,female,231
35489007.0,male,1022
35489007.0,female,844
24700007.0,male,324
10743008.0,male,244
26929004.0,male,324
52448006.0,male,486
22298006.0,male,279
698247007.0,female,171
49049000.0,male,241
200936003.0,male,78
74732009.0,male,369
161712005.0,female,105
49601007.0,male,379
73211009.0,male,691
195967001.0,male,89
6142004.0,female,154
10743008.0,female,104
49601007.0,female,334
32798002.0,male,99
61462000.0,male,149
74732009.0,female,374
69896004.0,male,170
74732009.0,non-binary,30
60862001.0,male,8
68566005.0,female,14
50829006.0,female,146
233604007.0,male,195
69322001.0,male,21
69322001.0,female,17
200936003.0,female,66
52448006.0,female,351
39621005.0,male,3
39621005.0,female,3
56317004.0,male,5
56317004.0,female,6
698247007.0,male,199
40930008.0,male,1
26929004.0,female,221
60862001.0,female,5
195967001.0,female,94
32398004.0,male,23
32398004.0,female,21
86044005.0,male,84
44054006.0,male,60
13746004.0,male,31
13746004.0,female,24
49049000.0,female,172
32798002.0,female,95
hiv/aids,male,123
hiv/aids,female,104
covid-19,non-binary,39
63102001.0,male,74
63102001.0,female,65
61462000.0,female,113
46635009.0,male,4
46635009.0,female,6
396275006.0,female,35
59927004.0,female,35
3723001.0,male,63
menstruation,female,26
53741008.0,male,58
53741008.0,female,43
hiv/aids,non-binary,18
396275006.0,male,56
59927004.0,male,24
3723001.0,female,70
50829006.0,male,224
709044004.0,male,28
56925008.0,male,8
40733004.0,non-binary,46
hepatitis b,male,18
29384001.0,male,9
37340000.0,female,6
86044005.0,female,51
chagas disease,male,6
54150009.0,male,5
49049000.0,non-binary,3
21134002.0,non-binary,53
161712005.0,male,37
syphilis,male,38
syphilis,female,17
91302008,male,70
195967001.0,non-binary,1
233604007.0,non-binary,1
24693007.0,female,6
24693007.0,male,4
35489007.0,non-binary,20
91302008,female,84
129103003.0,male,4
129103003.0,female,18
62315008.0,male,39
62315008.0,female,39
23502006.0,female,3
57182000.0,male,5
11381005.0,female,21
23502006.0,male,5
200936003.0,non-binary,3
14669001.0,female,4
68566005.0,male,10
ulcerative colitis,male,3
ulcerative colitis,female,12
709044004.0,female,34
32914008.0,female,3
61462000.0,non-binary,4
18718003.0,male,1
18718003.0,female,1
56925008.0,female,3
menstruation,male,11
29384001.0,female,2
tuberculoses,non-binary,3
34840004.0,male,2
34840004.0,female,2
54150009.0,female,6
161712005.0,non-binary,1
hepatitis b,non-binary,1
76376003.0,female,1
crohn’s disease,female,2
73211009.0,non-binary,5
6471006.0,non-binary,15
709044004.0,non-binary,1
37340000.0,male,2
11381005.0,male,15
hepatitis b,female,17
15188001.0,female,12
75694006.0,male,5
3545003.0,male,4
43116000.0,female,9
63102001.0,non-binary,1
49601007.0,non-binary,5
3716002.0,female,4
endocarditis,male,4
endocarditis,female,3
52448006.0,non-binary,2
32914008.0,male,2
syphilis,non-binary,2
40930008.0,female,3
14669001.0,male,4
75694006.0,female,3
57182000.0,female,4
7973008.0,male,1
50829006.0,non-binary,2
43116000.0,male,5
69322001.0,non-binary,1
57406009.0,male,1
57406009.0,female,1
32798002.0,non-binary,1
34486009.0,female,2
6142004.0,non-binary,7
62315008.0,non-binary,1
15188001.0,non-binary,2
36971009.0,male,3
36971009.0,female,1
39400004.0,male,2
takotsubo cardiomyopathy,male,1
takotsubo cardiomyopathy,female,1
3716002.0,male,1
sarcoidoses,male,1
698247007.0,non-binary,1
69896004.0,non-binary,1
3545003.0,female,2
53741008.0,non-binary,1
10743008.0,non-binary,2
22298006.0,non-binary,3
crohn’s disease,male,1
34486009.0,male,1
24700007.0,non-binary,1
26929004.0,non-binary,1
