,,0
22298006.0,atorvastatin,5
44054006.0,atorvastatin,3
73211009.0,atorvastatin,10
covid-19,vaccines,1135
tuberculoses,vaccines,35
40733004.0,vaccines,697
161712005.0,insulin,7
43116000.0,insulin,4
44054006.0,insulin,128
73211009.0,insulin,532
195967001.0,insulin,19
6142004.0,vaccines,165
35489007.0,vaccines,25
3723001.0,adalimumab,6
3723001.0,infliximab,6
3723001.0,etanercept,9
40733004.0,adalimumab,2
40733004.0,infliximab,4
40733004.0,etanercept,3
62315008.0,ibuprofen,3
62315008.0,adalimumab,1
62315008.0,infliximab,1
62315008.0,etanercept,1
69896004.0,adalimumab,6
69896004.0,infliximab,7
69896004.0,etanercept,9
6471006.0,nicotine,3
35489007.0,nicotine,16
74732009.0,nicotine,6
233604007.0,vaccines,71
covid-19,fluticasone propionate,2
covid-19,ibuprofen,20
24700007.0,insulin,9
40733004.0,insulin,47
69322001.0,oxycodone,1
49601007.0,melatonin,4
73211009.0,melatonin,1
49601007.0,aspirin,31
60862001.0,melatonin,1
ulcerative colitis,adalimumab,1
ulcerative colitis,infliximab,1
61462000.0,vaccines,54
74732009.0,vaccines,42
24700007.0,fingolimod,2
32798002.0,insulin,8
49049000.0,insulin,19
40733004.0,valsartan,3
40733004.0,aspirin,15
73211009.0,valsartan,4
73211009.0,aspirin,30
covid-19,insulin,19
21134002.0,insulin,9
49601007.0,insulin,75
covid-19,buprenorphine,4
covid-19,suboxone,2
6471006.0,buprenorphine,1
6471006.0,suboxone,2
46635009.0,insulin,21
57182000.0,insulin,10
hypertension,acetaminophen,8
6471006.0,acetaminophen,1
396275006.0,acetaminophen,5
22298006.0,acetaminophen,4
35489007.0,acetaminophen,4
40733004.0,acetaminophen,9
49601007.0,acetaminophen,3
698247007.0,acetaminophen,2
hypertension,insulin,72
6142004.0,insulin,5
35489007.0,insulin,32
74732009.0,insulin,10
hypertension,vaccines,14
11381005.0,vaccines,1
49601007.0,vaccines,17
73211009.0,vaccines,37
21134002.0,liraglutide,1
396275006.0,liraglutide,1
44054006.0,aspirin,1
73211009.0,warfarin,22
covid-19,atazanavir,7
covid-19,oseltamivir,18
covid-19,darunavir,7
covid-19,raltegravir,1
22298006.0,aspirin,21
hypertension,aspirin,33
22298006.0,insulin,32
32798002.0,aspirin,1
49049000.0,aspirin,1
73211009.0,nicotine,14
29384001.0,ibuprofen,1
29384001.0,nexium,2
698247007.0,imatinib,1
35489007.0,oxycodone,8
22298006.0,celecoxib,2
35489007.0,duloxetine,9
3723001.0,acetaminophen,2
21134002.0,acetaminophen,1
10743008.0,insulin,4
63102001.0,insulin,1
covid-19,melatonin,5
covid-19,sitagliptin,3
covid-19,dabigatran,3
covid-19,rivaroxaban,1
covid-19,telaprevir,3
62315008.0,melatonin,1
73211009.0,oxycontin,2
15188001.0,vaccines,1
44054006.0,aripiprazole,1
44054006.0,quetiapine,1
44054006.0,vaccines,1
73211009.0,aripiprazole,2
73211009.0,quetiapine,1
hepatitis b,vaccines,22
hypertension,metoprolol,7
22298006.0,metoprolol,3
32398004.0,acetaminophen,2
32398004.0,heparin,1
32398004.0,insulin,2
40733004.0,heparin,7
49601007.0,heparin,11
73211009.0,acetaminophen,6
73211009.0,heparin,21
73211009.0,fentanyl,5
6142004.0,symbicort,1
91302008,insulin,18
709044004.0,insulin,16
233604007.0,insulin,7
hypertension,esomeprazole,2
35489007.0,esomeprazole,2
40733004.0,esomeprazole,2
49601007.0,esomeprazole,1
53741008.0,esomeprazole,1
62315008.0,esomeprazole,1
ulcerative colitis,insulin,4
3723001.0,insulin,17
13746004.0,insulin,4
53741008.0,insulin,11
69896004.0,insulin,10
200936003.0,insulin,6
covid-19,imatinib,4
52448006.0,nicotine,5
74732009.0,hydrocortisone cream,1
3723001.0,rituximab,5
3723001.0,abatacept,4
69896004.0,rituximab,5
69896004.0,abatacept,4
hypertension,nicotine,12
22298006.0,nicotine,4
24693007.0,janumet,1
24693007.0,lipitor,2
24693007.0,nicotine,2
24693007.0,insulin,4
35489007.0,viagra,3
40733004.0,viagra,2
40733004.0,janumet,1
40733004.0,nicotine,4
40733004.0,lipitor,2
44054006.0,janumet,2
73211009.0,janumet,2
195967001.0,viagra,1
698247007.0,viagra,1
698247007.0,insulin,22
hiv/aids,vaccines,29
covid-19,sildenafil,1
covid-19,rituximab,3
covid-19,celecoxib,3
covid-19,aspirin,8
covid-19,rosuvastatin,1
covid-19,atorvastatin,1
hypertension,rosuvastatin,2
hypertension,atorvastatin,9
3723001.0,sildenafil,1
32398004.0,celecoxib,1
56925008.0,sildenafil,7
56925008.0,rituximab,1
69896004.0,sildenafil,1
195967001.0,vaccines,11
233604007.0,ibuprofen,3
233604007.0,aspirin,3
233604007.0,celecoxib,1
161712005.0,ibuprofen,2
161712005.0,aspirin,1
21134002.0,nicotine,3
52448006.0,insulin,19
61462000.0,insulin,9
129103003.0,insulin,2
74732009.0,fentanyl,5
62315008.0,nicotine,2
covid-19,fentanyl,8
69322001.0,vaccines,1
3545003.0,fenofibrate,1
49601007.0,fenofibrate,1
53741008.0,fenofibrate,1
73211009.0,fenofibrate,3
698247007.0,fenofibrate,1
49601007.0,atorvastatin,6
6471006.0,insulin,3
6142004.0,tamiflu,8
6142004.0,oseltamivir,9
73211009.0,tamiflu,2
73211009.0,oseltamivir,1
74732009.0,quetiapine,2
73211009.0,nexium,2
covid-19,doxycycline,3
40733004.0,doxycycline,8
hypertension,warfarin,13
hypertension,heparin,14
22298006.0,warfarin,10
22298006.0,heparin,9
40733004.0,warfarin,4
44054006.0,warfarin,3
44054006.0,heparin,5
49601007.0,warfarin,8
709044004.0,warfarin,1
709044004.0,heparin,1
195967001.0,warfarin,4
195967001.0,heparin,3
698247007.0,warfarin,21
698247007.0,heparin,9
195967001.0,budesonide,8
91302008,vaccines,5
hypertension,ibuprofen,9
22298006.0,capecitabine,1
62315008.0,capecitabine,1
73211009.0,ibuprofen,8
73211009.0,metoprolol,5
698247007.0,capecitabine,1
44054006.0,insulin glargine,4
73211009.0,insulin glargine,8
hypertension,paracetamol,3
3723001.0,paracetamol,2
396275006.0,paracetamol,2
49601007.0,paracetamol,2
62315008.0,paracetamol,1
69896004.0,paracetamol,2
73211009.0,paracetamol,3
26929004.0,insulin,14
24700007.0,vaccines,3
21134002.0,vaccines,6
75694006.0,insulin,4
hypertension,valsartan,6
