,,0
40733004.0,male,2412
24700007.0,female,5147
22298006.0,female,133
44054006.0,female,51
73211009.0,female,809
hypertension,male,189
hypertension,female,194
covid-19,male,2003
tuberculoses,male,132
covid-19,female,913
40733004.0,female,812
69896004.0,female,217
6142004.0,male,208
21134002.0,male,227
21134002.0,female,257
6471006.0,male,262
6471006.0,female,160
10743008.0,male,185
35489007.0,male,681
698247007.0,female,112
49049000.0,male,171
200936003.0,male,42
35489007.0,female,598
74732009.0,male,226
161712005.0,female,99
49601007.0,male,269
73211009.0,male,489
195967001.0,male,64
6142004.0,female,102
49601007.0,female,229
26929004.0,male,252
32798002.0,male,67
52448006.0,male,368
61462000.0,male,113
74732009.0,female,240
69896004.0,male,98
74732009.0,non-binary,19
68566005.0,female,9
50829006.0,female,69
233604007.0,male,126
24700007.0,male,236
69322001.0,male,13
69322001.0,female,12
39621005.0,male,3
39621005.0,female,2
56317004.0,male,4
56317004.0,female,4
233604007.0,female,123
698247007.0,male,120
tuberculoses,female,103
52448006.0,female,272
26929004.0,female,163
195967001.0,female,74
32398004.0,male,15
86044005.0,male,69
32398004.0,female,13
13746004.0,male,17
13746004.0,female,19
49049000.0,female,121
32798002.0,female,68
63102001.0,male,44
63102001.0,female,35
22298006.0,male,191
61462000.0,female,92
44054006.0,male,36
46635009.0,male,3
46635009.0,female,5
396275006.0,female,22
59927004.0,female,16
hiv/aids,male,86
hiv/aids,female,69
menstruation,female,23
53741008.0,male,34
53741008.0,female,29
hiv/aids,non-binary,11
covid-19,non-binary,25
396275006.0,male,40
3723001.0,female,46
50829006.0,male,113
10743008.0,female,69
56925008.0,male,6
3723001.0,male,36
40733004.0,non-binary,31
29384001.0,male,7
37340000.0,female,4
86044005.0,female,37
200936003.0,female,37
49049000.0,non-binary,2
21134002.0,non-binary,38
161712005.0,male,29
syphilis,male,33
syphilis,female,10
195967001.0,non-binary,1
233604007.0,non-binary,1
24693007.0,female,2
24693007.0,male,1
60862001.0,male,5
60862001.0,female,2
91302008,male,46
129103003.0,male,4
129103003.0,female,17
23502006.0,female,3
62315008.0,male,29
91302008,female,55
57182000.0,male,3
14669001.0,female,2
68566005.0,male,5
ulcerative colitis,male,2
ulcerative colitis,female,9
709044004.0,female,22
11381005.0,female,15
32914008.0,female,2
18718003.0,male,1
18718003.0,female,1
hepatitis b,male,12
56925008.0,female,2
709044004.0,male,18
tuberculoses,non-binary,2
34840004.0,male,1
34840004.0,female,1
54150009.0,male,2
54150009.0,female,3
23502006.0,male,3
161712005.0,non-binary,1
hepatitis b,non-binary,1
76376003.0,female,1
crohn’s disease,female,1
73211009.0,non-binary,4
6471006.0,non-binary,14
35489007.0,non-binary,11
709044004.0,non-binary,1
62315008.0,female,30
59927004.0,male,12
37340000.0,male,1
11381005.0,male,12
hepatitis b,female,13
15188001.0,male,9
menstruation,male,7
3545003.0,male,3
43116000.0,female,8
15188001.0,female,6
3716002.0,female,2
endocarditis,female,3
32914008.0,male,1
syphilis,non-binary,1
14669001.0,male,4
29384001.0,female,1
75694006.0,male,4
75694006.0,female,2
57182000.0,female,3
7973008.0,male,1
43116000.0,male,3
69322001.0,non-binary,1
32798002.0,non-binary,1
34486009.0,female,1
6142004.0,non-binary,4
15188001.0,non-binary,2
36971009.0,male,3
36971009.0,female,1
50829006.0,non-binary,1
chagas disease,male,2
takotsubo cardiomyopathy,male,1
takotsubo cardiomyopathy,female,1
200936003.0,non-binary,1
3716002.0,male,1
endocarditis,male,1
sarcoidoses,male,1
49601007.0,non-binary,1
69896004.0,non-binary,1
3545003.0,female,2
40930008.0,female,2
22298006.0,non-binary,2
24700007.0,non-binary,1
10743008.0,non-binary,1
61462000.0,non-binary,3
