,,0
73211009.0,insulin,232
62315008.0,aspirin,7
161712005.0,ibuprofen,4
76376003.0,ibuprofen,1
44054006.0,insulin,42
hiv/aids,vaccines,5
3723001.0,aspirin,40
195967001.0,aspirin,56
tuberculoses,insulin,5
13746004.0,eszopiclone,1
74732009.0,eszopiclone,1
200936003.0,warfarin,2
61462000.0,vaccines,26
73211009.0,vaccines,15
49601007.0,insulin,27
195967001.0,budesonide,3
tuberculoses,vaccines,10
40733004.0,vaccines,91
161712005.0,vaccines,2
74732009.0,vaccines,6
233604007.0,vaccines,19
hypertension,acetaminophen,36
22298006.0,aspirin,22
233604007.0,crestor,1
233604007.0,lipitor,1
61462000.0,doxycycline,5
62315008.0,doxycycline,3
59927004.0,filgrastim,1
6471006.0,vaccines,3
35489007.0,vaccines,3
covid-19,vaccines,20
21134002.0,insulin,11
57182000.0,insulin,5
62315008.0,castor oil,2
30811009.0,aspirin,7
32398004.0,aspirin,13
40733004.0,tamiflu,3
26929004.0,aspirin,2
26929004.0,insulin,6
35489007.0,insulin,16
35489007.0,aspirin,17
52448006.0,aspirin,3
52448006.0,insulin,13
73211009.0,aspirin,26
hepatitis b,insulin,3
hepatitis b,vaccines,17
74732009.0,aspirin,4
74732009.0,insulin,4
233604007.0,insulin,2
22298006.0,insulin,14
10743008.0,insulin,2
40733004.0,insulin,14
40733004.0,truvada,4
195967001.0,triamcinolone,2
60862001.0,aspirin,1
22298006.0,warfarin,9
161712005.0,insulin,3
74732009.0,fingolimod,1
74732009.0,glatiramer,1
91302008,metoprolol,1
40733004.0,ibuprofen,29
40733004.0,aspirin,25
6142004.0,acetaminophen,39
32398004.0,acetaminophen,12
32398004.0,warfarin,29
32798002.0,acetaminophen,19
35489007.0,acetaminophen,39
49049000.0,acetaminophen,32
49601007.0,acetaminophen,36
73211009.0,acetaminophen,27
73211009.0,warfarin,31
195967001.0,acetaminophen,15
195967001.0,warfarin,30
35489007.0,dabigatran,1
35489007.0,fentanyl,4
59927004.0,trastuzumab,1
698247007.0,trastuzumab,1
61462000.0,paracetamol,5
62315008.0,paracetamol,9
11381005.0,ibuprofen,5
