,,0
22298006.0,female,1675
24700007.0,female,26004
6142004.0,male,150
22298006.0,male,1882
73211009.0,male,304
73211009.0,non-binary,4
40733004.0,male,462
40733004.0,female,457
6471006.0,male,855
26929004.0,female,60
52448006.0,female,120
tuberculoses,female,670
21134002.0,male,344
6471006.0,female,558
21134002.0,female,337
161712005.0,female,70
76376003.0,female,2
15188001.0,male,49
15188001.0,female,45
35489007.0,female,1325
74732009.0,female,319
24693007.0,male,9
26929004.0,male,68
44054006.0,female,48
52448006.0,male,123
73211009.0,female,352
709044004.0,female,20
6142004.0,female,112
hypertension,male,103
hypertension,female,145
35489007.0,male,925
74732009.0,male,273
tuberculoses,male,327
covid-19,male,141
covid-19,female,97
233604007.0,male,84
233604007.0,female,65
195967001.0,male,86
195967001.0,female,109
24700007.0,male,343
62315008.0,male,97
62315008.0,female,105
40733004.0,non-binary,20
10743008.0,female,47
10743008.0,male,23
69322001.0,male,80
hiv/aids,female,86
49601007.0,female,122
69896004.0,female,114
57406009.0,male,12
61462000.0,male,101
61462000.0,female,124
hiv/aids,male,67
29384001.0,male,26
69322001.0,non-binary,6
56925008.0,male,21
56925008.0,female,18
29384001.0,female,20
709044004.0,male,13
tuberculoses,non-binary,3
161712005.0,male,34
161712005.0,non-binary,1
74732009.0,non-binary,11
50829006.0,male,16
698247007.0,male,84
698247007.0,female,77
syphilis,female,40
63102001.0,male,6
63102001.0,female,7
32798002.0,male,23
32798002.0,female,17
49049000.0,male,74
49049000.0,female,54
32398004.0,male,26
32398004.0,female,10
3723001.0,male,82
32914008.0,male,1
32914008.0,female,3
69896004.0,male,52
59927004.0,female,33
49601007.0,male,134
44054006.0,male,25
54150009.0,male,4
75694006.0,female,27
75694006.0,male,17
69322001.0,female,39
53741008.0,male,37
3723001.0,female,75
43116000.0,female,20
86044005.0,male,79
hiv/aids,non-binary,10
endocarditis,male,7
endocarditis,non-binary,1
3723001.0,non-binary,1
91302008,male,29
6471006.0,non-binary,37
200936003.0,male,28
200936003.0,female,38
11381005.0,male,27
11381005.0,female,32
43116000.0,male,18
menstruation,male,20
menstruation,female,41
15188001.0,non-binary,3
91302008,female,41
396275006.0,male,15
396275006.0,female,9
53741008.0,female,22
60862001.0,male,7
60862001.0,female,9
syphilis,male,33
46635009.0,male,3
hepatitis b,male,16
39400004.0,female,1
57182000.0,female,13
13746004.0,male,16
13746004.0,female,24
56317004.0,male,8
21134002.0,non-binary,16
35489007.0,non-binary,27
86044005.0,female,14
26929004.0,non-binary,2
52448006.0,non-binary,5
50829006.0,female,8
18718003.0,female,8
29384001.0,non-binary,5
39621005.0,female,8
hepatitis b,female,23
3716002.0,male,4
3716002.0,female,6
3716002.0,non-binary,3
18718003.0,male,5
18718003.0,non-binary,3
59927004.0,male,32
6142004.0,non-binary,2
56317004.0,female,8
39621005.0,male,15
61462000.0,non-binary,4
23502006.0,male,3
23502006.0,female,3
23919004.0,female,3
57406009.0,female,3
61599003.0,female,1
68566005.0,female,16
129103003.0,female,13
endocarditis,female,3
129103003.0,male,5
18193002.0,male,16
52702003.0,male,7
52702003.0,female,7
233604007.0,non-binary,3
43116000.0,non-binary,1
18193002.0,female,9
57182000.0,male,10
syphilis,non-binary,2
menstruation,non-binary,2
24693007.0,female,6
ulcerative colitis,male,3
37340000.0,male,1
8357008.0,male,3
8357008.0,female,5
46635009.0,female,2
62315008.0,non-binary,1
ulcerative colitis,female,4
3545003.0,male,3
36971009.0,female,4
chagas disease,male,5
34840004.0,female,2
68566005.0,male,6
14669001.0,male,2
14669001.0,female,2
34486009.0,female,3
31384009.0,female,3
chagas disease,female,5
18193002.0,non-binary,7
195967001.0,non-binary,2
34486009.0,male,4
crohn’s disease,female,5
crohn’s disease,male,3
61599003.0,male,1
54150009.0,female,6
3545003.0,female,2
34840004.0,male,4
24700007.0,non-binary,1
698247007.0,non-binary,1
49601007.0,non-binary,1
22298006.0,non-binary,2
sarcoidoses,male,2
24693007.0,non-binary,1
75694006.0,non-binary,1
10743008.0,non-binary,1
covid-19,non-binary,2
23919004.0,male,1
