Disease,Demographics,Counts
10743008.0,female,14739
10743008.0,male,13358
10743008.0,non-binary,86
11381005.0,female,39955
11381005.0,male,35695
11381005.0,non-binary,583
11654001.0,female,198
11654001.0,male,336
11654001.0,non-binary,6
129103003.0,female,22624
129103003.0,male,7642
129103003.0,non-binary,111
13746004.0,female,29264
13746004.0,male,31020
13746004.0,non-binary,611
14669001.0,female,511
14669001.0,male,692
14669001.0,non-binary,1
15188001.0,female,16720
15188001.0,male,22314
15188001.0,non-binary,421
161712005.0,female,99844
161712005.0,male,41440
161712005.0,non-binary,882
18193002.0,female,2527
18193002.0,male,3732
18193002.0,non-binary,69
18718003.0,female,3355
18718003.0,male,3162
18718003.0,non-binary,39
195967001.0,female,85749
195967001.0,male,87890
195967001.0,non-binary,624
200936003.0,female,37052
200936003.0,male,25934
200936003.0,non-binary,221
21134002.0,female,256165
21134002.0,male,312764
21134002.0,non-binary,8443
22298006.0,female,164102
22298006.0,male,236296
22298006.0,non-binary,2288
233604007.0,female,85683
233604007.0,male,108182
233604007.0,non-binary,1599
23502006.0,female,8927
23502006.0,male,8933
23502006.0,non-binary,86
23919004.0,female,263
23919004.0,male,338
23919004.0,non-binary,4
24693007.0,female,16893
24693007.0,male,12026
24693007.0,non-binary,126
24700007.0,female,115073
24700007.0,male,38628
24700007.0,non-binary,381
25458004.0,female,170
25458004.0,male,238
26889001.0,female,287
26889001.0,male,366
26929004.0,female,50407
26929004.0,male,54649
26929004.0,non-binary,553
29384001.0,female,7085
29384001.0,male,8213
29384001.0,non-binary,29
30811009.0,female,113
30811009.0,male,148
30811009.0,non-binary,2
31384009.0,female,1527
31384009.0,male,1274
31384009.0,non-binary,6
32398004.0,female,16407
32398004.0,male,20341
32398004.0,non-binary,142
32798002.0,female,18198
32798002.0,male,22679
32798002.0,non-binary,154
32914008.0,female,2494
32914008.0,male,2185
32914008.0,non-binary,12
34486009.0,female,6056
34486009.0,male,4208
34486009.0,non-binary,14
34840004.0,female,5294
34840004.0,male,11077
34840004.0,non-binary,37
3545003.0,female,2755
3545003.0,male,2541
35489007.0,female,586677
35489007.0,male,718264
35489007.0,non-binary,19105
36971009.0,female,3502
36971009.0,male,3982
36971009.0,non-binary,23
3716002.0,female,6047
3716002.0,male,4593
3716002.0,non-binary,23
3723001.0,female,93293
3723001.0,male,91892
3723001.0,non-binary,587
37340000.0,female,1465
37340000.0,male,2239
37340000.0,non-binary,10
39400004.0,female,4495
39400004.0,male,6323
39400004.0,non-binary,17
39621005.0,female,9512
39621005.0,male,9274
39621005.0,non-binary,33
396275006.0,female,23276
396275006.0,male,22841
396275006.0,non-binary,52
40733004.0,female,414500
40733004.0,male,433776
40733004.0,non-binary,12888
40930008.0,female,5896
40930008.0,male,4026
40930008.0,non-binary,21
4308002.0,female,18
4308002.0,male,29
43116000.0,female,16210
43116000.0,male,14703
43116000.0,non-binary,110
44054006.0,female,54940
44054006.0,male,51078
44054006.0,non-binary,113
46635009.0,female,2828
46635009.0,male,2691
46635009.0,non-binary,12
49049000.0,female,47188
49049000.0,male,64370
49049000.0,non-binary,776
49601007.0,female,177691
49601007.0,male,192816
49601007.0,non-binary,946
50829006.0,female,2738
50829006.0,male,3178
50829006.0,non-binary,15
52448006.0,female,116070
52448006.0,male,127632
52448006.0,non-binary,1502
52702003.0,female,5740
52702003.0,male,5002
52702003.0,non-binary,76
53741008.0,female,24256
53741008.0,male,31722
53741008.0,non-binary,27
54150009.0,female,4013
54150009.0,male,4366
54150009.0,non-binary,6
56317004.0,female,11124
56317004.0,male,10757
56317004.0,non-binary,62
56925008.0,female,24098
56925008.0,male,41445
56925008.0,non-binary,953
57182000.0,female,14996
57182000.0,male,18856
57182000.0,non-binary,95
57406009.0,female,6038
57406009.0,male,6481
57406009.0,non-binary,24
59927004.0,female,36529
59927004.0,male,44066
59927004.0,non-binary,305
60862001.0,female,7941
60862001.0,male,10562
60862001.0,non-binary,53
6142004.0,female,97893
6142004.0,male,125578
6142004.0,non-binary,1377
61462000.0,female,52527
61462000.0,male,61567
61462000.0,non-binary,721
61599003.0,female,1336
61599003.0,male,1770
61599003.0,non-binary,11
62315008.0,female,73388
62315008.0,male,76046
62315008.0,non-binary,888
63102001.0,female,4694
63102001.0,male,5503
63102001.0,non-binary,38
6471006.0,female,418004
6471006.0,male,615434
6471006.0,non-binary,27289
68566005.0,female,13592
68566005.0,male,10644
68566005.0,non-binary,37
69322001.0,female,31915
69322001.0,male,43870
69322001.0,non-binary,729
698247007.0,female,32814
698247007.0,male,37968
698247007.0,non-binary,58
69896004.0,female,34964
69896004.0,male,26375
69896004.0,non-binary,164
709044004.0,female,19751
709044004.0,male,22893
709044004.0,non-binary,30
73211009.0,female,309796
73211009.0,male,313356
73211009.0,non-binary,1598
73442001.0,female,114
73442001.0,male,93
74732009.0,female,348772
74732009.0,male,411042
74732009.0,non-binary,18064
75694006.0,female,11408
75694006.0,male,14412
75694006.0,non-binary,60
76376003.0,female,2326
76376003.0,male,546
76376003.0,non-binary,3
7973008.0,female,348
7973008.0,male,275
8357008.0,female,3236
8357008.0,male,3674
8357008.0,non-binary,124
86044005.0,female,6453
86044005.0,male,8966
86044005.0,non-binary,74
91302008,female,35221
91302008,male,37561
91302008,non-binary,136
9829001.0,female,389
9829001.0,male,548
9829001.0,non-binary,5
chagas disease,female,2075
chagas disease,male,1934
chagas disease,non-binary,8
covid-19,female,74512
covid-19,male,132799
covid-19,non-binary,933
crohn’s disease,female,5670
crohn’s disease,male,5817
crohn’s disease,non-binary,41
endocarditis,female,6028
endocarditis,male,8253
endocarditis,non-binary,25
hepatitis b,female,25429
hepatitis b,male,26820
hepatitis b,non-binary,1158
hiv/aids,female,41088
hiv/aids,male,43077
hiv/aids,non-binary,6811
hypertension,female,194088
hypertension,male,196441
hypertension,non-binary,579
menstruation,female,39907
menstruation,male,19252
menstruation,non-binary,785
sarcoidoses,female,915
sarcoidoses,male,875
sarcoidoses,non-binary,3
syphilis,female,24112
syphilis,male,30175
syphilis,non-binary,2673
takotsubo cardiomyopathy,female,2015
takotsubo cardiomyopathy,male,1007
takotsubo cardiomyopathy,non-binary,10
tuberculoses,female,64821
tuberculoses,male,82339
tuberculoses,non-binary,1095
ulcerative colitis,female,8574
ulcerative colitis,male,8720
ulcerative colitis,non-binary,42
