,Disease,male,female,non-binary
0,hiv/aids,24056454,19368301,2117881
1,covid-19,12914337,8068527,63476
2,takotsubo cardiomyopathy,810545,942580,19506
3,tuberculoses,137089410,75048642,1059944
4,endocarditis,7208294,6471597,211289
5,syphilis,94002016,50183070,1324092
6,hypertension,86189462,86731213,1461951
7,sarcoidoses,799289,773098,6306
8,hepatitis b,13072942,10458694,360256
9,ulcerative colitis,5944423,6397027,66213
10,crohn’s disease,2681025,2502519,46492
11,chagas disease,1295996,965764,28679
12,3545003.0,621445,756550,8892
13,3716002.0,7086520,5289653,50430
14,3723001.0,104104922,85355420,682550
15,4308002.0,14739,10304,54
16,6142004.0,192458945,135949098,549481
17,6471006.0,1651372183,855865809,10759634
18,7973008.0,106866,74823,242
19,8357008.0,1467985,1576713,44236
20,menstruation,46338374,43772360,766743
21,9829001.0,787193,365679,4408
22,10743008.0,16723632,16182338,202557
23,11381005.0,61215294,50053173,330174
24,11654001.0,175578,172548,1030
25,13746004.0,30167035,24961370,497314
26,34486009.0,3777564,4259277,30535
27,40930008.0,1602246,2583812,8399
28,14669001.0,338843,356578,2212
29,15188001.0,79909781,40636832,435808
30,18193002.0,19961000,8742321,79844
31,18718003.0,2846663,2747283,57258
32,21134002.0,267744736,181714947,6481684
33,396275006.0,8846031,9013355,84737
34,22298006.0,328117518,217689772,1278564
35,23502006.0,7334679,7085990,113604
36,23919004.0,460101,469057,4395
37,24693007.0,7161483,9804246,86598
38,24700007.0,23076550,28576778,244561
39,25458004.0,433837,337763,1928
40,26889001.0,123105,121410,496
41,26929004.0,81659560,69986184,928838
42,29384001.0,9015798,7588300,146601
43,30811009.0,377968,164346,522
44,31384009.0,997656,1183864,16369
45,32398004.0,41732715,27001061,158724
46,32798002.0,22226497,16256646,416295
47,32914008.0,1782115,1812574,51227
48,34840004.0,3819695,2592824,10295
49,35489007.0,1980849185,1202326718,16384195
50,36971009.0,2504498,1819404,6499
51,37340000.0,939498,582429,7346
52,39400004.0,2005289,1865506,17395
53,39621005.0,10125699,8528676,75762
54,40733004.0,636100324,449234460,7754324
55,91302008,26268433,21664007,228402
56,161712005.0,43818889,69846841,746775
57,43116000.0,27904927,22091666,123762
58,44054006.0,15221473,17824489,207636
59,46635009.0,792230,618373,9206
60,49049000.0,94814004,50093232,688000
61,49601007.0,108203530,90558470,2270453
62,50829006.0,2640601,1991226,52273
63,52448006.0,214198992,168639982,2649095
64,52702003.0,4221976,4354023,68846
65,53741008.0,7766628,7419097,124164
66,54150009.0,1804287,1894369,27231
67,56317004.0,8060383,7968760,81050
68,56925008.0,19663900,17465622,813016
69,57182000.0,11631895,9192426,74528
70,57406009.0,3285360,3298734,24384
71,59927004.0,29921551,23749875,350161
72,60862001.0,14630275,11870901,90597
73,61462000.0,159137752,75005668,890204
74,61599003.0,3351713,2163861,21846
75,62315008.0,109517037,79934228,994388
76,63102001.0,2817585,2152984,11227
77,67362008.0,2,0,0
78,68566005.0,3926450,4770520,52725
79,69322001.0,77856837,44992746,841408
80,69896004.0,20328383,17250417,247937
81,73211009.0,164684056,158744940,2212153
82,73442001.0,31378,34342,858
83,74732009.0,377886882,262465764,11733091
84,75694006.0,11110606,11068206,154229
85,76376003.0,209466,621619,2679
86,86044005.0,5455371,3108667,39073
87,709044004.0,4859234,5555802,109128
88,129103003.0,5200374,12455469,78426
89,195967001.0,134958089,95818492,891791
90,200936003.0,227281132,133508311,299880
91,233604007.0,171717765,110588982,1117476
92,698247007.0,21486186,15964622,199113
