,,0
35489007.0,white/caucasian,148
35489007.0,black/african american,170
6471006.0,white/caucasian,78
3723001.0,white/caucasian,14
tuberculoses,black/african american,382
40733004.0,white/caucasian,96
40733004.0,black/african american,103
tuberculoses,white/caucasian,294
698247007.0,black/african american,190
21134002.0,white/caucasian,56
covid-19,white/caucasian,208
covid-19,black/african american,161
7973008.0,black/african american,2
698247007.0,white/caucasian,29
698247007.0,hispanic/latino,14
24700007.0,black/african american,152
21134002.0,black/african american,52
24700007.0,white/caucasian,118
22298006.0,black/african american,79
69896004.0,white/caucasian,27
69896004.0,black/african american,109
195967001.0,white/caucasian,21
26929004.0,white/caucasian,9
52448006.0,white/caucasian,22
34840004.0,black/african american,1
60862001.0,white/caucasian,3
59927004.0,hispanic/latino,1
6471006.0,black/african american,126
195967001.0,asian,5
22298006.0,white/caucasian,52
13746004.0,white/caucasian,2
13746004.0,black/african american,2
233604007.0,white/caucasian,18
73211009.0,native american/indigenous,3
21134002.0,asian,9
35489007.0,asian,7
40733004.0,hispanic/latino,15
hepatitis b,black/african american,4
61462000.0,black/african american,17
35489007.0,hispanic/latino,21
233604007.0,hispanic/latino,5
40733004.0,pacific islander,1
6142004.0,black/african american,35
74732009.0,white/caucasian,50
86044005.0,white/caucasian,8
52448006.0,hispanic/latino,12
40733004.0,native american/indigenous,3
200936003.0,hispanic/latino,9
74732009.0,hispanic/latino,18
61462000.0,hispanic/latino,3
63102001.0,hispanic/latino,1
syphilis,native american/indigenous,1
62315008.0,white/caucasian,15
62315008.0,hispanic/latino,5
6142004.0,hispanic/latino,6
6471006.0,hispanic/latino,21
73211009.0,hispanic/latino,22
69322001.0,native american/indigenous,1
195967001.0,hispanic/latino,7
11381005.0,hispanic/latino,6
hiv/aids,white/caucasian,12
74732009.0,black/african american,42
11381005.0,white/caucasian,14
43116000.0,white/caucasian,4
syphilis,white/caucasian,2
syphilis,black/african american,6
61462000.0,white/caucasian,19
21134002.0,hispanic/latino,16
6142004.0,white/caucasian,30
49049000.0,hispanic/latino,2
35489007.0,native american/indigenous,2
161712005.0,white/caucasian,1
