,,0
3723001.0,female,70
22298006.0,male,481
tuberculoses,male,570
35489007.0,male,1284
35489007.0,female,828
11381005.0,male,56
11381005.0,female,37
49049000.0,male,126
40733004.0,male,903
63102001.0,male,21
63102001.0,female,7
49049000.0,female,92
tuberculoses,female,448
69896004.0,male,89
26929004.0,male,95
52448006.0,male,181
24700007.0,male,456
24700007.0,female,7917
covid-19,male,476
covid-19,female,257
21134002.0,female,235
52448006.0,female,138
73211009.0,female,327
40733004.0,female,464
32798002.0,male,15
21134002.0,male,359
74732009.0,female,296
6142004.0,male,299
698247007.0,male,110
10743008.0,male,90
698247007.0,female,85
6471006.0,male,1563
46635009.0,male,5
6471006.0,female,926
73211009.0,male,462
200936003.0,female,30
74732009.0,male,363
hiv/aids,male,65
32798002.0,female,13
6142004.0,female,200
hypertension,male,170
195967001.0,male,104
22298006.0,female,327
49601007.0,male,128
49601007.0,female,93
32398004.0,male,12
233604007.0,male,103
69896004.0,female,69
60862001.0,male,14
57406009.0,male,5
26929004.0,female,71
hiv/aids,female,35
39621005.0,male,4
34840004.0,male,2
200936003.0,male,46
74732009.0,non-binary,20
61462000.0,female,64
61462000.0,male,92
57182000.0,male,18
57182000.0,female,13
195967001.0,female,92
62315008.0,male,99
62315008.0,female,64
hypertension,female,140
233604007.0,female,71
91302008,male,29
91302008,female,22
50829006.0,female,6
13746004.0,male,29
15188001.0,male,31
15188001.0,female,26
3723001.0,male,75
menstruation,female,31
13746004.0,female,23
396275006.0,male,5
59927004.0,male,18
hepatitis b,male,11
43116000.0,female,10
43116000.0,male,10
161712005.0,male,32
161712005.0,female,48
86044005.0,male,20
ulcerative colitis,male,10
ulcerative colitis,female,8
34840004.0,female,3
8357008.0,female,2
syphilis,male,34
59927004.0,female,14
35489007.0,non-binary,20
covid-19,non-binary,3
69322001.0,male,67
69322001.0,female,42
396275006.0,female,6
3716002.0,male,1
3716002.0,female,1
18193002.0,male,11
18193002.0,female,7
56925008.0,male,11
56925008.0,female,4
56925008.0,non-binary,1
6471006.0,non-binary,9
syphilis,female,17
menstruation,male,23
44054006.0,male,12
44054006.0,female,11
endocarditis,female,2
21134002.0,non-binary,23
23502006.0,male,5
23502006.0,female,4
18193002.0,non-binary,1
6142004.0,non-binary,5
50829006.0,male,23
32914008.0,male,3
32914008.0,female,4
26929004.0,non-binary,1
52448006.0,non-binary,1
syphilis,non-binary,2
40733004.0,non-binary,5
61462000.0,non-binary,2
34486009.0,male,4
56317004.0,male,7
60862001.0,female,5
86044005.0,female,7
hiv/aids,non-binary,2
56317004.0,female,4
57406009.0,female,1
34486009.0,female,4
73211009.0,non-binary,5
62315008.0,non-binary,2
75694006.0,female,2
46635009.0,female,5
tuberculoses,non-binary,1
10743008.0,female,36
10743008.0,non-binary,1
52702003.0,male,2
36971009.0,female,2
22298006.0,non-binary,2
49049000.0,non-binary,1
39400004.0,male,2
709044004.0,male,11
29384001.0,male,6
takotsubo cardiomyopathy,male,2
takotsubo cardiomyopathy,female,2
8357008.0,male,1
8357008.0,non-binary,1
39400004.0,female,1
68566005.0,male,5
91302008,non-binary,1
129103003.0,male,3
129103003.0,female,2
32398004.0,female,4
hepatitis b,female,5
36971009.0,male,1
crohn’s disease,male,2
24693007.0,female,5
24693007.0,male,2
52702003.0,female,1
75694006.0,male,1
53741008.0,male,9
54150009.0,male,3
53741008.0,female,7
39621005.0,female,1
68566005.0,female,3
709044004.0,female,6
18718003.0,male,2
233604007.0,non-binary,1
24700007.0,non-binary,2
54150009.0,female,1
29384001.0,female,5
195967001.0,non-binary,1
40930008.0,male,1
40930008.0,female,1
37340000.0,male,2
13746004.0,non-binary,2
69322001.0,non-binary,1
200936003.0,non-binary,1
crohn’s disease,female,1
endocarditis,male,2
49601007.0,non-binary,1
