,white/caucasian,black/african american,hispanic/latino,asian,native american/indigenous,pacific islander
hiv/aids,3968,5791,1375,857,1011,94
covid-19,348548,251921,57677,73548,43498,6169
takotsubo cardiomyopathy,94,157,4,7,1,0
tuberculoses,35694,34785,6508,4427,16819,1744
endocarditis,992,282,130,43,48,12
syphilis,12681,17670,3331,703,2426,643
hypertension,16035,16466,5438,3062,4020,471
sarcoidoses,153,137,0,4,8,0
hepatitis b,3869,3237,1167,4804,821,920
ulcerative colitis,1726,495,175,206,33,5
crohn’s disease,99,81,19,6,7,1
chagas disease,541,842,946,21,157,1
3545003.0,54,38,7,5,1,0
3716002.0,465,217,56,108,52,8
3723001.0,10941,6675,2188,1098,1205,65
4308002.0,0,0,0,0,0,0
6142004.0,27049,16338,3029,7133,4729,549
6471006.0,145231,181769,23827,20708,44067,1942
7973008.0,25,7,2,1,0,0
8357008.0,37,16,5,10,9,1
menstruation,4864,5471,1523,432,2385,39
9829001.0,219,208,8,25,6,2
10743008.0,1586,758,197,608,121,6
11381005.0,3074,2907,534,241,217,12
11654001.0,20,33,13,3,0,0
13746004.0,4418,4425,845,477,327,46
34486009.0,521,300,60,103,18,2
40930008.0,264,128,42,41,9,1
14669001.0,253,241,37,12,15,2
15188001.0,5871,3100,673,244,1227,50
18193002.0,603,430,330,10,0,2
18718003.0,706,388,52,34,262,2
21134002.0,60250,45464,9366,8989,14166,804
396275006.0,1641,890,240,172,159,15
22298006.0,51598,68303,6823,4017,4959,1252
23502006.0,4527,1264,547,243,233,14
23919004.0,25,28,16,0,0,0
24693007.0,1616,260,451,61,42,2
24700007.0,7982,3743,823,522,494,37
25458004.0,19,13,1,1,0,0
26889001.0,31,11,5,3,6,0
26929004.0,14351,15394,5722,1284,1618,411
29384001.0,492,320,124,83,65,2
30811009.0,2,1,0,0,0,0
31384009.0,63,37,11,3,4,0
32398004.0,3125,2487,624,435,324,58
32798002.0,8073,8489,1479,682,826,139
32914008.0,243,60,65,24,2,0
34840004.0,1278,785,74,93,29,5
35489007.0,191683,179032,54345,24918,38116,16802
36971009.0,187,64,11,5,6,4
37340000.0,560,583,147,61,62,13
39400004.0,455,180,53,62,33,24
39621005.0,1109,659,148,96,171,2
40733004.0,80417,66448,14185,11914,9889,1722
91302008,5086,3618,788,304,406,116
161712005.0,3577,2899,851,574,321,40
43116000.0,1566,1317,148,170,229,4
44054006.0,5623,4653,1920,2770,4518,406
46635009.0,202,58,35,13,312,8
49049000.0,22194,19800,2951,1628,1800,315
49601007.0,26301,22583,7432,6523,11245,987
50829006.0,315,243,71,44,52,6
52448006.0,27172,26313,9376,2542,3080,546
52702003.0,484,321,80,64,50,3
53741008.0,1682,1015,316,496,195,53
54150009.0,275,132,32,85,5,3
56317004.0,1281,1788,63,129,106,3
56925008.0,1725,1175,575,283,106,19
57182000.0,1678,969,362,154,292,42
57406009.0,340,221,22,15,11,2
59927004.0,6422,5030,1109,1553,1389,171
60862001.0,2040,449,241,67,47,12
61462000.0,30915,57486,6143,4886,10666,1377
61599003.0,330,140,41,6,18,3
62315008.0,10050,7332,2371,1107,1886,90
63102001.0,806,420,69,36,397,25
67362008.0,0,0,0,0,0,0
68566005.0,592,385,140,25,38,1
69322001.0,5202,4582,1084,556,1031,86
69896004.0,4030,34132,527,340,241,19
73211009.0,43153,36648,20207,11630,39142,2306
73442001.0,4,2,0,4,0,0
74732009.0,83532,94773,36781,29971,32898,1966
75694006.0,1739,716,153,107,420,10
76376003.0,59,75,14,2,0,0
86044005.0,1663,2238,174,320,205,55
709044004.0,2294,14782,281,255,1280,13
129103003.0,984,1832,570,86,85,5
195967001.0,12974,12000,5293,2445,2342,512
200936003.0,12286,9831,3009,1576,1281,187
233604007.0,29769,34031,4410,2481,4731,988
698247007.0,5323,1990,482,393,507,44
