,,0
covid-19,vaccines,1896
40733004.0,doxycycline,72
18718003.0,lidocaine,1
hepatitis b,vaccines,171
40733004.0,vaccines,584
73211009.0,insulin,1372
49601007.0,nicotine,33
61462000.0,nicotine,3
3723001.0,aspirin,30
6471006.0,ibuprofen,3
6471006.0,aspirin,32
13746004.0,aspirin,2
396275006.0,aspirin,7
22298006.0,aspirin,67
29384001.0,ibuprofen,5
29384001.0,aspirin,7
29384001.0,warfarin,3
35489007.0,aspirin,15
40733004.0,aspirin,48
49601007.0,aspirin,55
49601007.0,ibuprofen,7
52448006.0,aspirin,15
53741008.0,aspirin,6
59927004.0,aspirin,11
60862001.0,aspirin,9
62315008.0,aspirin,20
69896004.0,aspirin,19
73211009.0,aspirin,50
73211009.0,ibuprofen,12
73211009.0,warfarin,24
709044004.0,aspirin,5
195967001.0,aspirin,51
195967001.0,ibuprofen,12
40733004.0,warfarin,18
69322001.0,warfarin,1
3723001.0,ibuprofen,21
3723001.0,acetaminophen,8
3723001.0,paracetamol,10
396275006.0,ibuprofen,14
396275006.0,acetaminophen,6
396275006.0,paracetamol,7
24693007.0,ibuprofen,2
24693007.0,paracetamol,4
69896004.0,ibuprofen,12
69896004.0,acetaminophen,6
69896004.0,paracetamol,5
200936003.0,ibuprofen,4
hepatitis b,oseltamivir,3
chagas disease,vaccines,8
61462000.0,vaccines,177
35489007.0,insulin,66
57182000.0,pregabalin,4
57182000.0,duloxetine,3
35489007.0,nicotine,55
24693007.0,duloxetine,8
35489007.0,duloxetine,19
hypertension,adderall,3
hypertension,insulin,118
6471006.0,quetiapine,9
13746004.0,aripiprazole,14
13746004.0,quetiapine,22
21134002.0,aripiprazole,2
32798002.0,aripiprazole,5
32798002.0,quetiapine,12
35489007.0,quetiapine,23
35489007.0,aripiprazole,22
35489007.0,abilify,7
49049000.0,aripiprazole,3
49049000.0,quetiapine,11
52448006.0,aripiprazole,7
52448006.0,quetiapine,8
56925008.0,aripiprazole,5
56925008.0,quetiapine,5
62315008.0,quetiapine,2
69322001.0,aripiprazole,13
74732009.0,quetiapine,6
11381005.0,doxycycline,12
40733004.0,dabigatran,2
233604007.0,doxycycline,13
tuberculoses,vaccines,180
73211009.0,vaccines,65
57182000.0,lidocaine,5
13746004.0,melatonin,8
13746004.0,pregabalin,4
26929004.0,vaccines,23
52448006.0,vaccines,26
69322001.0,memantine,3
hypertension,aspirin,53
49601007.0,warfarin,17
698247007.0,warfarin,33
44054006.0,insulin,398
49601007.0,insulin,132
24693007.0,insulin,5
3723001.0,remicade,13
49601007.0,remicade,3
195967001.0,paracetamol,9
syphilis,doxycycline,4
tuberculoses,sildenafil,2
tuberculoses,viagra,1
73211009.0,sildenafil,8
73211009.0,viagra,6
62315008.0,vaccines,67
62315008.0,doxycycline,10
22298006.0,fentanyl,10
698247007.0,fentanyl,2
6471006.0,oxycodone,13
6471006.0,oxycontin,3
62315008.0,pregabalin,5
62315008.0,lyrica,1
40733004.0,memantine,3
52448006.0,memantine,34
52448006.0,duloxetine,5
6142004.0,tamiflu,46
6142004.0,oseltamivir,39
59927004.0,acetaminophen,28
59927004.0,paracetamol,21
62315008.0,acetaminophen,17
62315008.0,paracetamol,13
40733004.0,sildenafil,2
161712005.0,sildenafil,2
26929004.0,insulin,43
40733004.0,insulin,82
52448006.0,insulin,56
195967001.0,doxycycline,2
22298006.0,insulin,46
10743008.0,ibuprofen,2
hypertension,methylphenidate,8
73211009.0,methylphenidate,4
hypertension,heparin,16
13746004.0,insulin,10
91302008,insulin,24
59927004.0,insulin,36
73211009.0,heparin,12
698247007.0,insulin,12
34486009.0,metoprolol,2
35489007.0,ritalin,13
49601007.0,rosuvastatin,14
49601007.0,lovaza,2
syphilis,vaccines,20
56925008.0,sildenafil,64
56925008.0,viagra,76
61462000.0,insulin,19
46635009.0,insulin,34
59927004.0,telaprevir,2
40733004.0,ibuprofen,27
68566005.0,ibuprofen,2
129103003.0,ibuprofen,2
35489007.0,memantine,12
74732009.0,insulin,38
32798002.0,vaccines,11
49049000.0,vaccines,14
hiv/aids,doxycycline,1
32798002.0,oxycodone,1
32798002.0,methylphenidate,13
49049000.0,oxycodone,1
49049000.0,methylphenidate,15
69322001.0,oxycodone,1
69322001.0,methylphenidate,17
61462000.0,doxycycline,13
13746004.0,levothyroxine,1
69322001.0,quetiapine,12
35489007.0,buprenorphine,23
75694006.0,buprenorphine,1
13746004.0,methylphenidate,10
35489007.0,methylphenidate,29
62315008.0,oxycodone,3
62315008.0,fentanyl,3
74732009.0,aspirin,6
161712005.0,ibuprofen,2
161712005.0,acetaminophen,2
161712005.0,paracetamol,2
hypertension,warfarin,21
ulcerative colitis,aspirin,4
22298006.0,ibuprofen,11
22298006.0,acetaminophen,6
22298006.0,paracetamol,5
22298006.0,celecoxib,8
26929004.0,ibuprofen,5
26929004.0,aspirin,9
29384001.0,acetaminophen,2
29384001.0,paracetamol,2
52448006.0,ibuprofen,5
56925008.0,ibuprofen,2
56925008.0,aspirin,3
56925008.0,celecoxib,2
62315008.0,esomeprazole,2
syphilis,aspirin,5
161712005.0,denosumab,3
161712005.0,raloxifene,10
11381005.0,insulin,11
40733004.0,viagra,2
6142004.0,oxycodone,1
35489007.0,ibuprofen,10
35489007.0,acetaminophen,10
35489007.0,oxycodone,19
35489007.0,paracetamol,13
6142004.0,vaccines,237
69322001.0,insulin,8
73211009.0,quetiapine,6
hypertension,sildenafil,27
hypertension,tadalafil,11
56925008.0,tadalafil,29
195967001.0,castor oil,3
hypertension,paracetamol,8
tuberculoses,etanercept,8
tuberculoses,adalimumab,8
3723001.0,rituximab,18
