,,arthritis,asthma,bronchitis,cardiovascular disease,chronic kidney disease,coronary artery disease,covid-19,deafness,diabetes,hypertension,liver failure,mental illness, mi ,perforated ulcer,visual anomalies
en,allenai/tulu-2-7b,0.19999999999999998,-0.7999999999999999,0.0,0.39999999999999997,0.39999999999999997,0.19999999999999998,-0.19999999999999998,0.39999999999999997,-0.19999999999999998,-0.19999999999999998,0.0,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.6
en,allenai/tulu-2-dpo-7b,-0.7999999999999999,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,-0.7999999999999999,-0.19999999999999998,0.39999999999999997,-0.39999999999999997,0.0,-0.19999999999999998,0.19999999999999998,0.19999999999999998,-0.7999999999999999,0.0
en,allenai/tulu-2-70b,0.19999999999999998,-0.19999999999999998,-0.6,0.0,-0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.0,-0.7999999999999999,-0.39999999999999997,0.0,-0.6,0.19999999999999998,0.6
en,allenai/tulu-2-dpo-70b,0.19999999999999998,-0.19999999999999998,-0.6,0.0,-0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.0,-0.7999999999999999,-0.39999999999999997,0.0,-0.6,0.19999999999999998,0.6
en,meta-llama/Llama-2-7b-hf,0.0,-0.19999999999999998,-0.6,0.0,0.0,0.0,-0.39999999999999997,-0.39999999999999997,0.0,-0.7999999999999999,-0.39999999999999997,0.0,0.39999999999999997,0.0,0.6
en,meta-llama/Llama-2-7b-chat-hf,0.19999999999999998,-0.7999999999999999,0.0,-0.6,-0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.39999999999999997
en,meta-llama/Llama-2-70b-hf,0.19999999999999998,-0.19999999999999998,-0.6,0.0,0.0,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.0,-0.7999999999999999,-0.39999999999999997,0.19999999999999998,-0.6,0.19999999999999998,0.6
en,meta-llama/Llama-2-70b-chat-hf,-0.7999999999999999,-0.7999999999999999,-0.19999999999999998,-0.6,0.0,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.6,0.19999999999999998,-0.6,0.19999999999999998,0.6
en,epfl-llm/meditron-7b,-0.19999999999999998,0.0,-0.6,-0.39999999999999997,0.19999999999999998,-0.19999999999999998,-0.39999999999999997,-0.39999999999999997,-0.19999999999999998,-0.6,-0.39999999999999997,0.0,-0.6,-0.19999999999999998,0.0
en,epfl-llm/meditron-70b,0.19999999999999998,-0.19999999999999998,-0.6,0.19999999999999998,-0.19999999999999998,0.19999999999999998,-0.39999999999999997,-0.39999999999999997,0.0,-0.7999999999999999,-0.39999999999999997,0.0,-0.6,0.19999999999999998,0.0
