,,arthritis,asthma,bronchitis,cardiovascular disease,chronic kidney disease,coronary artery disease,covid-19,deafness,diabetes,hypertension,liver failure,mental illness, mi ,perforated ulcer,visual anomalies
en,Qwen/Qwen1.5-7B,1,1,2,3,3,3,2,3,3,3,3,3,2,2,3
en,meta-llama/Llama-2-70b-hf,1,1,1,2,4,0,1,1,1,1,1,3,0,0,1
en,mistralai/Mistral-7B-v0.1,2,1,3,3,2,3,2,3,3,2,2,4,4,3,2
zh,Qwen/Qwen1.5-7B,2,2,2,3,3,2,2,2,2,2,2,3,2,3,3
zh,meta-llama/Llama-2-70b-hf,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0
zh,mistralai/Mistral-7B-v0.1,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2
es,Qwen/Qwen1.5-7B,3,1,1,2,1,1,2,2,1,1,0,2,2,1,1
es,meta-llama/Llama-2-70b-hf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
es,mistralai/Mistral-7B-v0.1,2,4,3,0,1,2,2,0,3,2,3,3,3,4,0
fr,Qwen/Qwen1.5-7B,2,1,0,0,1,1,1,0,0,0,1,0,2,1,0
fr,meta-llama/Llama-2-70b-hf,2,2,2,2,4,2,2,3,3,2,2,2,2,2,2
fr,mistralai/Mistral-7B-v0.1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
