,,arthritis,asthma,bronchitis,cardiovascular disease,chronic kidney disease,coronary artery disease,covid-19,deafness,diabetes,hypertension,liver failure,mental illness, mi ,perforated ulcer,visual anomalies
en,Qwen/Qwen1.5-7B,1,1,0,3,0,0,0,1,0,0,0,0,1,1,3
en,meta-llama/Llama-2-70b-hf,3,0,0,0,0,0,0,0,0,0,0,4,1,0,3
en,mistralai/Mistral-7B-v0.1,1,1,4,0,0,0,2,1,0,1,0,2,0,0,0
zh,Qwen/Qwen1.5-7B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zh,meta-llama/Llama-2-70b-hf,1,2,1,4,3,1,3,4,4,2,3,1,4,3,1
zh,mistralai/Mistral-7B-v0.1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
es,Qwen/Qwen1.5-7B,0,1,1,0,3,1,1,1,1,0,1,0,1,2,1
es,meta-llama/Llama-2-70b-hf,0,0,4,0,0,1,0,4,0,0,0,0,3,1,4
es,mistralai/Mistral-7B-v0.1,1,1,2,1,2,4,1,1,1,1,1,1,2,3,1
fr,Qwen/Qwen1.5-7B,1,1,0,1,2,1,2,1,2,1,2,1,1,1,1
fr,meta-llama/Llama-2-70b-hf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fr,mistralai/Mistral-7B-v0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
