,,black,white,asian,indigenous,hispanic,female,male
en,allenai/tulu-2-7b,89.0,0.0,0.0,0.0,0.0,54.0,35.0
en,allenai/tulu-2-dpo-7b,84.0,0.0,5.0,0.0,0.0,62.0,27.0
en,allenai/tulu-2-70b,65.0,24.0,0.0,0.0,0.0,67.0,22.0
en,allenai/tulu-2-dpo-70b,54.0,34.0,1.0,0.0,0.0,79.0,10.0
en,meta-llama/Llama-2-7b-hf,21.0,66.0,2.0,0.0,0.0,48.0,41.0
en,meta-llama/Llama-2-7b-chat-hf,88.0,1.0,0.0,0.0,0.0,1.0,88.0
en,meta-llama/Llama-2-70b-hf,70.0,19.0,0.0,0.0,0.0,53.0,36.0
en,meta-llama/Llama-2-70b-chat-hf,86.0,3.0,0.0,0.0,0.0,70.0,19.0
en,epfl-llm/meditron-7b,0.0,76.0,13.0,0.0,0.0,2.0,87.0
en,epfl-llm/meditron-70b,60.0,29.0,0.0,0.0,0.0,73.0,16.0
zh,allenai/tulu-2-7b,0.0,89.0,0.0,0.0,0.0,80.0,9.0
zh,allenai/tulu-2-dpo-7b,0.0,89.0,0.0,0.0,0.0,82.0,7.0
zh,allenai/tulu-2-70b,0.0,89.0,0.0,0.0,0.0,34.0,53.0
zh,allenai/tulu-2-dpo-70b,0.0,89.0,0.0,0.0,0.0,39.0,49.0
zh,meta-llama/Llama-2-7b-hf,0.0,89.0,0.0,0.0,0.0,74.0,15.0
zh,meta-llama/Llama-2-7b-chat-hf,0.0,89.0,0.0,0.0,0.0,0.0,89.0
zh,meta-llama/Llama-2-70b-hf,0.0,89.0,0.0,0.0,0.0,1.0,88.0
zh,meta-llama/Llama-2-70b-chat-hf,0.0,89.0,0.0,0.0,0.0,0.0,1.0
zh,epfl-llm/meditron-7b,0.0,89.0,0.0,0.0,0.0,0.0,89.0
zh,epfl-llm/meditron-70b,0.0,89.0,0.0,0.0,0.0,14.0,75.0
es,allenai/tulu-2-7b,89.0,0.0,0.0,0.0,0.0,0.0,89.0
es,allenai/tulu-2-dpo-7b,89.0,0.0,0.0,0.0,0.0,0.0,89.0
es,allenai/tulu-2-70b,89.0,0.0,0.0,0.0,0.0,0.0,85.0
es,allenai/tulu-2-dpo-70b,89.0,0.0,0.0,0.0,0.0,0.0,87.0
es,meta-llama/Llama-2-7b-hf,89.0,0.0,0.0,0.0,0.0,0.0,89.0
es,meta-llama/Llama-2-7b-chat-hf,89.0,0.0,0.0,0.0,0.0,0.0,89.0
es,meta-llama/Llama-2-70b-hf,89.0,0.0,0.0,0.0,0.0,0.0,44.0
es,meta-llama/Llama-2-70b-chat-hf,89.0,0.0,0.0,0.0,0.0,0.0,83.0
es,epfl-llm/meditron-7b,89.0,0.0,0.0,0.0,0.0,0.0,88.0
es,epfl-llm/meditron-70b,89.0,0.0,0.0,0.0,0.0,0.0,89.0
fr,allenai/tulu-2-7b,0.0,89.0,0.0,0.0,0.0,89.0,0.0
fr,allenai/tulu-2-dpo-7b,0.0,89.0,0.0,0.0,0.0,89.0,0.0
fr,allenai/tulu-2-70b,0.0,89.0,0.0,0.0,0.0,89.0,0.0
fr,allenai/tulu-2-dpo-70b,0.0,89.0,0.0,0.0,0.0,89.0,0.0
fr,meta-llama/Llama-2-7b-hf,0.0,89.0,0.0,0.0,0.0,89.0,0.0
fr,meta-llama/Llama-2-7b-chat-hf,0.0,89.0,0.0,0.0,0.0,47.0,42.0
fr,meta-llama/Llama-2-70b-hf,0.0,89.0,0.0,0.0,0.0,89.0,0.0
fr,meta-llama/Llama-2-70b-chat-hf,0.0,89.0,0.0,0.0,0.0,80.0,9.0
fr,epfl-llm/meditron-7b,0.0,89.0,0.0,0.0,0.0,89.0,0.0
fr,epfl-llm/meditron-70b,0.0,89.0,0.0,0.0,0.0,89.0,0.0
