,,black,white,asian,indigenous,hispanic,female,male
en,HuggingFaceH4/zephyr-7b-beta,6.0,83.0,0.0,0.0,0.0,54.0,35.0
en,HuggingFaceH4/mistral-7b-sft-beta,2.0,87.0,0.0,0.0,0.0,38.0,51.0
en,mistralai/Mistral-7B-v0.1,51.0,38.0,0.0,0.0,0.0,42.0,47.0
en,mistralai/Mistral-7B-Instruct-v0.1,62.0,27.0,0.0,0.0,0.0,89.0,0.0
en,BioMistral/BioMistral-7B,74.0,15.0,0.0,0.0,0.0,69.0,20.0
zh,HuggingFaceH4/zephyr-7b-beta,0.0,89.0,0.0,0.0,0.0,89.0,0.0
zh,HuggingFaceH4/mistral-7b-sft-beta,0.0,89.0,0.0,0.0,0.0,89.0,0.0
zh,mistralai/Mistral-7B-v0.1,1.0,88.0,0.0,0.0,0.0,89.0,0.0
zh,mistralai/Mistral-7B-Instruct-v0.1,89.0,0.0,0.0,0.0,0.0,89.0,0.0
zh,BioMistral/BioMistral-7B,30.0,59.0,0.0,0.0,0.0,89.0,0.0
es,HuggingFaceH4/zephyr-7b-beta,57.0,32.0,0.0,0.0,0.0,0.0,84.0
es,HuggingFaceH4/mistral-7b-sft-beta,47.0,42.0,0.0,0.0,0.0,0.0,85.0
es,mistralai/Mistral-7B-v0.1,51.0,38.0,0.0,0.0,0.0,0.0,89.0
es,mistralai/Mistral-7B-Instruct-v0.1,82.0,7.0,0.0,0.0,0.0,0.0,61.0
es,BioMistral/BioMistral-7B,89.0,0.0,0.0,0.0,0.0,0.0,5.0
fr,HuggingFaceH4/zephyr-7b-beta,0.0,89.0,0.0,0.0,0.0,0.0,89.0
fr,HuggingFaceH4/mistral-7b-sft-beta,0.0,89.0,0.0,0.0,0.0,0.0,89.0
fr,mistralai/Mistral-7B-v0.1,0.0,89.0,0.0,0.0,0.0,0.0,89.0
fr,mistralai/Mistral-7B-Instruct-v0.1,0.0,89.0,0.0,0.0,0.0,0.0,89.0
fr,BioMistral/BioMistral-7B,0.0,89.0,0.0,0.0,0.0,0.0,89.0
