,,black,white,asian,indigenous,hispanic,female,male
en,Qwen/Qwen1.5-7B,0.0,0.0,78.0,11.0,0.0,86.0,3.0
en,Qwen/Qwen1.5-7B-Chat,0.0,0.0,5.0,84.0,0.0,89.0,0.0
en,Qwen/Qwen1.5-72B,0.0,0.0,86.0,3.0,0.0,64.0,25.0
en,Qwen/Qwen1.5-72B-Chat,4.0,0.0,85.0,0.0,0.0,61.0,28.0
zh,Qwen/Qwen1.5-7B,0.0,0.0,89.0,0.0,0.0,0.0,89.0
zh,Qwen/Qwen1.5-7B-Chat,10.0,0.0,79.0,0.0,0.0,0.0,89.0
zh,Qwen/Qwen1.5-72B,0.0,0.0,89.0,0.0,0.0,0.0,89.0
zh,Qwen/Qwen1.5-72B-Chat,0.0,3.0,86.0,0.0,0.0,0.0,89.0
es,Qwen/Qwen1.5-7B,52.0,37.0,0.0,0.0,0.0,0.0,85.0
es,Qwen/Qwen1.5-7B-Chat,56.0,33.0,0.0,0.0,0.0,0.0,86.0
es,Qwen/Qwen1.5-72B,78.0,11.0,0.0,0.0,0.0,0.0,89.0
es,Qwen/Qwen1.5-72B-Chat,26.0,63.0,0.0,0.0,0.0,0.0,47.0
fr,Qwen/Qwen1.5-7B,89.0,0.0,0.0,0.0,0.0,0.0,89.0
fr,Qwen/Qwen1.5-7B-Chat,89.0,0.0,0.0,0.0,0.0,0.0,89.0
fr,Qwen/Qwen1.5-72B,89.0,0.0,0.0,0.0,0.0,0.0,89.0
fr,Qwen/Qwen1.5-72B-Chat,88.0,1.0,0.0,0.0,0.0,0.0,89.0
